year,Admin_level1,PCP,AETI,RET,TWS
2018,Bethlehem,506.1957,203.75217,1661.6976,570.9369
2019,Bethlehem,426.88196,204.44894,1707.5472,572.9543
2020,Bethlehem,433.24838,221.3986,1659.5492,574.2106
2021,Bethlehem,351.31326,213.9487,1755.3623,558.5106
2022,Bethlehem,420.21667,185.63242,1690.1666,601.80225
2023,Bethlehem,460.31604,197.81436,1680.8612,583.2952
2024,Bethlehem,300.79663,199.85983,1715.1935,556.92017
2025,Bethlehem,366.14532,176.80225,1745.319,549.95026
2018,Hebron,505.84058,287.80493,1609.296,568.05084
2019,Hebron,377.7847,302.2555,1659.0094,569.8779
2020,Hebron,395.2854,318.14874,1569.4447,574.57434
2021,Hebron,337.39377,295.23013,1713.2266,558.23315
2022,Hebron,453.17657,256.59567,1618.5035,597.35126
2023,Hebron,446.07245,277.06003,1634.7833,579.43695
2024,Hebron,280.57574,261.65726,1671.9462,551.31354
2025,Hebron,390.3396,214.55383,1711.6586,542.7079
2018,Jenin,779.93677,455.77985,1416.1401,546.83496
2019,Jenin,706.0539,501.4514,1436.8943,540.3983
2020,Jenin,530.80273,507.19888,1511.3165,543.36456
2021,Jenin,573.6513,529.16876,1646.248,521.4321
2022,Jenin,521.0267,486.9617,1558.6443,520.4744
2023,Jenin,568.8446,467.8237,1582.3796,507.6141
2024,Jenin,492.8751,470.6946,1569.3738,486.53412
2025,Jenin,440.09634,422.366,1650.4629,504.04147
2018,Jericho,360.42786,206.74384,1599.8077,557.13324
2019,Jericho,308.19366,227.59859,1619.549,561.7446
2020,Jericho,253.72247,247.37721,1580.8425,567.0178
2021,Jericho,229.5239,240.47308,1689.8077,543.69305
2022,Jericho,201.91423,238.08835,1612.7834,572.36816
2023,Jericho,306.97086,254.10626,1625.8997,554.32715
2024,Jericho,186.7172,259.9585,1651.9116,523.7723
2025,Jericho,176.03246,242.43422,1705.64,519.5388
2018,Jerusalem,583.33563,257.21204,1650.0815,588.55975
2019,Jerusalem,561.8849,268.44684,1693.6658,589.1505
2020,Jerusalem,584.9124,280.2063,1638.752,589.34485
2021,Jerusalem,449.62408,283.4036,1736.7986,573.477
2022,Jerusalem,471.67297,251.36649,1664.6166,616.2291
2023,Jerusalem,555.4831,269.24844,1661.8394,596.9842
2024,Jerusalem,420.3838,256.9397,1692.985,568.71466
2025,Jerusalem,457.74408,229.9679,1732.004,561.4906
2018,Nablus,659.93567,407.74152,1498.5104,583.23456
2019,Nablus,586.46625,446.78555,1524.6261,590.108
2020,Nablus,549.00336,453.9776,1493.216,604.1139
2021,Nablus,463.06613,458.34967,1619.0148,571.10535
2022,Nablus,432.2742,426.09384,1535.9836,575.856
2023,Nablus,534.5333,414.874,1549.1729,555.12604
2024,Nablus,422.33484,418.24753,1560.9323,525.5574
2025,Nablus,395.0664,371.3328,1624.9435,529.0903
2018,Qalqilya,828.8347,416.57397,1519.5706,555.6404
2019,Qalqilya,676.1531,453.46414,1544.7124,551.60187
2020,Qalqilya,767.74384,456.0301,1496.652,566.54596
2021,Qalqilya,636.11194,475.09702,1642.6593,539.82544
2022,Qalqilya,584.54706,446.93735,1541.7118,537.51495
2023,Qalqilya,596.6522,445.2682,1589.2556,519.8354
2024,Qalqilya,583.7852,440.1033,1575.3556,497.6482
2025,Qalqilya,566.2551,422.09845,1656.4895,507.86517
2018,Ramallah,668.07654,381.1156,1570.504,575.14404
2019,Ramallah,635.31006,416.5017,1603.7964,576.3955
2020,Ramallah,668.8005,418.5514,1523.7743,580.8408
2021,Ramallah,543.3878,432.8741,1656.4773,560.6373
2022,Ramallah,508.54248,402.37018,1559.5142,590.17706
2023,Ramallah,596.0762,413.1123,1585.2158,570.22906
2024,Ramallah,491.01758,402.68854,1606.6296,541.56433
2025,Ramallah,518.98364,352.3659,1666.7709,537.9624
2018,Salfeet,762.62683,431.97318,1555.8009,561.7706
2019,Salfeet,636.55585,459.76013,1586.5239,562.8314
2020,Salfeet,754.08044,468.6013,1503.0219,577.12756
2021,Salfeet,590.67944,484.6988,1649.3335,547.1122
2022,Salfeet,542.3505,459.74658,1544.1149,548.12665
2023,Salfeet,603.4212,461.0733,1587.4982,528.8338
2024,Salfeet,549.838,454.74936,1592.7013,503.76907
2025,Salfeet,532.26416,431.5062,1666.7487,511.26422
2018,Tubas,488.76016,317.50586,1464.7657,509.5413
2019,Tubas,439.09192,389.767,1477.649,510.2073
2020,Tubas,298.78433,391.57758,1490.8539,515.17377
2021,Tubas,297.54062,354.7053,1612.0002,487.73734
2022,Tubas,269.43213,336.052,1538.6602,489.6644
2023,Tubas,378.99316,347.0626,1556.3899,474.41034
2024,Tubas,218.91768,351.04514,1561.0248,446.18262
2025,Tubas,231.80486,287.31494,1632.2797,458.93143
2018,Tulkarm,935.88477,399.5388,1520.3351,542.9498
2019,Tulkarm,802.77576,458.23865,1546.7965,535.9231
2020,Tulkarm,707.7701,457.01547,1496.424,540.2353
2021,Tulkarm,719.55585,486.32294,1645.2567,518.8251
2022,Tulkarm,634.83044,444.5826,1538.7231,516.8931
2023,Tulkarm,646.2584,434.7226,1591.0588,504.02826
2024,Tulkarm,626.4642,430.43082,1571.7615,484.82678
2025,Tulkarm,588.9758,387.17004,1656.991,502.0604
2018,North,519.4252,363.0661,1449.009,427.1088
2019,North,307.9086,390.13043,1461.37,417.29037
2020,North,411.5573,398.32083,1456.9016,424.79868
2021,North,385.0995,425.44568,1598.4718,418.18445
2022,North,487.65057,398.24585,1506.898,417.63242
2023,North,312.0074,428.28857,1536.2333,404.75708
2024,North,302.56372,284.59552,1586.8224,381.14178
2025,North,341.2659,241.46446,1580.7599,390.12988
2018,Gaza,483.67065,325.56757,1448.3125,487.50482
2019,Gaza,268.5677,341.57556,1460.375,482.9836
2020,Gaza,340.9528,362.74835,1434.375,490.93787
