time,PCP,AETI,RET,TWS
2018-01-01,139.65729,6.3258033,48.225674,564.6656
2018-02-01,133.01518,13.707833,67.93964,568.85657
2018-03-01,34.09348,21.058897,123.07308,557.2378
2018-04-01,26.97304,16.885067,151.92142,550.95526
2018-05-01,12.41201,20.206686,201.42566,548.08905
2018-06-01,0.029067222,22.047293,217.88351,540.448
2018-07-01,0.0,29.410128,232.68073,537.14667
2018-08-01,0.0,25.05314,206.50333,535.69507
2018-09-01,2.1867833,17.70391,169.76134,534.92633
2018-10-01,21.288523,15.36632,125.52475,538.2522
2018-11-01,62.512554,9.190005,69.24829,541.14935
2018-12-01,74.02778,6.7970853,47.510197,570.9369
2019-01-01,57.163563,8.381007,59.277733,567.1394
2019-02-01,126.056915,9.977316,63.124443,595.164
2019-03-01,106.607414,15.59781,94.606476,585.9127
2019-04-01,19.61681,19.914478,135.7753,580.64764
2019-05-01,8.352407,22.958265,221.21263,567.6783
2019-06-01,0.007996223,22.258224,227.6858,563.4926
2019-07-01,0.0,29.309248,239.57854,560.8977
2019-08-01,0.0,27.399181,218.46938,559.2047
2019-09-01,0.0,18.8559,170.12898,558.15546
2019-10-01,14.638213,14.668694,127.2557,562.52594
2019-11-01,20.413927,9.4779,91.39999,559.7993
2019-12-01,74.024704,5.6509285,59.03229,572.9543
2020-01-01,155.08197,6.7937765,45.933468,588.14905
2020-02-01,75.12463,12.106205,64.15624,587.0678
2020-03-01,74.044304,22.512741,105.61139,602.8683
2020-04-01,0.00073584286,22.783295,140.47548,592.51404
2020-05-01,0.36800903,22.40864,201.63045,582.4446
2020-06-01,0.0,24.836313,217.26967,577.6559
2020-07-01,0.0,28.66037,232.12526,574.6972
2020-08-01,0.0,26.423302,213.39305,573.2673
2020-09-01,0.0,20.059217,179.45905,571.3949
2020-10-01,3.302894,17.237377,129.46475,570.31384
2020-11-01,62.391075,9.415529,71.037384,577.37585
2020-12-01,62.934765,8.161834,58.993023,574.2106
2021-01-01,79.5535,9.396458,68.67863,571.57495
2021-02-01,74.804825,12.005623,74.21635,570.082
2021-03-01,23.043274,17.699657,109.93849,562.43
2021-04-01,1.0009139,19.045631,168.81403,552.54767
2021-05-01,0.33542252,22.611029,223.52553,546.0208
2021-06-01,0.0,21.556004,219.21107,547.35736
2021-07-01,0.0,28.513248,239.11676,542.3322
2021-08-01,0.0,27.312675,224.57965,540.44104
2021-09-01,0.0,24.234997,164.64545,540.47656
2021-10-01,9.539911,16.352118,122.2984,539.3531
2021-11-01,28.68286,9.890459,82.10276,542.8392
2021-12-01,134.35255,5.330797,58.235138,558.5106
2022-01-01,128.16357,5.129777,54.273975,591.67944
2022-02-01,73.89472,8.713907,64.78114,590.54614
2022-03-01,62.386623,12.639149,95.01288,580.97784
2022-04-01,14.5536375,22.351665,169.76004,600.18823
2022-05-01,0.0,19.150146,206.07808,586.0544
2022-06-01,0.0,22.332977,223.18373,581.29376
2022-07-01,0.0,27.128046,236.43661,578.3179
2022-08-01,0.0,18.90331,215.0258,578.2585
2022-09-01,0.0,18.73544,172.24028,576.2741
2022-10-01,3.051452,15.597065,123.28374,578.2644
2022-11-01,80.15638,8.82387,72.51714,580.2132
2022-12-01,58.010292,6.1270676,57.573162,601.80225
2023-01-01,57.144493,6.85545,60.004158,614.4265
2023-02-01,83.01312,7.837965,67.58296,612.4413
2023-03-01,71.9447,16.705389,114.74884,601.7201
2023-04-01,67.77061,22.204674,150.5686,594.2571
2023-05-01,1.491186,23.921644,192.86491,580.72656
2023-06-01,0.7784113,24.24895,209.58105,576.5262
2023-07-01,0.0,30.262646,246.20416,571.4466
2023-08-01,0.0,19.773357,212.58508,569.2247
2023-09-01,0.004546424,15.111521,170.57611,567.9851
2023-10-01,26.371397,14.12708,115.201706,568.24713
2023-11-01,62.550076,9.986307,80.89255,573.2909
2023-12-01,89.24749,6.7793746,60.051025,583.2952
2024-01-01,92.330925,6.8221955,56.446106,587.6849
2024-02-01,64.70269,9.738926,65.356255,585.67883
2024-03-01,47.022736,17.442364,114.93702,576.5619
2024-04-01,9.7552,19.911066,158.26317,564.8753
2024-05-01,0.53321004,20.550785,191.57524,560.7712
2024-06-01,0.0,26.77708,244.78662,555.41364
2024-07-01,0.0,27.92618,243.79994,553.006
2024-08-01,0.0,28.360794,215.82353,551.7503
2024-09-01,0.01086344,18.613333,167.5066,552.3893
2024-10-01,2.2798183,12.342583,124.84887,552.5102
2024-11-01,26.719852,6.9165497,72.61776,552.098
2024-12-01,57.441345,4.4579825,59.232327,556.92017
2025-01-01,49.774845,5.2357383,59.123837,553.0197
2025-02-01,67.39148,5.6568136,61.88872,551.0987
2025-03-01,39.548565,15.810967,120.68973,548.6589
2025-04-01,6.3679156,17.832506,161.72858,538.90936
2025-05-01,0.5574224,19.807915,212.19737,535.07715
2025-06-01,0.0,20.68463,235.32692,531.376
2025-07-01,0.0,25.9835,246.91026,529.6235
2025-08-01,0.0,19.326033,211.62285,529.15765
2025-09-01,0.01852839,18.57343,170.2312,528.6011
2025-10-01,2.7477992,13.210907,125.12029,528.06335
2025-11-01,63.868694,8.924684,85.39039,530.57495
2025-12-01,135.87009,5.7551174,55.08881,549.95026
