time,PCP,AETI,RET,TWS
2018-01-01,117.82351,18.75369,61.1875,476.68524
2018-02-01,74.6299,24.273079,67.1875,486.8495
2018-03-01,20.267452,40.153996,108.375,472.10022
2018-04-01,11.779631,28.751421,117.875,463.0489
2018-05-01,6.8591948,34.463055,154.875,458.02557
2018-06-01,0.0,34.380444,174.5,453.58353
2018-07-01,0.0,38.11228,186.625,447.86823
2018-08-01,0.0,30.839355,170.375,444.14932
2018-09-01,2.3314147,29.111206,143.6875,442.5155
2018-10-01,18.773777,32.401833,120.125,446.11908
2018-11-01,108.89588,23.672749,79.125,453.11328
2018-12-01,44.330048,22.931948,64.375,490.16336
2019-01-01,21.55896,24.292994,74.0,488.2819
2019-02-01,57.218605,22.334846,69.6875,518.0039
2019-03-01,33.624645,24.34567,87.875,506.8061
2019-04-01,7.2772746,30.81477,115.3125,495.30246
2019-05-01,3.4202316,33.572765,152.6875,482.29813
2019-06-01,0.02646755,35.464108,168.125,474.72778
2019-07-01,0.0,43.01346,189.875,469.0407
2019-08-01,0.0,39.646194,179.6875,465.09567
2019-09-01,0.061284214,33.807884,144.875,463.20532
2019-10-01,14.856182,29.035257,113.3125,466.7389
2019-11-01,14.299212,26.741264,91.3125,467.97815
2019-12-01,64.45619,20.861572,73.625,485.7763
2020-01-01,101.276825,18.718315,58.875,527.06146
2020-02-01,34.134598,20.681732,73.375,521.08246
2020-03-01,29.728783,31.68524,95.375,518.5891
2020-04-01,0.0,34.457565,116.8125,502.5112
2020-05-01,1.6171674,42.657074,154.375,493.20398
2020-06-01,0.0,38.969875,165.8125,486.3806
2020-07-01,0.0,43.25254,169.3125,480.1834
2020-08-01,0.0,38.58631,170.125,475.97324
2020-09-01,0.061284214,31.845068,140.6875,473.92233
2020-10-01,4.2711525,32.259865,119.625,473.17523
2020-11-01,44.151768,24.211912,88.8125,487.6338
2020-12-01,39.380478,23.893742,81.1875,493.69296
2021-01-01,59.160763,26.36336,85.3125,491.6854
2021-02-01,45.963634,25.304258,74.625,488.95825
2021-03-01,9.700745,35.302944,103.5,477.475
2021-04-01,0.05284903,34.844894,126.5,467.24496
2021-05-01,0.0,39.265472,164.3125,460.26144
2021-06-01,0.0,36.473747,176.5,460.16357
2021-07-01,0.0,42.988693,185.68752,454.10468
2021-08-01,0.0,44.20565,182.625,450.3816
2021-09-01,0.23119298,37.555,158.3125,448.78558
2021-10-01,10.078305,32.882694,125.125,448.04892
2021-11-01,38.462967,25.673265,95.6875,452.93527
2021-12-01,121.898445,22.370255,82.375,484.54825
2022-01-01,119.763084,19.811586,70.5,523.424
2022-02-01,53.665905,22.891687,70.875,517.5277
2022-03-01,34.666832,32.155224,96.375,505.55447
2022-04-01,2.2106,40.989326,121.1875,529.4683
2022-05-01,0.0,38.677353,143.6875,513.1976
2022-06-01,0.0,40.58306,172.1875,504.7825
2022-07-01,0.0,43.07809,187.68752,497.08337
2022-08-01,0.0,32.76955,172.1875,491.80496
2022-09-01,0.061284214,34.828888,151.8125,488.85498
2022-10-01,4.271938,31.68581,117.1875,490.65204
2022-11-01,48.097435,25.894474,95.375,492.59476
2022-12-01,91.60032,21.075895,74.125,505.3742
2023-01-01,32.51614,24.194311,77.375,516.35626
2023-02-01,29.74447,23.215248,77.8125,509.00357
2023-03-01,25.880562,36.49645,110.125,498.97964
2023-04-01,25.272207,39.20537,129.375,494.71094
2023-05-01,1.1521561,38.807735,151.625,483.6405
2023-06-01,0.44596747,39.233604,161.875,479.1843
2023-07-01,0.0,48.734142,182.68752,470.8362
2023-08-01,0.0,37.3838,172.1875,466.5816
2023-09-01,0.22138062,37.25168,147.3125,464.489
2023-10-01,15.361185,33.058456,115.375,465.6179
2023-11-01,38.612747,25.195904,91.1875,469.24435
2023-12-01,60.979774,19.83291,81.1875,482.86212
2024-01-01,58.499302,18.238035,76.875,491.1878
2024-02-01,34.955112,21.876959,77.125,486.6622
2024-03-01,19.855742,32.234325,110.625,476.82526
2024-04-01,4.189684,28.820795,129.3125,465.17834
2024-05-01,0.0,19.10021,157.375,461.48486
2024-06-01,0.0,19.841797,171.125,454.75967
2024-07-01,0.0,22.90377,195.31248,450.37997
2024-08-01,0.0,25.162527,182.31248,447.65503
2024-09-01,0.23119298,20.525047,158.125,447.0349
2024-10-01,3.9476352,20.147358,131.125,446.7482
2024-11-01,25.098726,13.068171,84.5,449.03632
2024-12-01,56.72127,10.228632,81.6875,454.96222
2025-01-01,32.943493,12.857914,75.375,453.83615
2025-02-01,30.59794,16.59026,74.625,449.93265
2025-03-01,19.026167,31.58191,110.625,448.15146
2025-04-01,0.0,24.084352,129.625,439.50464
2025-05-01,0.17968884,19.060596,163.5,436.56787
2025-06-01,0.0,20.429678,164.3125,432.73807
2025-07-01,0.0,22.22774,190.375,430.14413
2025-08-01,0.0,13.671523,177.125,428.56924
2025-09-01,0.19125494,17.061974,149.3125,427.59802
2025-10-01,4.688393,17.57128,123.8125,427.12598
2025-11-01,57.549717,16.295748,96.5,431.69678
2025-12-01,80.21604,14.163249,81.8125,453.27637
