time,PCP,AETI,RET,TWS
2018-01-01,173.21092,16.595766,61.1875,474.04413
2018-02-01,88.804794,21.545294,67.1875,484.2884
2018-03-01,21.829256,33.75152,108.375,469.4759
2018-04-01,9.894515,25.648106,117.875,460.28482
2018-05-01,6.7135677,31.78734,154.875,455.2223
2018-06-01,0.0,30.75893,174.5,450.7766
2018-07-01,0.0,36.234364,186.625,445.07834
2018-08-01,0.0,30.951921,170.375,441.36707
2018-09-01,2.5548775,28.085155,143.68748,439.73495
2018-10-01,20.25494,29.206514,120.125,443.33377
2018-11-01,109.598625,21.319843,79.125,450.32507
2018-12-01,50.809155,19.682798,64.375,487.50482
2019-01-01,34.14696,21.097803,74.0,485.74652
2019-02-01,68.72281,20.083832,69.6875,515.49133
2019-03-01,41.69607,22.00325,87.875,504.25854
2019-04-01,9.465631,28.82317,115.3125,492.64383
2019-05-01,3.6606681,31.91235,152.68748,479.483
2019-06-01,0.07838178,33.48703,168.125,471.8473
2019-07-01,0.0,41.164074,189.875,466.1501
2019-08-01,0.0,38.96204,179.68748,462.2071
2019-09-01,0.46414506,33.195164,144.875,460.31702
2019-10-01,16.383684,28.644999,113.3125,463.8469
2019-11-01,15.823772,24.148853,91.3125,465.10153
2019-12-01,78.12555,18.053001,73.625,482.9836
2020-01-01,159.2995,16.608625,58.875,524.52563
2020-02-01,44.223,18.818392,73.375,518.6725
2020-03-01,32.386288,28.761213,95.375,516.19
2020-04-01,0.0,31.002445,116.8125,499.89087
2020-05-01,0.71065634,39.739456,154.375,490.3617
2020-06-01,0.0,37.985466,165.81252,483.45316
2020-07-01,0.0,42.78774,169.31252,477.23288
2020-08-01,0.0,38.510532,170.125,473.01282
2020-09-01,0.46414506,31.412739,140.6875,470.95483
2020-10-01,6.9688053,31.734951,119.625,470.20728
2020-11-01,44.875355,22.983974,88.8125,484.74277
2020-12-01,52.02504,22.402824,81.1875,490.93787
2021-01-01,81.75403,23.392757,85.3125,489.04715
2021-02-01,55.805004,22.238693,74.625,486.34457
2021-03-01,10.581345,29.439342,103.5,474.8341
2021-04-01,0.43379056,30.067228,126.5,464.50378
2021-05-01,0.0,37.83709,164.31252,457.4274
2021-06-01,0.0,37.118973,176.5,457.28873
2021-07-01,0.0,43.427288,185.68748,451.24496
2021-08-01,0.0,44.116154,182.625,447.52576
2021-09-01,0.58788025,37.526417,158.31252,445.92703
2021-10-01,11.097566,31.765127,125.125,445.19058
2021-11-01,46.041023,24.505907,95.6875,450.06406
2021-12-01,139.60986,19.988752,82.375,481.8334
2022-01-01,160.75533,18.283283,70.5,520.9075
2022-02-01,63.796303,21.420456,70.875,515.09436
2022-03-01,37.509617,28.99849,96.375,503.09213
2022-04-01,3.0731783,35.492462,121.1875,526.3389
2022-05-01,0.0,36.284454,143.68748,509.88635
2022-06-01,0.0,40.35556,172.18748,501.38107
2022-07-01,0.0,44.21817,187.68748,493.67645
2022-08-01,0.0,32.887257,172.18748,488.42554
2022-09-01,0.46414506,34.50618,151.81252,485.47595
2022-10-01,8.460325,31.284277,117.1875,487.26852
2022-11-01,51.690784,25.282902,95.375,489.22916
2022-12-01,112.38772,20.245264,74.125,502.1003
2023-01-01,42.87083,23.16004,77.375,513.18445
2023-02-01,43.661694,21.305641,77.8125,505.96866
2023-03-01,29.244041,32.32682,110.125,495.95483
2023-04-01,31.575962,34.79492,129.375,491.66507
2023-05-01,0.7194673,37.403072,151.625,480.54578
2023-06-01,0.37671465,39.058807,161.875,476.06995
2023-07-01,0.0,50.654633,182.68748,467.73218
2023-08-01,0.0,41.870136,172.18748,463.48093
2023-09-01,0.5,36.969578,147.31252,461.38745
2023-10-01,19.1369,30.10107,115.375,462.51154
2023-11-01,45.29218,21.511885,91.1875,466.14154
2023-12-01,67.16227,16.16661,81.1875,479.84113
2024-01-01,88.15706,16.890686,76.875,488.3029
2024-02-01,47.687313,22.17582,77.125,483.86743
2024-03-01,24.439266,31.411297,110.625,474.02466
2024-04-01,5.24444,27.213772,129.3125,462.28345
2024-05-01,0.0,18.855213,157.375,458.51978
2024-06-01,0.0,19.894745,171.125,451.78598
2024-07-01,0.0,23.155134,195.31252,447.41
2024-08-01,0.0,24.163368,182.31252,444.6878
2024-09-01,0.46768472,18.143827,158.125,444.06485
2024-10-01,6.040447,15.204952,131.125,443.7784
2024-11-01,27.763912,10.4291725,84.5,446.0671
2024-12-01,60.426346,8.225528,81.6875,452.01685
2025-01-01,43.190895,12.989763,75.375,450.9786
2025-02-01,40.042347,17.795006,74.625,447.1255
2025-03-01,16.593864,32.61697,110.625,445.36014
2025-04-01,0.0,24.919598,129.625,436.69708
2025-05-01,0.07130246,19.374228,163.5,433.7411
2025-06-01,0.0,20.774412,164.31252,429.9186
2025-07-01,0.0,23.105078,190.375,427.34402
2025-08-01,0.0,14.732336,177.125,425.7766
2025-09-01,0.49961802,15.8032055,149.31252,424.80942
2025-10-01,6.9162874,14.383989,123.8125,424.3403
2025-11-01,64.26814,14.278011,96.5,428.9153
2025-12-01,100.398285,14.161466,81.8125,450.59146
