time,PCP,AETI,RET,TWS
2018-01-01,145.64091,11.773875,45.274315,560.81476
2018-02-01,132.97919,24.063524,66.5073,566.55786
2018-03-01,35.452744,41.276283,119.03749,553.51636
2018-04-01,29.359457,29.406227,143.39148,544.7282
2018-05-01,12.39027,27.354681,198.7495,540.48846
2018-06-01,6.2372106e-05,27.012842,210.75714,534.13995
2018-07-01,0.0,32.022884,222.7042,530.59186
2018-08-01,0.0,27.781094,197.55272,528.8776
2018-09-01,1.9072778,21.494593,162.49942,528.11444
2018-10-01,19.032997,19.542276,125.38965,531.62
2018-11-01,65.76385,14.055009,70.551704,535.68964
2018-12-01,63.313835,12.021634,46.88111,568.05084
2019-01-01,49.073185,17.05572,58.93313,565.7561
2019-02-01,114.45845,18.461304,64.026115,592.5784
2019-03-01,89.62544,26.627968,88.09576,583.8046
2019-04-01,18.477571,36.6878,130.97443,575.3612
2019-05-01,7.4726906,37.597054,212.48785,561.74493
2019-06-01,0.0046023056,31.15062,217.98659,556.73145
2019-07-01,0.0,35.952393,228.93991,553.97327
2019-08-01,0.0,32.70627,209.89333,552.34546
2019-09-01,0.0,24.446972,161.97073,551.59503
2019-10-01,13.418165,19.773031,123.66928,555.9093
2019-11-01,15.430729,13.078344,103.41442,554.674
2019-12-01,69.82387,8.718024,58.617836,569.8779
2020-01-01,146.51639,9.07,42.231606,594.39624
2020-02-01,79.03417,15.077519,56.6756,592.52094
2020-03-01,70.8316,31.770334,93.69953,599.15
2020-04-01,0.092916794,38.390423,124.988205,585.9863
2020-05-01,0.4377413,40.478313,194.10724,575.6959
2020-06-01,0.0,33.650665,206.09581,570.62244
2020-07-01,0.0,37.920853,217.19785,567.61475
2020-08-01,0.0,32.486935,202.39236,566.23035
2020-09-01,0.0,25.623066,171.7548,564.8813
2020-10-01,2.9483647,23.30453,126.91008,564.3524
2020-11-01,40.603737,14.731591,68.827286,573.98535
2020-12-01,54.820484,15.644518,64.56433,574.57434
2021-01-01,67.176636,17.674278,73.88511,571.848
2021-02-01,72.829254,19.764809,72.67435,570.06116
2021-03-01,23.760609,28.510824,102.298225,562.1604
2021-04-01,1.7231454,31.527504,160.23618,550.0914
2021-05-01,0.45842868,32.378513,211.11823,541.6952
2021-06-01,0.0,28.95255,209.46141,542.0396
2021-07-01,0.0,35.188713,227.78061,537.6508
2021-08-01,0.0,33.85454,218.98753,535.7578
2021-09-01,0.0,26.696934,160.72975,535.68463
2021-10-01,10.008787,19.30824,121.608055,534.9035
2021-11-01,26.588148,13.018105,93.77006,538.7682
2021-12-01,134.84875,8.355132,60.677105,558.23315
2022-01-01,158.26526,8.203787,51.54135,593.44037
2022-02-01,73.38559,13.884367,58.820435,592.1695
2022-03-01,65.03864,21.923223,88.181015,582.3896
2022-04-01,13.958314,38.088486,161.37483,599.59845
2022-05-01,0.0,27.29625,196.19327,584.37823
2022-06-01,0.0,29.920477,211.31157,578.9582
2022-07-01,0.0,32.334476,225.60776,575.72644
2022-08-01,0.0,21.764528,205.02138,575.61
2022-09-01,0.0,21.92218,167.02342,573.87897
2022-10-01,4.2634983,19.137651,117.26587,576.0873
2022-11-01,75.920876,12.411661,74.92663,578.73334
2022-12-01,62.344383,9.708593,61.235992,597.35126
2023-01-01,58.128147,11.803242,62.952686,607.00073
2023-02-01,85.77053,12.969008,63.889214,605.3697
2023-03-01,75.589516,26.662626,106.55151,595.2155
2023-04-01,70.85491,36.119793,141.93442,587.75745
2023-05-01,1.2562876,35.255737,187.65561,574.4964
2023-06-01,0.6639687,30.726006,201.46024,570.52454
2023-07-01,0.0,37.44708,236.92537,565.4566
2023-08-01,0.0,21.636263,201.91849,563.3656
2023-09-01,0.013377871,20.075745,167.70683,562.41095
2023-10-01,22.840254,17.771894,115.54944,563.21375
2023-11-01,45.54771,14.246696,82.51519,567.9227
2023-12-01,85.40773,12.345948,65.724304,579.43695
2024-01-01,86.712036,13.292827,55.054348,584.54596
2024-02-01,63.090626,18.804308,64.03693,582.6888
2024-03-01,40.124325,32.28884,111.575356,572.64355
2024-04-01,8.646497,30.780016,153.18298,559.81824
2024-05-01,1.3857249,23.497547,183.26886,554.50195
2024-06-01,0.0,30.226244,232.81403,548.6969
2024-07-01,0.0,30.175642,236.46263,546.0706
2024-08-01,0.0,30.177858,208.65048,544.7453
2024-09-01,0.015751792,20.318186,163.84904,545.327
2024-10-01,2.2104197,15.4930525,126.38253,545.49963
2024-11-01,24.459288,9.149976,73.61809,545.95984
2024-12-01,53.931072,7.452766,63.0509,551.31354
2025-01-01,48.96575,9.586525,64.8647,549.0717
2025-02-01,69.681755,10.212549,59.195076,547.2346
2025-03-01,50.192787,27.837873,119.90239,544.2312
2025-04-01,4.56748,26.2698,156.7293,533.1309
2025-05-01,0.7842316,20.730598,204.6338,528.27966
2025-06-01,0.0,22.674717,223.45978,524.2453
2025-07-01,0.0,24.919968,237.56677,522.3236
2025-08-01,0.0,16.485897,204.04765,521.7037
2025-09-01,0.0,19.015726,162.85567,521.1603
2025-10-01,2.6252697,15.263066,123.96104,520.7169
2025-11-01,82.17049,12.10664,97.86956,523.71716
2025-12-01,131.35182,9.450473,56.572834,542.7079
