time,PCP,AETI,RET,TWS
2018-01-01,182.03001,17.321434,56.312027,413.26486
2018-02-01,92.459465,22.72888,65.73481,426.14124
2018-03-01,26.322748,37.184944,108.5143,409.78632
2018-04-01,12.176914,29.411783,120.52168,396.9077
2018-05-01,7.279942,35.334072,161.02406,391.1396
2018-06-01,0.0,36.53537,178.59938,386.59134
2018-07-01,0.0,39.581806,189.88858,381.40527
2018-08-01,0.0,33.86099,172.2257,377.80383
2018-09-01,2.505016,30.224028,143.6875,376.13193
2018-10-01,18.37857,34.71266,117.975815,379.52542
2018-11-01,122.98041,24.920073,76.06042,386.42798
2018-12-01,55.292088,21.250051,58.464733,427.1088
2019-01-01,40.0505,21.752083,68.86583,429.15048
2019-02-01,77.091415,21.309536,66.72242,459.68616
2019-03-01,52.629135,25.581928,86.28301,447.36118
2019-04-01,8.477761,36.977844,117.12339,432.59412
2019-05-01,3.8601983,41.30622,161.16486,414.2536
2019-06-01,0.009724273,39.220745,174.03526,404.18723
2019-07-01,0.0,43.513805,192.74059,397.86722
2019-08-01,0.0,40.046703,181.0208,393.7258
2019-09-01,0.5,35.27458,144.4969,391.6258
2019-10-01,17.01591,33.260338,111.68071,394.95547
2019-11-01,18.07365,31.382406,88.94441,396.80536
2019-12-01,90.20031,20.504257,68.29183,417.29037
2020-01-01,199.4419,16.745506,53.541832,466.90543
2020-02-01,49.217976,19.0183,68.579124,465.273
2020-03-01,34.11634,31.336914,93.92231,464.02493
2020-04-01,0.0,35.686855,118.72289,440.5908
2020-05-01,2.4699244,45.987362,164.40454,423.38492
2020-06-01,0.0,42.60118,174.88684,413.18054
2020-07-01,0.0,45.63813,177.55104,405.76553
2020-08-01,0.0,39.662605,176.03526,400.8079
2020-09-01,0.5,31.349253,145.94107,398.22778
2020-10-01,6.978418,35.7878,120.1225,397.2854
2020-11-01,50.80704,27.896439,84.733025,414.1576
2020-12-01,68.02573,26.610485,78.46121,424.79868
2021-01-01,87.228226,25.513027,84.05881,427.02567
2021-02-01,64.19849,23.584175,74.107605,425.43835
2021-03-01,13.2476,32.522568,103.718895,413.49408
2021-04-01,0.44830132,38.016575,134.18135,400.64627
2021-05-01,0.07323978,46.319782,174.20273,390.79437
2021-06-01,0.0,41.235516,183.60426,389.28122
2021-07-01,0.0,45.701572,194.26436,383.48932
2021-08-01,0.0,45.31737,190.34616,379.61868
2021-09-01,0.7201399,38.421795,159.70549,377.7373
2021-10-01,11.021695,35.637177,125.0852,376.90875
2021-11-01,51.5359,30.419827,96.5432,381.2656
2021-12-01,156.62589,22.756308,78.653725,418.18445
2022-01-01,186.38321,18.944864,66.778725,463.21347
2022-02-01,67.42558,20.334236,68.08902,460.0482
2022-03-01,41.025204,28.767551,95.30041,447.21204
2022-04-01,3.8974233,40.420975,130.77925,448.88455
2022-05-01,0.0,44.45931,155.36873,426.2921
2022-06-01,0.0,46.041523,181.20216,414.28345
2022-07-01,0.0,45.372826,194.83157,405.91794
2022-08-01,0.0,31.487835,178.97337,401.10626
2022-09-01,0.5,33.97965,155.33478,397.92297
2022-10-01,8.694158,34.753643,116.7696,399.4359
2022-11-01,57.330143,29.613327,91.49452,402.02875
2022-12-01,122.39487,24.07011,71.975815,417.63242
2023-01-01,47.260464,25.618414,75.50441,432.43277
2023-02-01,53.036865,22.446167,75.44441,429.78574
2023-03-01,32.56004,35.82557,111.000595,420.81702
2023-04-01,34.328636,41.622517,134.29027,416.77933
2023-05-01,1.0055699,47.243355,161.33615,404.3885
2023-06-01,0.42200065,45.762188,171.90454,399.21878
2023-07-01,0.0,52.772884,193.89114,390.80325
2023-08-01,0.0,42.11108,178.55548,386.31128
2023-09-01,0.5,37.87658,151.39198,383.94815
2023-10-01,18.034733,32.819004,115.574,384.77814
2023-11-01,50.722572,24.209913,89.17761,388.53668
2023-12-01,74.13652,19.98089,78.16272,404.75708
2024-01-01,98.76644,21.788528,72.735825,418.2202
2024-02-01,58.78856,27.313332,75.27431,416.84857
2024-03-01,27.161528,36.85911,112.33639,407.50992
2024-04-01,5.884119,31.549318,135.48146,393.36313
2024-05-01,0.08955974,23.592113,164.85736,387.65134
2024-06-01,0.0,21.15247,182.76643,380.60855
2024-07-01,0.0,24.112383,204.44653,376.15936
2024-08-01,0.0,26.571814,187.62576,373.35956
2024-09-01,0.64908504,22.40883,160.59259,372.49384
2024-10-01,6.2163444,19.807371,130.2494,372.15726
2024-11-01,30.739855,13.385361,82.27121,374.43317
2024-12-01,74.26822,16.054878,78.18512,381.14178
2025-01-01,51.199154,23.86221,72.987015,382.94153
2025-02-01,47.996502,24.816614,71.77932,380.9176
2025-03-01,23.53543,38.42154,114.883575,380.2083
2025-04-01,0.0,27.786804,136.96806,371.8001
2025-05-01,0.0011693747,19.232008,173.62904,368.66663
2025-06-01,0.0,17.989824,176.21262,365.20862
2025-07-01,0.0,20.774023,200.06624,363.29474
2025-08-01,0.0,13.258472,183.29396,361.92776
2025-09-01,0.50750864,14.552437,151.48158,361.04678
2025-10-01,7.4408646,13.106526,124.4095,360.6517
2025-11-01,78.06416,13.2350235,97.3557,365.3567
2025-12-01,132.5211,14.428976,77.69322,390.12988
