time,PCP,AETI,RET,TWS
2018-01-01,247.27516,15.71138,38.98368,527.2334
2018-02-01,172.09824,29.628336,53.6486,543.5308
2018-03-01,35.08666,53.8429,98.5746,524.84314
2018-04-01,22.042875,52.673206,124.988304,507.9603
2018-05-01,17.390451,53.85553,171.97073,507.36374
2018-06-01,0.0,47.151573,189.27345,494.78165
2018-07-01,0.0,51.74615,202.68878,486.78793
2018-08-01,0.0,45.23883,183.02594,482.50537
2018-09-01,2.2653515,38.885815,146.59958,480.39636
2018-10-01,26.468306,30.963531,107.59836,484.96005
2018-11-01,87.04501,20.544535,61.0406,490.85358
2018-12-01,170.26474,15.538071,37.74749,546.83496
2019-01-01,118.00686,21.625807,47.165813,557.0627
2019-02-01,121.28119,25.047691,50.895874,594.1856
2019-03-01,124.31322,39.21802,75.06434,580.6465
2019-04-01,31.36767,57.321297,113.64537,569.2862
2019-05-01,5.751812,71.90598,182.04941,541.26996
2019-06-01,0.34121934,57.332886,192.96132,523.00995
2019-07-01,0.0,58.9179,204.9734,513.0169
2019-08-01,0.0,53.19738,188.31268,507.1298
2019-09-01,0.052989457,43.26004,146.58345,504.13885
2019-10-01,14.319244,33.482353,106.39488,509.67322
2019-11-01,29.370295,26.152664,81.90856,510.82025
2019-12-01,261.2494,13.989358,46.93915,540.3983
2020-01-01,181.9523,14.605487,37.063213,607.1093
2020-02-01,56.680866,24.01842,57.19656,610.22186
2020-03-01,56.44584,46.648117,88.82567,608.42114
2020-04-01,0.044791702,57.094204,120.51298,581.37134
2020-05-01,0.0793818,71.23233,189.57523,555.118
2020-06-01,0.0,58.042656,201.24284,536.9788
2020-07-01,0.0,58.237682,206.92523,526.00586
2020-08-01,0.0,50.183037,197.08226,519.5253
2020-09-01,0.052989457,42.21334,162.16896,515.7646
2020-10-01,1.8294522,38.036423,123.198,514.2564
2020-11-01,127.08208,23.577875,68.20352,530.1984
2020-12-01,106.635056,23.30931,59.322075,543.36456
2021-01-01,116.533844,26.840332,67.07707,549.05273
2021-02-01,141.34981,30.902971,68.23526,558.49915
2021-03-01,23.262344,45.792572,98.957985,540.15216
2021-04-01,0.41037714,60.947857,150.14534,520.8311
2021-05-01,4.218487,62.0076,200.45497,505.27744
2021-06-01,0.0,50.477562,204.29436,500.90646
2021-07-01,0.0,54.3999,222.05588,493.23575
2021-08-01,0.0,55.305946,212.47026,488.5993
2021-09-01,0.052989457,54.83413,160.96889,486.48264
2021-10-01,16.802153,42.755478,116.60329,485.91864
2021-11-01,60.26066,27.625277,85.96004,490.49722
2021-12-01,210.76067,17.279129,59.024754,521.4321
2022-01-01,194.94058,18.190048,51.030277,533.19635
2022-02-01,70.2596,26.16535,57.351902,535.74097
2022-03-01,77.69227,42.70872,82.02534,533.1257
2022-04-01,8.9326315,70.89504,149.83464,536.8994
2022-05-01,0.0,60.01255,189.15651,514.62384
2022-06-01,0.0,52.63618,204.70732,502.4506
2022-07-01,0.0,52.030487,218.29492,495.05716
2022-08-01,0.0,44.65782,198.78885,492.61743
2022-09-01,0.052989457,41.30212,162.4765,489.2456
2022-10-01,2.307655,35.154694,115.95388,489.57642
2022-11-01,86.02892,23.561974,74.83735,493.83313
2022-12-01,80.812004,19.646713,54.186848,520.4744
2023-01-01,102.212105,22.821875,60.323498,528.8636
2023-02-01,77.19569,24.237926,66.42728,539.16437
2023-03-01,72.90368,43.824467,104.71911,525.237
2023-04-01,63.117165,59.06503,135.92523,521.733
2023-05-01,4.897074,59.216984,178.96713,505.05856
2023-06-01,2.925431,50.435127,194.37515,497.92413
2023-07-01,0.0,58.195396,225.84267,488.813
2023-08-01,0.0,41.553513,197.19417,484.44308
2023-09-01,0.15037283,31.97089,161.5264,482.26816
2023-10-01,14.764393,29.51372,122.30746,482.6833
2023-11-01,98.68007,24.485018,75.683266,491.5169
2023-12-01,131.99864,22.50375,59.08834,507.6141
2024-01-01,124.36536,20.281916,48.699627,515.1072
2024-02-01,157.69211,27.820534,55.464638,527.2224
2024-03-01,40.95906,54.79845,97.86155,522.7447
2024-04-01,19.653696,62.832184,136.94847,503.47818
2024-05-01,1.6557668,52.599854,175.28716,494.5563
2024-06-01,0.0,54.68628,217.80338,483.96964
2024-07-01,0.0,42.986095,225.19258,478.1308
2024-08-01,0.0,44.345783,200.84747,475.03763
2024-09-01,0.3254093,38.774868,160.45439,474.40503
2024-10-01,1.536722,33.63791,120.02703,473.43146
2024-11-01,32.046562,20.406017,71.7543,478.98502
2024-12-01,114.6404,17.524708,59.03317,486.53412
2025-01-01,69.133385,23.201784,60.08188,499.44724
2025-02-01,68.57788,22.68236,58.698414,496.90076
2025-03-01,23.578604,55.393185,115.66655,490.13342
2025-04-01,2.8435142,54.680664,147.36809,478.85925
2025-05-01,0.28455064,44.498566,196.26205,471.4006
2025-06-01,0.0,39.682644,212.56055,465.98016
2025-07-01,0.0,37.073524,230.63766,462.7754
2025-08-01,0.0,32.695484,204.91937,461.06808
2025-09-01,0.12477391,35.16002,158.82855,460.04184
2025-10-01,1.960917,30.431423,118.04308,459.5928
2025-11-01,66.28331,27.53788,89.552505,463.36218
2025-12-01,207.30942,19.32846,57.84417,504.04147
