time,PCP,AETI,RET,TWS
2018-01-01,80.29508,5.714273,45.708282,547.61743
2018-02-01,91.99965,11.449833,64.363434,555.8817
2018-03-01,19.2475,16.759398,114.13729,541.7156
2018-04-01,13.048628,14.600881,142.7068,530.62537
2018-05-01,13.013568,19.699924,195.77908,526.7741
2018-06-01,0.0,23.491238,211.66028,516.6543
2018-07-01,0.0,30.606253,226.71053,511.71378
2018-08-01,0.0,28.558905,201.31856,509.51913
2018-09-01,2.089687,21.11944,160.78859,508.41098
2018-10-01,18.942822,16.626095,120.49171,512.3097
2018-11-01,48.10625,10.394347,70.33783,516.74536
2018-12-01,73.684685,7.7232556,45.80533,557.13324
2019-01-01,42.931255,9.798324,55.872227,559.4169
2019-02-01,81.84644,12.740162,61.80894,590.85266
2019-03-01,76.105545,18.534794,87.15511,580.317
2019-04-01,18.825525,21.295483,126.37961,572.98865
2019-05-01,9.200185,21.107319,204.29237,554.9608
2019-06-01,0.065557905,24.714064,216.64311,546.27527
2019-07-01,0.0,32.044327,230.16043,541.68115
2019-08-01,0.0,30.735651,209.60277,539.18805
2019-09-01,0.0,22.634914,160.63419,537.76556
2019-10-01,16.621208,17.00902,119.581436,542.83606
2019-11-01,13.517373,10.529776,91.7398,542.12384
2019-12-01,49.080566,6.4547544,55.678986,561.7446
2020-01-01,86.282555,8.07121,42.154766,596.8291
2020-02-01,27.166952,14.333467,58.517105,596.38947
2020-03-01,34.62756,23.59666,94.59712,603.464
2020-04-01,0.0,23.116692,129.356,588.00433
2020-05-01,0.29680464,25.258953,192.68286,573.098
2020-06-01,0.0,26.908522,209.6819,563.98566
2020-07-01,0.0,31.710505,221.51103,558.7938
2020-08-01,0.0,30.914375,205.00159,556.3958
2020-09-01,0.0,25.17223,171.75998,554.2876
2020-10-01,1.0972669,18.94056,126.029526,553.20593
2020-11-01,52.701252,10.667836,69.549065,563.8539
2020-12-01,51.55009,8.686201,60.00156,567.0178
2021-01-01,54.303585,9.396186,67.81537,567.7302
2021-02-01,32.811817,13.9940605,70.76309,570.1378
2021-03-01,7.46496,19.592388,103.10409,557.3484
2021-04-01,0.57623476,17.677347,160.29541,543.3008
2021-05-01,1.294103,22.415651,211.4533,531.31866
2021-06-01,0.0,23.865465,212.43011,528.68164
2021-07-01,0.0,32.888786,231.06586,523.1909
2021-08-01,0.0,32.537746,215.85956,520.69696
2021-09-01,0.0,29.48417,159.54747,520.0381
2021-10-01,10.4741335,20.086393,114.81372,519.1505
2021-11-01,30.0731,11.894895,82.848335,523.15314
2021-12-01,92.525955,6.639985,59.811436,543.69305
2022-01-01,54.905823,8.790372,50.19992,568.0586
2022-02-01,22.418783,15.219179,58.763462,568.2033
2022-03-01,40.12812,21.369234,86.42894,561.19226
2022-04-01,5.899208,25.390198,160.37366,575.5882
2022-05-01,0.10078445,20.211744,194.81337,558.6248
2022-06-01,0.0,24.763834,213.92967,550.6562
2022-07-01,0.0,32.102688,226.841,546.04834
2022-08-01,0.0,23.470158,209.13907,545.5375
2022-09-01,0.0,23.822138,166.46016,543.2773
2022-10-01,0.87199795,20.82438,117.04428,544.74457
2022-11-01,50.177082,13.473951,72.51004,548.22833
2022-12-01,27.412426,8.6504755,56.279907,572.36816
2023-01-01,35.59338,10.229691,61.42165,584.8679
2023-02-01,18.67287,11.526841,65.69155,586.6399
2023-03-01,51.13811,23.13227,108.05281,574.4272
2023-04-01,53.69299,28.297928,143.74152,567.1515
2023-05-01,3.6245785,28.532282,186.63367,550.9817
2023-06-01,1.5242862,30.630512,201.58096,544.88403
2023-07-01,0.0,36.819744,235.53178,538.3256
2023-08-01,0.0,26.289381,207.36125,535.70233
2023-09-01,0.0,18.499098,162.24881,534.28406
2023-10-01,18.042788,17.978268,115.36419,534.6588
2023-11-01,59.931248,13.189028,77.14775,541.6397
2023-12-01,64.75061,8.981221,61.12374,554.32715
2024-01-01,58.59308,10.417754,52.233517,559.6214
2024-02-01,42.242104,15.409651,63.14247,562.42773
2024-03-01,31.951166,26.016352,110.06883,554.42755
2024-04-01,8.752269,24.922892,150.92252,538.5031
2024-05-01,0.9764496,24.143064,185.34291,530.3605
2024-06-01,0.0,32.27192,233.88994,521.88525
2024-07-01,0.0,31.257467,234.41011,517.9032
2024-08-01,0.0,35.095615,208.9357,516.1371
2024-09-01,0.007121414,24.734877,162.69865,516.4335
2024-10-01,0.6800803,17.54408,118.556816,516.0646
2024-11-01,14.145983,10.882499,71.3503,517.9682
2024-12-01,29.368948,7.262335,60.35991,523.7723
2025-01-01,24.834387,10.545393,62.826157,526.6055
2025-02-01,19.818802,10.5408125,60.61326,524.10754
2025-03-01,7.835671,21.274809,119.55739,519.511
2025-04-01,5.393199,21.065943,155.17009,507.18137
2025-05-01,0.0,23.727528,204.98851,499.13052
2025-06-01,0.0,28.147926,224.24965,493.33954
2025-07-01,0.0,33.78021,239.1386,490.46817
2025-08-01,0.0,26.758442,209.71082,489.47223
2025-09-01,0.0,26.61498,162.45923,488.71094
2025-10-01,0.68064,19.604885,118.78047,488.1461
2025-11-01,25.54689,12.438011,91.947685,491.1124
2025-12-01,91.92287,7.935284,56.198185,519.5388
