time,PCP,AETI,RET,TWS
2018-01-01,154.88344,8.015907,46.61869,584.5689
2018-02-01,156.80736,16.78967,66.85833,588.91223
2018-03-01,38.66768,27.453047,121.37309,577.0302
2018-04-01,21.485746,23.137323,151.27481,569.6733
2018-05-01,12.546359,26.72271,201.73877,566.3338
2018-06-01,0.0,28.5812,218.28816,558.864
2018-07-01,0.0,34.155544,233.0917,554.9897
2018-08-01,0.0,30.09338,205.46071,553.16034
2018-09-01,2.0908108,23.275898,169.55962,552.18854
2018-10-01,19.809275,18.783752,122.78296,555.37476
2018-11-01,72.39507,11.518408,67.659004,558.488
2018-12-01,104.6499,8.685194,45.375675,588.55975
2019-01-01,82.80664,11.193551,57.745663,586.17664
2019-02-01,151.74292,12.7753725,61.247356,612.2475
2019-03-01,143.68108,20.154118,91.92416,604.3077
2019-04-01,22.375383,29.546913,132.15427,599.2032
2019-05-01,7.1948824,33.716892,220.4623,584.87854
2019-06-01,0.008746186,28.562487,226.94167,579.2029
2019-07-01,0.0,35.85665,239.71982,575.8203
2019-08-01,0.0,33.219124,217.85023,573.8189
2019-09-01,0.0,23.888275,169.14438,572.68823
2019-10-01,19.447296,18.951292,126.87253,577.1181
2019-11-01,26.624247,12.912422,91.64919,575.60364
2019-12-01,108.00368,7.669748,57.954197,589.1505
2020-01-01,200.34229,8.044448,44.681664,606.567
2020-02-01,83.05571,13.5991335,61.49217,605.1797
2020-03-01,75.68557,26.359406,101.812416,616.3081
2020-04-01,0.0,29.40651,136.85074,606.1484
2020-05-01,2.3188543,34.188095,199.4693,595.4431
2020-06-01,0.0,31.111753,215.81935,589.5759
2020-07-01,0.0,34.53046,230.91515,586.01324
2020-08-01,0.0,31.731388,211.54669,584.4244
2020-09-01,0.0,25.698038,180.26375,582.6534
2020-10-01,2.4211972,21.62819,129.30557,581.7664
2020-11-01,101.94529,11.941072,68.62424,589.86304
2020-12-01,119.143524,11.967797,57.970974,589.34485
2021-01-01,105.10878,14.350439,66.317635,588.4257
2021-02-01,95.19668,16.926338,72.5433,587.44525
2021-03-01,26.545988,24.631622,106.34011,579.9175
2021-04-01,0.7213933,29.011448,167.36333,570.2539
2021-05-01,0.32517433,29.9296,223.38708,562.1534
2021-06-01,0.0,27.288218,217.64908,562.4183
2021-07-01,0.0,34.73582,237.96843,557.7676
2021-08-01,0.0,34.02212,223.45378,555.6413
2021-09-01,0.0,29.72512,162.97705,555.4288
2021-10-01,11.826676,22.010645,121.17209,554.219
2021-11-01,39.094704,13.385733,80.87754,557.47394
2021-12-01,170.80467,7.3864903,56.7492,573.477
2022-01-01,134.24635,7.7530093,52.090816,605.5904
2022-02-01,89.96736,12.599497,61.915066,604.87616
2022-03-01,76.115875,18.972317,91.07407,596.4559
2022-04-01,10.058056,33.950893,167.57549,616.7118
2022-05-01,0.0,26.200438,204.00641,602.09216
2022-06-01,0.0,28.108849,221.31163,595.7496
2022-07-01,0.0,32.933865,234.5074,591.81244
2022-08-01,0.0,25.33376,213.50781,591.4607
2022-09-01,0.0,23.82897,170.45024,589.38367
2022-10-01,4.0155854,19.70251,121.77453,591.3985
2022-11-01,85.63923,12.212989,70.59101,594.5351
2022-12-01,71.63052,9.76939,55.81212,616.2291
2023-01-01,71.74795,11.198725,58.6182,627.80634
2023-02-01,105.39094,11.935251,65.658325,626.27545
2023-03-01,82.58984,24.509537,112.19031,615.7882
2023-04-01,72.01873,32.054394,148.07066,608.3217
2023-05-01,1.9970416,33.52525,190.31262,594.90283
2023-06-01,1.1227118,31.451576,208.304,590.2556
2023-07-01,0.0,37.706852,246.12898,584.7306
2023-08-01,0.0,25.262184,211.2954,582.2197
2023-09-01,0.0,18.944065,169.45418,580.87195
2023-10-01,25.419306,18.254059,114.24368,581.131
2023-11-01,78.02262,13.616969,79.06743,586.4005
2023-12-01,117.17393,10.78957,58.49555,596.9842
2024-01-01,134.91496,10.262801,54.031548,602.05725
2024-02-01,96.45332,14.161312,63.060104,600.87823
2024-03-01,55.066257,26.427248,112.299706,591.9152
2024-04-01,10.178347,28.59567,155.00502,579.9697
2024-05-01,0.36546382,25.84567,189.24808,574.5124
2024-06-01,0.0,32.049805,245.18495,568.3516
2024-07-01,0.0,32.000755,241.95175,565.28406
2024-08-01,0.0,31.861082,213.78697,563.71686
2024-09-01,0.018393142,22.613453,166.176,564.16626
2024-10-01,1.9159777,16.32448,123.32274,564.22186
2024-11-01,32.75182,9.592096,70.874695,563.8954
2024-12-01,88.71925,7.2053285,58.043407,568.71466
2025-01-01,49.78554,8.832213,57.771496,566.1426
2025-02-01,87.25453,8.816872,59.87846,564.80255
2025-03-01,45.12408,24.342607,119.27292,563.0097
2025-04-01,5.0052505,25.263083,160.47195,553.2992
2025-05-01,0.00486888,24.404846,211.6464,548.592
2025-06-01,0.0,25.528519,234.6925,544.34924
2025-07-01,0.0,29.94743,246.52567,542.1506
2025-08-01,0.0,22.402664,210.6999,541.443
2025-09-01,0.0,22.32448,168.73003,540.75354
2025-10-01,2.2544749,17.346073,123.45248,540.13885
2025-11-01,63.275513,12.588813,84.98742,542.5318
2025-12-01,205.03981,8.170289,53.8748,561.4906
