time,PCP,AETI,RET,TWS
2018-01-01,85.07816,14.479753,57.44672,476.68527
2018-02-01,65.70065,20.596712,71.19935,486.84952
2018-03-01,17.72679,34.23323,121.76591,472.10022
2018-04-01,11.169087,20.979525,133.43448,463.0489
2018-05-01,7.362501,21.090372,183.71695,458.0256
2018-06-01,0.0,20.046373,195.58932,453.58353
2018-07-01,0.0,24.742023,206.57582,447.86823
2018-08-01,0.0,20.343634,184.63333,444.14935
2018-09-01,1.8727211,18.687265,151.06062,442.5155
2018-10-01,13.041277,22.109182,125.32956,446.11908
2018-11-01,97.19321,17.451384,77.71543,453.11328
2018-12-01,34.55105,18.656162,58.411438,490.16336
2019-01-01,15.270575,20.268015,71.72301,488.2819
2019-02-01,50.521397,17.888357,72.28978,518.0039
2019-03-01,30.325607,19.821177,93.35063,506.8061
2019-04-01,5.4359922,25.127993,127.34805,495.3025
2019-05-01,3.3179343,23.073286,183.15587,482.2981
2019-06-01,0.13631263,21.07919,192.46718,474.72778
2019-07-01,0.0,27.942888,208.90417,469.0407
2019-08-01,0.0,25.227526,194.9759,465.0957
2019-09-01,0.0,22.130142,151.65178,463.20532
2019-10-01,12.41117,21.061121,114.179924,466.7389
2019-11-01,12.492649,21.440912,88.54758,467.97815
2019-12-01,48.914856,15.979706,67.60722,485.77634
2020-01-01,72.93285,13.893149,54.646294,527.06146
2020-02-01,30.516027,16.902166,74.35085,521.08246
2020-03-01,28.106459,27.95263,107.73583,518.5891
2020-04-01,0.0,29.765614,131.45033,502.51117
2020-05-01,0.80389863,33.124084,177.57867,493.204
2020-06-01,0.0,25.83162,189.55832,486.3806
2020-07-01,0.0,29.596188,191.43188,480.18338
2020-08-01,0.0,24.375824,184.87126,475.97324
2020-09-01,0.0,19.324514,150.17499,473.92233
2020-10-01,3.3261733,23.446394,118.05279,473.17523
2020-11-01,34.516174,17.65202,79.43344,487.63382
2020-12-01,32.13754,17.389252,76.362434,493.693
2021-01-01,45.66418,19.89001,85.3125,491.6854
2021-02-01,41.690662,19.978556,76.68514,488.95825
2021-03-01,5.7174997,28.110052,112.06584,477.475
2021-04-01,0.08849102,24.396784,147.31825,467.24496
2021-05-01,0.2637902,25.634098,191.25696,460.26144
2021-06-01,0.0,23.709705,194.4449,460.1636
2021-07-01,0.0,28.274488,208.62009,454.10468
2021-08-01,0.0,27.873089,200.73254,450.38162
2021-09-01,0.0,25.1954,161.78221,448.78558
2021-10-01,8.832806,24.535353,123.17329,448.04895
2021-11-01,30.201635,19.250748,93.19365,452.93527
2021-12-01,100.00495,17.73303,75.86929,484.54825
2022-01-01,78.89739,15.56326,66.92186,523.424
2022-02-01,42.50031,19.38595,71.09186,517.5277
2022-03-01,35.72165,27.950163,101.14585,505.55447
2022-04-01,2.2931762,32.863125,148.24039,529.4683
2022-05-01,0.0,26.258818,172.58366,513.1976
2022-06-01,0.0,24.747007,195.33696,504.7825
2022-07-01,0.0,26.355833,206.17455,497.08337
2022-08-01,0.0,16.396322,188.34332,491.80496
2022-09-01,0.0,20.154636,156.85442,488.85498
2022-10-01,2.9900312,23.57733,116.753784,490.65207
2022-11-01,40.838654,20.454937,88.27294,492.59482
2022-12-01,66.80368,15.05897,67.34823,505.3742
2023-01-01,22.436758,18.48219,73.417366,516.35626
2023-02-01,20.803606,19.994694,74.93915,509.00357
2023-03-01,18.309958,32.29434,120.263054,498.97964
2023-04-01,26.187378,31.93203,147.10304,494.7109
2023-05-01,1.5904076,26.037321,178.24417,483.64053
2023-06-01,0.5285504,23.641174,189.47002,479.18427
2023-07-01,0.0,31.91376,210.01146,470.8362
2023-08-01,0.0,23.175749,187.20483,466.5816
2023-09-01,0.0,23.519821,156.58313,464.489
2023-10-01,14.810689,23.38057,113.15222,465.6179
2023-11-01,37.12498,21.638744,86.09137,469.24435
2023-12-01,49.38592,20.651985,74.356514,482.86215
2024-01-01,39.229965,19.761856,71.88729,491.18777
2024-02-01,29.644932,20.574625,78.20928,486.6622
2024-03-01,13.254003,22.81669,119.461914,476.82526
2024-04-01,3.5294678,16.27487,150.02232,465.17834
2024-05-01,0.19774331,11.407313,177.43425,461.48483
2024-06-01,0.0,15.947738,199.3706,454.75967
2024-07-01,0.0,16.54497,217.75717,450.37997
2024-08-01,0.0,18.756287,194.8902,447.65503
2024-09-01,0.0,13.159406,164.41385,447.03485
2024-10-01,2.890035,13.11894,127.00472,446.7482
2024-11-01,21.888906,9.535808,79.62072,449.03632
2024-12-01,53.46397,7.2921886,74.4228,454.96225
2025-01-01,22.260242,10.209845,71.851074,453.83618
2025-02-01,22.254627,14.840828,71.04686,449.93265
2025-03-01,13.18989,29.124199,122.552124,448.15143
2025-04-01,0.0,20.051983,151.03961,439.50464
2025-05-01,0.08021691,15.320189,189.41438,436.56784
2025-06-01,0.0,14.959237,191.69067,432.7381
2025-07-01,0.0,17.49913,215.31352,430.14413
2025-08-01,0.0,11.672086,191.6544,428.56924
2025-09-01,0.016571615,13.880516,153.70384,427.59802
2025-10-01,3.2696803,12.224868,122.83665,427.12598
2025-11-01,52.336254,12.760471,97.90957,431.69678
2025-12-01,59.492935,15.346344,72.975586,453.27637
