time,PCP,AETI,RET,TWS
2018-01-01,198.19724,13.090557,40.290092,565.9219
2018-02-01,145.85922,26.44115,58.616993,580.6631
2018-03-01,36.340458,48.23821,106.65107,563.81525
2018-04-01,17.86194,44.89566,134.42036,548.4838
2018-05-01,14.119813,45.504967,183.84314,545.5127
2018-06-01,0.0,42.93171,201.72495,532.10236
2018-07-01,0.0,49.405888,215.45453,524.57605
2018-08-01,0.0,42.834904,191.7835,520.88965
2018-09-01,2.8294008,34.110985,153.86029,519.1257
2018-10-01,21.033936,27.65811,112.59249,523.89777
2018-11-01,80.25662,18.576294,61.10384,529.80664
2018-12-01,143.43706,14.053087,38.16908,583.23456
2019-01-01,89.02332,19.017498,50.641773,592.42426
2019-02-01,127.76412,21.74331,53.231865,629.41364
2019-03-01,139.5079,35.60355,78.74759,617.5287
2019-04-01,31.605898,54.04068,118.8877,609.2521
2019-05-01,6.8134756,64.779755,198.59048,585.2654
2019-06-01,0.15500087,50.316284,207.60292,570.4644
2019-07-01,0.0,54.52166,219.0857,562.7761
2019-08-01,0.0,48.5356,199.43288,558.5594
2019-09-01,0.07340894,37.1049,153.2889,556.4606
2019-10-01,18.42969,28.40654,111.62182,562.1187
2019-11-01,27.840061,21.135328,84.01505,562.46606
2019-12-01,145.25336,11.58045,49.479374,590.108
2020-01-01,202.64519,11.441233,37.83829,652.246
2020-02-01,54.514626,20.018404,54.073788,653.7817
2020-03-01,67.79117,42.009274,87.261246,653.3918
2020-04-01,0.0,53.372047,119.61716,632.2726
2020-05-01,0.21676941,65.916794,185.30902,611.74005
2020-06-01,0.0,51.755074,202.13559,596.93335
2020-07-01,0.0,52.585686,210.00484,588.325
2020-08-01,0.0,46.738243,196.42361,583.75867
2020-09-01,0.07340894,37.816162,163.36325,580.89484
2020-10-01,1.9980158,31.854067,119.761406,579.6768
2020-11-01,119.9968,19.736101,62.487125,594.37256
2020-12-01,101.7674,20.734516,54.940563,604.1139
2021-01-01,107.97887,23.367022,61.557014,606.60614
2021-02-01,92.59358,27.485708,65.71855,614.16876
2021-03-01,27.37222,41.84269,97.51334,596.5783
2021-04-01,4.4860573,54.80963,152.16962,578.0111
2021-05-01,4.2871137,52.785564,204.97151,560.6863
2021-06-01,0.0,43.399345,203.77599,554.9286
2021-07-01,0.0,50.434933,222.21626,546.8529
2021-08-01,0.0,49.8924,211.76663,542.6167
2021-09-01,0.09569453,46.01304,156.18831,540.8818
2021-10-01,14.638852,33.870064,111.22344,540.32733
2021-11-01,49.436142,20.955198,78.6562,544.78424
2021-12-01,162.17761,13.494093,53.25792,571.10535
2022-01-01,143.47173,15.17065,46.88212,583.1169
2022-02-01,52.372665,22.579338,54.515423,584.9165
2022-03-01,78.73965,36.941048,79.98104,581.7624
2022-04-01,9.774633,64.58946,152.36105,589.35486
2022-05-01,0.011956665,51.425594,188.82578,568.7891
2022-06-01,0.0,46.015347,206.09547,557.02203
2022-07-01,0.0,48.41354,218.62007,550.1093
2022-08-01,0.0,40.066845,198.8495,548.22766
2022-09-01,0.07340894,35.72967,160.60944,545.4536
2022-10-01,2.6547692,29.85827,111.682495,546.0301
2022-11-01,76.69583,19.589514,67.64246,550.28687
2022-12-01,68.47957,15.71457,49.918736,575.856
2023-01-01,83.90749,18.315933,55.47828,583.6725
2023-02-01,72.566,18.930016,62.121937,591.29944
2023-03-01,92.05602,38.677177,102.28413,577.90826
2023-04-01,74.2351,53.80385,134.82748,572.8878
2023-05-01,3.5283155,54.28649,176.8732,554.4088
2023-06-01,2.1833339,47.33997,192.53209,546.1481
2023-07-01,0.0,53.823875,229.73386,537.1143
2023-08-01,0.0,37.231945,197.58519,533.2356
2023-09-01,0.109711625,28.462936,158.35141,531.34717
2023-10-01,15.014353,25.041716,112.84459,531.8292
2023-11-01,85.7525,20.379795,71.92594,540.44
2023-12-01,105.18051,18.580296,54.614754,555.12604
2024-01-01,120.27153,17.984776,46.782467,561.10516
2024-02-01,112.00641,25.48177,55.59324,571.09796
2024-03-01,53.70087,50.318123,100.31314,566.2348
2024-04-01,13.890765,57.408047,139.5613,547.03546
2024-05-01,1.3473089,47.942062,174.44287,536.07574
2024-06-01,0.0,47.7466,224.893,523.9793
2024-07-01,0.0,40.75222,226.29439,517.7931
2024-08-01,0.0,42.264008,201.67386,514.91425
2024-09-01,0.14908126,33.008636,157.03125,514.5867
2024-10-01,1.8866549,25.982473,113.174225,513.5775
2024-11-01,34.40927,15.974187,66.02961,518.87335
2024-12-01,84.67293,13.384624,55.14293,525.5574
2025-01-01,52.583607,18.620478,55.694653,536.26135
2025-02-01,68.89132,18.526825,54.95936,532.65894
2025-03-01,32.695423,49.127235,112.09166,525.47766
2025-04-01,5.5366435,50.670364,147.22739,512.0078
2025-05-01,0.013919223,41.294823,196.70049,501.26486
2025-06-01,0.0,35.656418,217.00656,493.68686
2025-07-01,0.0,35.756973,233.59985,489.52597
2025-08-01,0.0,30.49381,203.2073,487.6327
2025-09-01,0.11903506,31.596123,156.28748,486.53503
2025-10-01,2.0715442,25.095581,113.61616,485.9334
2025-11-01,46.649025,20.383669,82.768036,489.4582
2025-12-01,186.5059,14.110483,51.784573,529.0903
