time,PCP,AETI,RET,TWS
2018-01-01,271.99304,14.943648,46.822643,535.0819
2018-02-01,174.30618,27.838438,61.32277,550.73035
2018-03-01,41.859955,46.453217,108.23005,533.6805
2018-04-01,21.340649,42.66369,130.2776,518.5404
2018-05-01,12.778288,43.952427,184.78741,514.49176
2018-06-01,0.0,42.67334,193.84782,501.99515
2018-07-01,0.0,48.243015,207.9443,493.8765
2018-08-01,0.0,43.206696,186.8148,489.4724
2018-09-01,2.5888247,37.955517,154.41257,487.17184
2018-10-01,24.429213,31.39173,123.30761,491.56866
2018-11-01,105.67303,21.47761,73.42443,497.79373
2018-12-01,173.86555,15.774661,48.37849,555.6404
2019-01-01,105.491066,20.798145,57.730373,564.6997
2019-02-01,128.23721,20.918182,61.793877,597.1454
2019-03-01,156.01768,30.03638,80.2498,584.97754
2019-04-01,32.14946,46.540733,119.816315,577.33826
2019-05-01,7.5960674,64.0846,185.91655,552.1763
2019-06-01,0.32506296,52.85067,195.6616,535.4179
2019-07-01,0.0,54.936302,210.8181,525.9816
2019-08-01,0.0,49.74282,194.14027,520.48834
2019-09-01,0.42539415,40.662132,153.39108,517.6141
2019-10-01,20.04781,32.708702,117.02738,522.29944
2019-11-01,33.062157,25.60446,107.21423,522.97473
2019-12-01,192.80121,14.581009,60.952805,551.60187
2020-01-01,322.04697,13.033088,42.48151,615.85754
2020-02-01,65.66458,19.708374,59.02799,617.5976
2020-03-01,83.99865,39.745136,92.13619,616.3782
2020-04-01,0.0,48.218693,118.65276,594.31854
2020-05-01,0.606682,61.99938,187.85255,572.75146
2020-06-01,0.0,51.567654,191.77286,556.5033
2020-07-01,0.0,55.18562,193.44183,546.36017
2020-08-01,0.0,46.255882,188.47015,540.4622
2020-09-01,0.42539415,38.504467,154.93588,536.94684
2020-10-01,3.0920846,36.073563,120.988655,535.1925
2020-11-01,130.04283,22.234459,76.39719,551.9117
2020-12-01,161.86665,23.50378,70.49438,566.54596
2021-01-01,159.0202,26.657196,76.93801,568.6383
2021-02-01,128.92809,27.606138,70.22019,576.68787
2021-03-01,37.57158,38.751293,97.554146,560.4837
2021-04-01,2.6696804,51.724957,147.37651,542.60065
2021-05-01,4.847836,54.63863,189.1933,525.5685
2021-06-01,0.0,46.106888,195.51897,519.535
2021-07-01,0.0,51.610825,209.54613,510.8416
2021-08-01,0.0,50.621365,201.09673,505.71878
2021-09-01,0.42539415,47.426414,159.75215,503.3194
2021-10-01,18.30811,37.95454,120.45101,502.2968
2021-11-01,64.650826,25.932978,104.620865,506.83585
2021-12-01,219.69022,16.065798,70.391304,539.82544
2022-01-01,223.44699,16.93388,54.188755,555.69354
2022-02-01,68.19264,23.425056,57.064808,558.14594
2022-03-01,90.93917,34.71627,83.40547,553.95
2022-04-01,9.03991,60.833763,144.94978,557.9599
2022-05-01,0.023237515,54.038246,180.16028,536.0423
2022-06-01,0.0,50.80583,197.25116,522.7398
2022-07-01,0.0,50.192875,206.70346,514.42316
2022-08-01,0.0,42.09315,189.56348,511.20322
2022-09-01,0.42539415,37.539894,158.84624,507.84976
2022-10-01,4.989715,32.55133,117.50613,508.03003
2022-11-01,86.060265,23.713566,85.39539,511.8771
2022-12-01,101.429726,20.093487,66.676834,537.51495
2023-01-01,85.36934,21.828674,73.019295,546.3368
2023-02-01,92.40211,21.646858,68.42458,556.26483
2023-03-01,88.27196,38.409218,106.83034,544.32715
2023-04-01,70.12056,50.381573,134.48315,541.3541
2023-05-01,3.3714519,53.65382,179.11888,522.7758
2023-06-01,2.511113,48.35855,186.41115,514.51086
2023-07-01,0.0,59.09055,214.87888,504.1756
2023-08-01,0.0,40.562828,188.24458,499.15378
2023-09-01,0.47951636,32.50812,157.3158,496.49
2023-10-01,13.48342,32.439774,125.82354,496.7305
2023-11-01,100.995476,24.681555,83.305,504.43835
2023-12-01,139.64731,21.706654,71.40045,519.8354
2024-01-01,180.67421,18.27218,51.891895,527.0897
2024-02-01,153.4455,24.057503,58.9604,542.249
2024-03-01,68.652016,46.947254,104.25316,537.6865
2024-04-01,22.161003,55.308075,138.25146,520.01575
2024-05-01,1.6923746,49.248535,171.49397,508.95834
2024-06-01,0.0,51.11708,203.48782,496.1633
2024-07-01,0.0,44.712364,217.12224,488.9092
2024-08-01,0.0,45.239964,193.30559,485.05603
2024-09-01,0.50588995,36.73197,158.93535,484.14474
2024-10-01,3.0189176,32.16654,126.886505,482.68738
2024-11-01,32.98916,18.462322,78.66274,489.7197
2024-12-01,120.64613,17.839506,72.10447,497.6482
2025-01-01,74.64197,23.992256,72.8563,511.3396
2025-02-01,76.20995,21.36672,63.071445,507.4869
2025-03-01,43.950455,51.465958,124.179344,500.49927
2025-04-01,1.2813306,52.612675,147.92738,487.6129
2025-05-01,0.092050835,48.998543,189.15659,478.4401
2025-06-01,0.0,40.085667,197.02638,470.91043
2025-07-01,0.0,38.681473,216.7091,466.34195
2025-08-01,0.0,30.438189,194.15778,463.90945
2025-09-01,0.498831,34.54889,154.4114,462.38635
2025-10-01,3.3874319,30.996119,121.730995,461.46313
2025-11-01,70.29616,28.897848,108.61606,465.3372
2025-12-01,295.8969,20.014103,66.64675,507.86517
