time,PCP,AETI,RET,TWS
2018-01-01,68.5828,12.323099,56.875,494.329
2018-02-01,61.015446,16.944164,71.8125,504.10425
2018-03-01,19.099342,23.6453,123.8125,489.3747
2018-04-01,9.361563,15.551179,135.8125,480.99893
2018-05-01,7.150797,17.902122,188.125,476.21887
2018-06-01,0.0,15.04145,198.81248,472.02466
2018-07-01,0.0,20.119373,209.625,466.60214
2018-08-01,0.0,17.99732,186.81248,463.1507
2018-09-01,1.6554046,15.77203,152.1875,461.6561
2018-10-01,11.48585,17.928482,126.125,465.3176
2018-11-01,89.550285,14.791172,77.5,472.26083
2018-12-01,29.819698,16.053997,57.5,509.01938
2019-01-01,13.792003,15.798835,71.375,506.1219
2019-02-01,44.379807,13.969289,72.6875,535.1036
2019-03-01,28.60038,16.638754,94.1875,523.42566
2019-04-01,5.815506,21.795444,129.1875,511.81598
2019-05-01,3.3718557,18.92077,187.81248,499.28503
2019-06-01,0.11602199,15.807941,196.18752,492.3373
2019-07-01,0.0,22.667616,211.81248,487.28586
2019-08-01,0.0,20.80205,197.31248,483.81656
2019-09-01,0.0,17.517164,152.6875,482.17426
2019-10-01,11.591303,17.064161,114.3125,485.78903
2019-11-01,11.80108,18.032589,88.125,486.76956
2019-12-01,41.01141,13.322091,66.6875,504.22833
2020-01-01,61.64089,11.345407,54.0,544.6733
2020-02-01,24.310373,14.637973,74.5,538.1369
2020-03-01,28.947527,23.509384,109.625,535.1078
2020-04-01,0.0,22.051733,133.6875,519.0919
2020-05-01,0.08845515,24.394281,181.125,510.48984
2020-06-01,0.0,19.02294,193.18752,504.28543
2020-07-01,0.0,24.319342,194.81248,498.71857
2020-08-01,0.0,20.030632,187.125,494.9872
2020-09-01,0.0,15.254231,151.625,493.16446
2020-10-01,1.9911703,18.76411,117.8125,492.5203
2020-11-01,27.87155,13.899225,78.0,506.45126
2020-12-01,25.934563,13.4199095,75.625,511.43896
2021-01-01,42.196182,15.706286,85.3125,508.4639
2021-02-01,41.496746,15.33355,77.0,505.42432
2021-03-01,4.4959364,18.975172,113.375,493.90445
2021-04-01,0.3198861,17.410852,150.5,483.99155
2021-05-01,0.054579973,20.08348,195.375,477.4336
2021-06-01,0.0,18.45325,197.18752,477.5255
2021-07-01,0.0,22.233932,212.125,471.84842
2021-08-01,0.0,21.84595,203.5,468.43872
2021-09-01,0.0,19.83974,162.3125,467.00742
2021-10-01,8.0213375,19.453993,122.875,466.32468
2021-11-01,27.951658,15.531245,92.8125,471.26752
2021-12-01,88.25163,16.170206,74.875,502.11276
2022-01-01,57.828823,13.558199,66.375,540.30707
2022-02-01,37.510166,17.121292,71.125,533.7517
2022-03-01,34.234013,21.999565,101.875,521.41034
2022-04-01,2.2479038,22.097452,152.375,544.6676
2022-05-01,0.0,17.980957,177.0,528.64984
2022-06-01,0.0,17.349312,198.875,521.01416
2022-07-01,0.0,19.855352,209.0,514.1796
2022-08-01,0.0,12.336022,190.81248,509.58804
2022-09-01,0.0,15.001582,157.625,506.95447
2022-10-01,3.472789,19.135124,116.6875,508.85135
2022-11-01,36.501564,17.1109,87.1875,510.6533
2022-12-01,46.923073,11.950849,66.3125,523.0432
2023-01-01,18.311323,16.03534,72.8125,533.38855
2023-02-01,17.905275,17.379934,74.5,525.44507
2023-03-01,16.49291,23.854057,121.8125,515.29175
2023-04-01,26.53443,22.824553,149.8125,510.80386
2023-05-01,1.7467371,20.256842,182.31248,499.63986
2023-06-01,0.557922,18.440279,193.68752,495.38474
2023-07-01,0.0,25.595318,214.18752,487.52893
2023-08-01,0.0,18.455515,189.5,483.71573
2023-09-01,0.0,17.592312,158.0,481.84668
2023-10-01,10.529396,17.970219,112.8125,483.05588
2023-11-01,37.96391,17.153614,85.3125,486.72595
2023-12-01,50.19896,16.574326,73.3125,500.20935
2024-01-01,30.509878,16.026993,71.125,507.94592
2024-02-01,25.36078,17.298944,78.375,502.90054
2024-03-01,11.083976,17.920918,120.8125,492.86136
2024-04-01,3.333284,13.333333,153.1875,481.42758
2024-05-01,0.2649007,11.585005,180.5,478.0812
2024-06-01,0.0,14.211201,203.68752,471.60663
2024-07-01,0.0,14.103504,221.18752,467.61444
2024-08-01,0.0,16.938488,196.81248,465.1825
2024-09-01,0.0,12.111533,165.375,464.7184
2024-10-01,2.0398176,10.733942,126.375,464.48135
2024-11-01,20.426722,7.3257394,78.875,466.80875
2024-12-01,50.37237,5.287059,73.3125,472.67105
2025-01-01,17.229067,7.7868314,71.3125,470.91876
2025-02-01,19.679531,13.012409,70.5,466.5676
2025-03-01,10.18932,24.252699,124.375,464.51294
2025-04-01,0.0,15.041607,154.3125,455.92288
2025-05-01,1.2729493,12.420058,193.375,453.1498
2025-06-01,0.0,12.593577,195.875,449.46106
2025-07-01,0.0,14.810947,219.125,447.07358
2025-08-01,0.0,9.145645,193.875,445.67407
2025-09-01,0.0,11.615092,154.375,444.79538
2025-10-01,2.4918625,9.423816,122.6875,444.3537
2025-11-01,49.821457,7.5538683,98.125,448.9509
2025-12-01,56.52844,9.498843,71.625,470.23257
