time,PCP,AETI,RET,TWS
2018-01-01,183.3419,12.7588,43.245075,567.34686
2018-02-01,169.28883,24.794567,63.35075,575.6238
2018-03-01,41.289196,42.186398,112.684494,562.61597
2018-04-01,19.665066,38.78897,139.66261,552.50104
2018-05-01,13.547939,44.13007,193.66893,548.8755
2018-06-01,0.0,41.276104,207.12424,539.79047
2018-07-01,0.0,46.184193,221.58286,534.4319
2018-08-01,0.0,39.38461,195.77539,531.6979
2018-09-01,2.4690115,31.67766,160.45024,530.2931
2018-10-01,18.022352,26.737675,121.85895,533.7712
2018-11-01,91.06475,18.964376,67.70362,537.6965
2018-12-01,129.38751,14.232193,43.396854,575.14404
2019-01-01,93.561,18.574257,55.424442,577.1245
2019-02-01,148.02962,20.108625,59.45912,606.0858
2019-03-01,162.37222,30.463932,83.73597,597.75555
2019-04-01,27.388096,47.627895,124.36308,591.8699
2019-05-01,7.185285,58.941807,204.44714,573.9104
2019-06-01,0.054233335,47.443443,211.05234,564.5925
2019-07-01,0.0,51.557045,226.0229,559.2942
2019-08-01,0.0,45.788807,205.79254,556.2206
2019-09-01,0.012353615,34.825108,158.81705,554.6111
2019-10-01,23.276892,27.484879,119.01439,559.2195
2019-11-01,31.311073,21.385767,100.06071,558.41315
2019-12-01,142.1193,12.300146,55.606716,576.3955
2020-01-01,229.89928,11.249523,41.310223,609.03864
2020-02-01,77.684525,17.932262,55.462723,609.16296
2020-03-01,82.541435,36.728683,88.959755,616.51086
2020-04-01,0.0,45.71388,120.921265,602.8774
2020-05-01,1.9179053,57.962646,187.28851,588.3089
2020-06-01,0.0,47.92428,201.93347,578.91364
2020-07-01,0.0,50.921234,210.62193,573.1886
2020-08-01,0.0,43.98233,197.29019,570.25964
2020-09-01,0.012353615,35.25869,166.82782,567.9801
2020-10-01,2.6479716,31.044523,122.7339,566.9038
2020-11-01,114.25163,19.086334,68.0859,577.42975
2020-12-01,159.84538,20.746996,62.338654,580.8408
2021-01-01,115.23197,23.39133,68.55497,581.2555
2021-02-01,112.07952,25.350637,68.307915,583.3208
2021-03-01,35.67921,36.985485,97.23584,573.7093
2021-04-01,1.2409444,48.817665,154.6411,561.44604
2021-05-01,1.0729815,49.867687,205.77151,549.9085
2021-06-01,0.0,42.221794,204.98814,548.0586
2021-07-01,0.0,48.75454,222.74525,542.171
2021-08-01,0.0,46.849865,211.5909,539.0603
2021-09-01,0.02677006,41.568806,158.07184,538.179
2021-10-01,14.471369,32.571285,116.49879,537.0332
2021-11-01,65.55166,22.5266,89.352135,540.4183
2021-12-01,198.03339,13.968416,58.718884,560.6373
2022-01-01,146.53513,14.585368,48.382107,588.4856
2022-02-01,82.06534,20.801317,54.494804,589.2718
2022-03-01,87.16727,31.697956,81.6517,582.9218
2022-04-01,9.125956,57.82124,152.24615,598.5197
2022-05-01,0.0,47.516697,188.8323,580.9325
2022-06-01,0.0,45.04842,206.63802,571.7887
2022-07-01,0.0,47.73208,219.08342,566.14233
2022-08-01,0.0,38.466873,199.37613,564.7958
2022-09-01,0.012353615,33.644794,162.50476,562.3203
2022-10-01,4.225867,27.774633,114.77592,563.79675
2022-11-01,90.08215,19.971891,73.57168,567.409
2022-12-01,89.328415,17.308893,57.95722,590.17706
2023-01-01,76.21743,19.536581,61.69826,599.87683
2023-02-01,105.43182,19.015114,63.43527,602.4189
2023-03-01,94.59275,36.64931,103.93571,591.81116
2023-04-01,75.00237,49.302505,137.31427,585.4794
2023-05-01,2.7401445,53.780914,179.87848,570.3261
2023-06-01,1.6106653,48.2255,193.47751,564.054
2023-07-01,0.0,55.20487,231.81291,556.8958
2023-08-01,0.0,35.95836,197.73732,553.5058
2023-09-01,0.012353615,28.73743,161.1295,551.757
2023-10-01,19.881834,26.670874,115.37284,551.96906
2023-11-01,86.86471,21.062656,77.446785,557.89307
2023-12-01,133.72206,18.968195,61.97693,570.22906
2024-01-01,143.25919,17.14771,50.30659,576.73627
2024-02-01,127.44239,23.188322,59.08914,579.8005
2024-03-01,66.60642,44.292645,105.68355,572.42694
2024-04-01,12.499456,50.664806,144.08238,558.2725
2024-05-01,1.4913797,45.856716,177.2033,550.59436
2024-06-01,0.0,48.497463,225.68921,542.18097
2024-07-01,0.0,43.85569,228.89311,537.6811
2024-08-01,0.0,42.248287,202.68788,535.35913
2024-09-01,0.053055093,31.46031,159.7407,535.35834
2024-10-01,2.2300298,25.96257,121.06967,534.9982
2024-11-01,37.361984,15.771382,71.380295,536.36066
2024-12-01,100.07369,13.7426195,60.803856,541.56433
2025-01-01,60.027546,18.119755,62.097805,543.06915
2025-02-01,83.64189,16.23203,58.433495,541.3307
2025-03-01,44.165764,42.996098,117.72378,538.6493
2025-04-01,3.7162402,45.023083,152.11433,528.2043
2025-05-01,0.20426854,40.554848,198.98206,521.74884
2025-06-01,0.0,35.55312,216.00282,516.3431
2025-07-01,0.0,37.191395,232.46411,513.3024
2025-08-01,0.0,27.431652,202.02354,512.0215
2025-09-01,0.02677006,28.982504,158.5316,511.0852
2025-10-01,2.5702715,24.843546,119.23246,510.39084
2025-11-01,73.58537,21.283735,93.10532,513.04083
2025-12-01,251.04552,14.154137,56.05959,537.9624
