time,PCP,AETI,RET,TWS
2018-01-01,234.17159,14.820231,44.92866,542.0642
2018-02-01,176.84926,26.966707,63.46139,557.19977
2018-03-01,41.636753,45.36534,111.68581,541.5478
2018-04-01,16.986357,43.409184,134.89243,527.0775
2018-05-01,13.17065,50.023067,190.42409,523.7989
2018-06-01,0.0,46.600716,201.35068,510.83072
2018-07-01,0.0,51.331074,215.82881,502.85965
2018-08-01,0.0,44.70845,191.59322,498.73285
2018-09-01,2.8122487,38.129143,157.98251,496.69418
2018-10-01,23.74491,32.34111,125.740555,501.01172
2018-11-01,109.07175,22.348265,71.80188,506.44095
2018-12-01,144.18332,15.929876,46.110886,561.7706
2019-01-01,98.30898,20.42002,57.18831,571.4612
2019-02-01,132.3191,19.91716,62.046585,605.85596
2019-03-01,158.65561,28.484386,82.70218,595.6509
2019-04-01,30.835903,46.856598,123.10993,588.05707
2019-05-01,7.87798,65.98153,195.00774,563.3455
2019-06-01,0.24859403,54.204422,203.10635,547.053
2019-07-01,0.0,57.033897,219.35773,537.99554
2019-08-01,0.0,51.77952,200.74338,532.8104
2019-09-01,0.18797785,41.01088,156.43286,530.20905
2019-10-01,22.893637,33.160683,119.01618,535.26556
2019-11-01,33.851048,26.673838,108.80091,535.073
2019-12-01,151.37698,14.237203,59.011745,562.8314
2020-01-01,300.08167,12.028692,42.543194,626.06903
2020-02-01,70.50277,18.104002,56.34259,628.9325
2020-03-01,83.61353,37.52891,88.61993,628.63696
2020-04-01,0.0,48.188248,117.92334,608.0359
2020-05-01,0.61011016,65.086,185.72688,586.98157
2020-06-01,0.0,54.611107,196.0547,570.7808
2020-07-01,0.0,58.97169,200.63698,560.8382
2020-08-01,0.0,50.032314,191.92566,555.1888
2020-09-01,0.18797785,40.88816,160.15504,551.80347
2020-10-01,3.201572,36.959885,121.668495,550.1648
2020-11-01,136.93288,22.291904,72.86709,565.6509
2020-12-01,158.94992,23.910381,68.557945,577.12756
2021-01-01,138.26064,26.631573,74.613205,578.8761
2021-02-01,115.93451,27.252502,69.25813,586.90027
2021-03-01,40.66962,38.14586,95.9369,571.5544
2021-04-01,1.003881,53.23897,150.45595,553.72107
2021-05-01,3.4854531,58.095943,196.70317,536.4274
2021-06-01,0.0,49.31994,199.57475,530.4476
2021-07-01,0.0,55.382782,214.9651,521.63196
2021-08-01,0.0,52.529125,205.54683,516.70856
2021-09-01,0.25171536,43.92487,158.69038,514.5895
2021-10-01,19.10925,35.946835,118.43696,513.7144
2021-11-01,74.11223,27.390707,99.863945,517.66113
2021-12-01,197.85214,16.839682,65.28822,547.1122
2022-01-01,178.88474,16.85932,50.65551,561.71155
2022-02-01,77.24099,22.53269,54.631023,564.5331
2022-03-01,90.69152,32.890587,81.23184,562.2098
2022-04-01,8.400313,60.977013,146.75351,566.3146
2022-05-01,0.059455253,55.84388,183.69388,545.5392
2022-06-01,0.0,53.52725,201.30562,532.9672
2022-07-01,0.0,54.168118,211.81122,525.08386
2022-08-01,0.0,46.061653,193.38843,522.32007
2022-09-01,0.18797785,39.56827,160.42609,519.1768
2022-10-01,5.381776,33.202766,115.96634,519.3993
2022-11-01,93.57606,23.886934,80.29249,523.1171
2022-12-01,87.92769,20.22809,63.958874,548.12665
2023-01-01,79.733604,21.651272,68.41575,554.2512
2023-02-01,101.58569,20.722456,65.725655,564.62225
2023-03-01,101.575935,38.27321,104.748566,553.03546
2023-04-01,72.405426,51.43864,135.31055,549.6769
2023-05-01,3.3390174,57.76871,179.28343,531.73584
2023-06-01,2.2051926,52.936874,189.3139,523.19135
2023-07-01,0.0,62.774075,223.1001,513.37555
2023-08-01,0.0,42.9715,191.76595,508.76385
2023-09-01,0.25435576,33.726425,159.0258,506.44308
2023-10-01,13.824915,32.542572,121.03705,506.6523
2023-11-01,96.37791,24.982798,81.35901,514.29565
2023-12-01,132.11916,21.284788,68.412445,528.8338
2024-01-01,168.83305,17.640396,51.5334,535.41516
2024-02-01,146.7719,23.122868,59.24053,547.9178
2024-03-01,71.841965,45.669056,105.23665,544.06055
2024-04-01,18.877552,55.334984,140.88191,526.6874
2024-05-01,1.5629227,51.788128,173.99698,516.0687
2024-06-01,0.0,55.802097,213.80646,503.67343
2024-07-01,0.0,50.010757,222.95619,496.8647
2024-08-01,0.0,48.32575,197.55867,493.4011
2024-09-01,0.25435576,37.593758,159.44778,492.73962
2024-10-01,2.8389838,32.16932,124.82673,491.48392
2024-11-01,37.16225,19.184916,75.68665,497.3366
2024-12-01,101.69504,18.107338,67.529366,503.76907
2025-01-01,67.84367,23.01886,69.03378,515.1493
2025-02-01,84.34258,19.417774,61.04424,512.2076
2025-03-01,48.25178,49.41231,122.02077,506.00827
2025-04-01,1.0188137,53.619144,150.7588,493.70978
2025-05-01,0.0,52.05052,194.04343,484.3152
2025-06-01,0.0,44.38958,205.91908,476.9945
2025-07-01,0.0,43.281956,223.9154,472.6543
2025-08-01,0.0,33.520405,197.4585,470.47903
2025-09-01,0.25181338,35.689865,155.87672,469.19223
2025-10-01,3.5630941,30.953634,121.061554,468.44647
2025-11-01,76.05502,28.040678,103.63163,471.79596
2025-12-01,250.93736,18.111452,61.98477,511.26422
