time,PCP,AETI,RET,TWS
2018-01-01,136.26784,12.764055,39.830795,490.61017
2018-02-01,111.81261,27.023811,56.894474,508.42865
2018-03-01,20.532574,44.58513,103.498276,490.02167
2018-04-01,14.932232,30.948223,130.2121,471.01227
2018-05-01,15.001069,26.73191,177.94202,468.9302
2018-06-01,0.0,27.480621,196.6498,454.9261
2018-07-01,0.0,36.14022,211.36499,446.38034
2018-08-01,0.0,32.87321,188.86295,441.93512
2018-09-01,2.8995585,26.58177,149.23502,439.697
2018-10-01,21.524431,22.413195,109.561165,444.24228
2018-11-01,58.54795,16.215364,61.71179,450.6193
2018-12-01,107.2419,13.748341,39.002388,509.5413
2019-01-01,66.586426,19.920559,48.777122,522.1698
2019-02-01,92.5384,25.848928,53.674778,563.52405
2019-03-01,97.2023,42.11568,76.02876,550.02826
2019-04-01,23.56048,53.295906,115.54068,538.4716
2019-05-01,8.773686,49.131557,188.99036,509.93875
2019-06-01,0.19896874,37.177845,199.75032,491.22314
2019-07-01,0.0,42.04037,213.6733,480.99448
2019-08-01,0.0,38.507435,194.64511,475.15076
2019-09-01,0.0,31.208942,149.34451,472.13525
2019-10-01,13.891571,22.719196,108.3962,477.96436
2019-11-01,17.004803,16.733727,80.48491,479.7274
2019-12-01,119.33528,11.066849,48.343033,510.2073
2020-01-01,103.58828,13.533691,36.3217,578.8867
2020-02-01,25.697681,24.69518,53.58162,582.84094
2020-03-01,40.016163,46.025578,86.11399,582.20514
2020-04-01,0.0,50.33836,119.13777,554.98755
2020-05-01,0.054521475,49.118164,184.33751,527.627
2020-06-01,0.0,38.260323,201.79443,508.90866
2020-07-01,0.0,40.30062,210.06445,497.6697
2020-08-01,0.0,36.4335,197.04321,491.38095
2020-09-01,0.0,31.538176,161.91504,487.5664
2020-10-01,0.81690925,25.893309,119.05304,485.83133
2020-11-01,77.135056,17.422274,64.890915,502.1571
2020-12-01,51.475727,18.018412,56.60018,515.17377
2021-01-01,66.89828,20.664377,62.312153,521.7534
2021-02-01,52.890327,28.597178,65.167534,532.3118
2021-03-01,11.118316,42.662086,96.19112,512.9089
2021-04-01,0.2231151,39.24745,149.88965,491.12732
2021-05-01,5.5368752,32.78558,200.93974,472.67007
2021-06-01,0.0,29.544697,204.35455,466.92966
2021-07-01,0.0,35.25569,222.38799,458.7299
2021-08-01,0.0,35.8253,209.88692,454.00293
2021-09-01,0.0,35.489723,156.06989,451.86966
2021-10-01,13.591138,26.193071,109.495,451.168
2021-11-01,32.265133,16.544647,79.46139,455.83316
2021-12-01,115.01743,11.895504,55.8443,487.73734
2022-01-01,87.3199,14.887362,47.48108,500.8193
2022-02-01,23.374525,25.197376,55.17828,503.7258
2022-03-01,50.024624,41.317028,78.99548,501.39166
2022-04-01,7.1507177,52.721054,151.37245,508.43048
2022-05-01,0.08458973,30.443583,188.36343,484.20447
2022-06-01,0.0,29.320951,206.56136,470.7023
2022-07-01,0.0,33.535744,218.33559,462.64795
2022-08-01,0.0,25.49516,200.19043,460.13028
2022-09-01,0.0,28.791975,160.27718,456.6777
2022-10-01,1.2967739,24.798958,111.66928,456.88034
2022-11-01,54.92667,16.63553,68.96716,461.2447
2022-12-01,45.254314,12.90728,51.268467,489.6644
2023-01-01,65.95785,17.970453,57.817,500.68707
2023-02-01,23.912504,20.404758,62.627098,511.79617
2023-03-01,56.048267,39.300358,102.00213,497.6192
2023-04-01,56.838142,47.646935,135.22285,492.5084
2023-05-01,4.8224516,38.73084,178.6683,472.81512
2023-06-01,2.317492,34.09936,193.68468,463.84436
2023-07-01,0.0,40.933067,226.27959,453.94217
2023-08-01,0.0,29.71007,199.01158,449.34787
2023-09-01,0.06396614,21.892727,157.78357,447.02368
2023-10-01,15.852163,20.84345,114.038315,447.24423
2023-11-01,82.253365,17.100157,72.37101,456.561
2023-12-01,70.92695,18.43041,56.88375,474.41034
2024-01-01,56.68401,20.438522,46.916084,482.66006
2024-02-01,67.84039,30.476597,55.493317,494.37747
2024-03-01,21.267458,55.12673,99.00331,489.5779
2024-04-01,10.086848,49.291046,139.21513,467.89996
2024-05-01,1.6800934,31.233036,176.42105,456.5258
2024-06-01,0.0,32.86607,221.81105,444.50607
2024-07-01,0.0,27.368074,225.98834,437.97852
2024-08-01,0.0,32.383503,202.26491,434.70468
2024-09-01,0.0,26.037666,157.85439,434.04633
2024-10-01,0.9317966,21.216032,111.80477,432.92966
2024-11-01,19.048489,14.030575,67.24188,438.27182
2024-12-01,41.378593,10.577284,57.01059,446.18262
2025-01-01,37.10242,18.132309,58.965298,459.51755
2025-02-01,25.11068,20.300037,56.508877,457.17267
2025-03-01,9.683637,43.10676,113.08588,450.13223
2025-04-01,3.957651,32.745953,146.92456,436.60956
2025-05-01,0.0085798595,25.459969,196.12878,426.7445
2025-06-01,0.0,25.984228,215.12567,419.99612
2025-07-01,0.0,24.04101,231.25742,416.1447
2025-08-01,0.0,22.133486,204.59236,414.23184
2025-09-01,0.004686686,25.289955,155.94365,413.12653
2025-10-01,0.8216843,21.84254,113.407845,412.5901
2025-11-01,33.267185,16.13021,86.36493,416.35217
2025-12-01,121.84833,12.148499,53.974392,458.93143
