time,PCP,AETI,RET,TWS
2018-01-01,319.03403,14.475989,48.06123,523.2643
2018-02-01,189.72801,26.649334,61.128025,538.966
2018-03-01,42.6886,45.532715,107.69958,521.2552
2018-04-01,24.16655,42.089436,129.43117,505.9283
2018-05-01,14.858589,41.4562,184.0765,504.8259
2018-06-01,0.0,39.371834,192.08815,492.61526
2018-07-01,0.0,45.47744,206.11038,484.84738
2018-08-01,0.0,42.641876,185.80176,480.6565
2018-09-01,1.9631197,36.97782,154.40086,478.56552
2018-10-01,23.259146,30.016714,124.70322,483.00485
2018-11-01,105.53127,20.046661,76.47405,488.63586
2018-12-01,214.65543,14.802765,50.360104,542.9498
2019-01-01,130.43254,19.776424,58.814083,552.0667
2019-02-01,130.92975,21.653545,62.7151,587.228
2019-03-01,158.6869,32.27057,80.24656,574.88324
2019-04-01,35.48044,48.525414,120.008804,564.682
2019-05-01,7.9697995,65.31348,183.93979,537.58453
2019-06-01,0.28486696,53.139538,193.4962,519.7933
2019-07-01,0.0,53.306686,208.93198,510.03268
2019-08-01,0.0,49.964783,192.88377,504.18048
2019-09-01,0.18195063,41.22424,153.6547,501.10812
2019-10-01,17.281855,32.861134,117.87757,506.3403
2019-11-01,33.51222,25.838932,111.596985,506.85153
2019-12-01,288.0154,14.363892,62.63096,535.9231
2020-01-01,291.7821,13.772228,43.35187,602.0688
2020-02-01,68.47568,21.211645,60.215107,605.4828
2020-03-01,79.71413,41.145473,93.254845,604.367
2020-04-01,0.0,49.12068,118.486824,578.37225
2020-05-01,0.065140635,63.53536,188.81218,552.88354
2020-06-01,0.0,52.783894,189.04361,534.72406
2020-07-01,0.0,54.35473,189.91127,523.67535
2020-08-01,0.0,44.64833,186.40456,516.98505
2020-09-01,0.18195063,35.973774,153.35063,513.05023
2020-10-01,3.260049,34.877407,122.03114,511.39896
2020-11-01,119.86767,22.498058,78.815346,527.2766
2020-12-01,144.42336,23.093891,72.74661,540.2353
2021-01-01,176.27077,26.986498,80.78615,544.454
2021-02-01,169.7406,28.033266,71.578514,553.4429
2021-03-01,33.575775,40.017822,97.690704,536.43884
2021-04-01,2.694524,53.671146,146.01962,518.2165
2021-05-01,4.16918,56.526043,185.25043,503.0972
2021-06-01,0.0,46.68021,193.40909,498.37524
2021-07-01,0.0,51.12394,206.4761,490.69507
2021-08-01,0.0,51.91591,198.65096,485.9973
2021-09-01,0.18369082,49.528774,160.32445,483.778
2021-10-01,14.986688,38.692715,122.258415,483.10367
2021-11-01,65.39178,26.010117,108.868355,487.5077
2021-12-01,252.54283,17.136494,73.94395,518.8251
2022-01-01,250.11255,17.856922,55.88347,531.3973
2022-02-01,78.91816,24.524353,57.940044,534.2217
2022-03-01,99.19338,36.667,84.00099,531.7972
2022-04-01,10.553356,61.278996,142.97328,532.4367
2022-05-01,0.12181303,55.105766,177.69804,511.44965
2022-06-01,0.0,51.0431,194.3534,499.88214
2022-07-01,0.0,49.575836,204.25583,492.6884
2022-08-01,0.0,40.2979,187.5373,490.02148
2022-09-01,0.18195063,34.650467,157.94243,486.75662
2022-10-01,3.2301826,31.35327,118.4933,487.0611
2022-11-01,85.830956,22.7276,88.2567,491.11072
2022-12-01,106.6881,19.501402,69.38843,516.8931
2023-01-01,108.74076,22.074818,75.61474,523.83057
2023-02-01,98.18949,22.416916,69.816216,534.20935
2023-03-01,86.50425,38.1575,107.38374,521.3778
2023-04-01,71.91599,49.65253,134.39865,518.77216
2023-05-01,3.855089,53.581158,178.44644,502.62494
2023-06-01,2.852059,48.19041,184.78644,495.64172
2023-07-01,0.0,56.253258,210.89943,486.5149
2023-08-01,0.0,35.75601,185.95386,482.08823
2023-09-01,0.2629502,29.929947,156.72743,479.82535
2023-10-01,14.086766,31.708813,128.14198,480.2333
2023-11-01,96.627785,25.22072,84.83267,488.65488
2023-12-01,163.2233,21.7805,74.05722,504.02826
2024-01-01,186.79361,18.287693,52.914055,511.19284
2024-02-01,182.49924,23.530499,59.45787,524.18005
2024-03-01,60.667114,46.766663,104.26669,520.2669
2024-04-01,26.456564,55.18794,137.28189,502.14832
2024-05-01,2.7823806,50.205475,170.3646,493.4063
2024-06-01,0.0,50.602753,198.72226,482.70166
2024-07-01,0.0,41.51446,214.05293,476.78577
2024-08-01,0.0,41.2745,191.14586,473.59357
2024-09-01,0.5055797,34.93165,158.75739,472.88635
2024-10-01,2.021856,31.42257,129.34341,471.82864
2024-11-01,33.067406,18.54565,80.95381,477.5345
2024-12-01,131.67041,18.16096,74.50066,484.82678
2025-01-01,88.77056,24.46699,75.64088,497.54626
2025-02-01,80.47272,22.21864,64.77886,494.99207
2025-03-01,37.623413,49.789993,125.94919,488.4937
2025-04-01,1.9257032,48.394737,147.37604,477.5856
2025-05-01,0.19315307,42.782837,186.84464,470.3357
2025-06-01,0.0,34.766857,192.09985,464.79163
2025-07-01,0.0,33.031437,212.48944,461.4921
2025-08-01,0.0,23.9002,191.95186,459.70325
2025-09-01,0.2534399,31.026264,154.04434,458.58203
2025-10-01,2.6103249,28.986156,122.83507,458.0542
2025-11-01,71.37979,27.658195,112.99369,461.69022
2025-12-01,305.74673,20.147726,69.98713,502.0604
