year,BASIN_NAME,PCP,AETI,RET,TWS
2018,Roobee,665.5797,384.17783,1639.163,547.8755
2019,Roobee,638.408,390.26593,1682.348,549.3255
2020,Roobee,684.40173,398.06052,1626.3735,550.9632
2021,Roobee,533.58185,423.1173,1727.2985,533.8214
2022,Roobee,569.8507,373.43512,1653.1285,578.22943
2023,Roobee,625.77386,396.36038,1651.7593,557.8159
2024,Roobee,495.644,397.36142,1682.7358,526.7447
2025,Roobee,549.25476,348.07877,1722.8286,517.3095
2018,Jerusalem_Desert,488.1612,192.59438,1669.4757,585.96136
2019,Jerusalem_Desert,406.60983,191.6197,1715.2804,587.79877
2020,Jerusalem_Desert,411.3031,207.21165,1667.5112,588.88385
2021,Jerusalem_Desert,333.76086,197.21584,1762.7345,573.21985
2022,Jerusalem_Desert,399.19394,170.29451,1699.224,615.59766
2023,Jerusalem_Desert,448.53955,182.80853,1688.3162,598.0596
2024,Jerusalem_Desert,287.29822,183.80484,1723.5992,571.8487
2025,Jerusalem_Desert,353.77448,162.74849,1751.8751,564.89453
2018,Sakreer,613.9174,377.8023,1558.1464,527.9709
2019,Sakreer,468.60687,422.12137,1601.9077,529.90936
2020,Sakreer,499.4695,425.2516,1493.3483,536.34937
2021,Sakreer,424.17908,432.6633,1656.8429,519.5245
2022,Sakreer,564.35767,375.53998,1542.7802,564.52795
2023,Sakreer,506.41614,396.66522,1579.9235,545.8771
2024,Sakreer,368.86182,366.60135,1616.1611,514.9679
2025,Sakreer,490.946,293.2709,1670.1904,505.13705
2018,Ash_Shalala,455.91486,290.24023,1587.4431,588.09033
2019,Ash_Shalala,329.76175,299.3977,1639.6073,590.0537
2020,Ash_Shalala,346.80554,323.157,1526.8707,594.4139
2021,Ash_Shalala,298.5195,282.3832,1694.5089,577.865
2022,Ash_Shalala,411.06042,249.01381,1582.5123,615.6889
2023,Ash_Shalala,408.66223,278.89413,1612.5828,597.9279
2024,Ash_Shalala,238.09395,262.6642,1648.4082,570.42926
2025,Ash_Shalala,338.62076,214.47423,1696.5176,561.74243
2018,Al_hassa,467.41058,302.0387,1571.1875,474.62103
2019,Al_hassa,335.62878,325.23373,1623.4375,473.67505
2020,Al_hassa,342.58728,355.06577,1505.25,485.01358
2021,Al_hassa,309.39514,308.25674,1674.4375,468.63806
2022,Al_hassa,416.65942,270.53293,1560.25,493.18674
2023,Al_hassa,401.8463,294.11642,1593.875,468.55933
2024,Al_hassa,244.2118,243.29622,1630.625,435.49466
2025,Al_hassa,354.32358,212.88509,1681.625,424.86035
2018,Al_Moqatta',719.5665,445.43185,1384.7428,546.0925
2019,Al_Moqatta',655.78076,495.30505,1403.0419,538.3315
2020,Al_Moqatta',499.89694,493.08887,1524.4801,540.1377
2021,Al_Moqatta',533.6234,506.3041,1658.9797,520.1265
2022,Al_Moqatta',470.58984,471.00266,1574.2273,519.7678
2023,Al_Moqatta',530.64636,450.02094,1596.2178,507.01575
