time,PCP,AETI,RET,TWS
2018-01-01,142.39984,11.878243,40.73129,561.19934
2018-02-01,114.32065,24.31281,58.474777,576.37213
2018-03-01,24.198961,42.357124,106.05131,559.09503
2018-04-01,13.731147,36.436638,132.83336,542.8822
2018-05-01,13.940033,35.615555,182.19841,539.90857
2018-06-01,0.0,35.156788,200.38417,526.1984
2018-07-01,0.0,42.643124,214.50662,518.57574
2018-08-01,0.0,38.607258,191.28508,514.8599
2018-09-01,2.673062,30.390425,152.28111,513.0721
2018-10-01,18.539238,24.88053,112.744934,517.9275
2018-11-01,64.06536,16.58166,62.54412,524.08386
2018-12-01,118.02222,13.098088,39.097633,578.3415
2019-01-01,67.828766,18.478456,50.5269,588.1149
2019-02-01,103.23579,22.705374,54.120743,626.6588
2019-03-01,103.56589,36.54283,78.293205,614.09766
2019-04-01,23.805632,49.957115,118.142166,605.1996
2019-05-01,7.1217527,51.974117,194.50485,580.8093
2019-06-01,0.13461772,41.217518,205.31245,565.87976
2019-07-01,0.0,47.11123,217.38168,558.14154
2019-08-01,0.0,42.928368,198.08737,553.92365
2019-09-01,0.016846117,32.962166,152.11426,551.8142
2019-10-01,15.493914,24.96897,110.971825,557.65106
2019-11-01,20.754845,18.670094,84.07769,558.38654
2019-12-01,110.11701,11.108482,49.749233,586.4002
2020-01-01,133.39047,12.397935,37.7025,649.0439
2020-02-01,34.38647,21.799368,54.14981,650.44446
2020-03-01,43.30219,42.008984,87.212654,649.9919
2020-04-01,0.0,49.30704,119.707146,628.0597
2020-05-01,0.1330469,55.512543,185.32443,606.8783
2020-06-01,0.0,44.187363,202.09213,592.00543
2020-07-01,0.0,45.121834,209.66426,583.4064
2020-08-01,0.0,41.22148,196.51372,578.924
2020-09-01,0.016846117,34.20681,162.46306,576.0798
2020-10-01,1.2723223,28.07313,119.862915,574.878
2020-11-01,90.72424,18.266998,63.92539,589.6442
2020-12-01,65.70778,18.779318,56.190334,599.42236
2021-01-01,79.96164,20.708805,62.774723,602.72986
2021-02-01,58.48943,26.37042,66.04835,610.62756
2021-03-01,13.76002,39.76045,97.60367,592.1377
2021-04-01,1.2963779,44.06043,151.64735,572.72284
2021-05-01,4.6095037,41.88454,203.14923,554.9017
2021-06-01,0.0,35.823524,203.8163,549.0727
2021-07-01,0.0,43.438564,221.81548,541.0634
2021-08-01,0.0,42.728455,210.82002,536.89307
2021-09-01,0.016846117,38.21815,156.21689,535.1945
2021-10-01,12.497563,27.729212,110.58693,534.6774
2021-11-01,39.118565,18.388247,79.916214,539.30145
2021-12-01,127.76152,12.777449,55.05957,565.6343
2022-01-01,101.11505,15.379777,47.360165,577.41144
2022-02-01,29.669962,23.833685,54.9645,579.08905
2022-03-01,55.799397,38.582035,79.928795,575.76385
2022-04-01,7.26974,56.849625,152.06581,584.5854
2022-05-01,0.14749047,40.417492,188.46736,563.46216
2022-06-01,0.0,38.088314,206.14613,551.5288
2022-07-01,0.0,41.94326,218.19629,544.60657
2022-08-01,0.0,32.228706,199.44995,542.8275
2022-09-01,0.016846117,32.190964,160.68195,540.0403
2022-10-01,1.7408568,27.396923,112.02229,540.64685
2022-11-01,60.57294,18.069563,68.85557,545.0674
2022-12-01,51.45207,13.923015,51.086773,571.34174
2023-01-01,68.06982,17.353409,57.0551,580.42065
2023-02-01,37.43025,18.78313,62.799023,587.87616
2023-03-01,66.11905,38.87878,102.776505,573.9447
2023-04-01,62.088783,51.039196,135.28323,568.3591
2023-05-01,4.092136,46.05283,178.10548,549.27344
2023-06-01,2.1556735,40.784508,193.18044,540.80133
2023-07-01,0.0,47.044785,227.88899,531.7413
2023-08-01,0.0,32.99276,198.13771,527.9032
2023-09-01,0.040837467,25.060247,157.77423,526.03705
2023-10-01,15.1437435,22.861065,113.90552,526.5228
2023-11-01,84.26125,18.410507,72.68876,535.475
2023-12-01,75.06908,17.430626,56.24231,550.7643
2024-01-01,80.199585,18.642242,47.28665,556.9867
2024-02-01,78.27926,26.819855,56.15229,566.53253
2024-03-01,33.469803,49.63353,100.562935,561.33594
2024-04-01,10.985239,49.212376,139.882,541.19165
2024-05-01,1.8644863,37.72216,175.48978,529.82605
2024-06-01,0.0,39.56953,223.37143,517.65643
2024-07-01,0.0,33.694374,225.94638,511.4847
2024-08-01,0.0,36.192726,201.71138,508.6603
2024-09-01,0.04371257,29.13238,157.5355,508.36542
2024-10-01,1.2572644,23.61608,112.93017,507.38443
2024-11-01,26.12231,15.253176,66.95052,512.56085
2024-12-01,57.684925,11.887555,56.728012,519.5112
2025-01-01,41.318836,17.727694,57.93894,530.42706
2025-02-01,44.186768,18.487234,55.86851,526.8011
2025-03-01,15.792196,44.04386,113.41033,519.3958
2025-04-01,5.7135386,40.656456,147.3571,505.3933
2025-05-01,0.013764971,33.63954,196.5149,494.15933
2025-06-01,0.0,31.339342,216.08995,486.4618
2025-07-01,0.0,32.51214,232.57089,482.29
2025-08-01,0.0,27.315601,203.83229,480.4245
2025-09-01,0.032482456,29.589462,156.04912,479.35553
2025-10-01,1.2274868,24.129787,113.66583,478.7798
2025-11-01,35.394478,18.473808,85.486626,482.39835
2025-12-01,140.1497,12.760282,53.299305,522.6044
