time,PCP,AETI,RET,TWS
2018-01-01,285.445,15.108646,41.97771,523.4108
2018-02-01,183.72021,28.26786,55.868084,539.5134
2018-03-01,39.319736,50.66465,101.43405,521.3422
2018-04-01,22.526924,50.160225,126.736206,505.344
2018-05-01,16.61977,53.568226,175.7641,504.6233
2018-06-01,0.0,47.922253,190.62999,492.29327
2018-07-01,0.0,52.768917,204.121,484.378
2018-08-01,0.0,46.511227,184.24332,480.07507
2018-09-01,2.0507371,39.20108,149.28514,477.92047
2018-10-01,25.45787,31.357353,113.236626,482.41418
2018-11-01,98.096275,20.713047,66.65752,488.19153
2018-12-01,195.62727,15.381187,41.82825,543.11725
2019-01-01,125.788216,20.85622,50.97193,552.65485
2019-02-01,127.28899,23.550016,54.38079,588.87524
2019-03-01,137.5969,36.25552,76.61565,575.9932
2019-04-01,34.620735,54.30529,115.97476,565.1959
2019-05-01,5.9306474,71.7203,183.70534,537.5851
2019-06-01,0.2681824,58.391026,193.93243,519.4363
2019-07-01,0.0,58.807816,206.6714,509.42035
2019-08-01,0.0,53.31256,190.09258,503.39462
2019-09-01,0.084499195,43.27511,149.30182,500.24405
2019-10-01,16.05707,33.52356,110.23053,505.58984
2019-11-01,33.548748,26.461601,92.03052,506.44882
2019-12-01,291.18497,14.3927,51.84894,535.8517
2020-01-01,212.62828,14.629672,39.11995,602.51965
2020-02-01,62.379234,23.327154,57.922462,605.95184
2020-03-01,62.97119,45.309784,89.9498,604.59644
2020-04-01,0.071311906,55.440575,119.33126,577.80115
2020-05-01,0.089995176,71.336365,188.92091,551.6324
2020-06-01,0.0,59.00891,196.3593,533.25525
2020-07-01,0.0,58.914047,200.65044,522.0324
2020-08-01,0.0,49.823826,192.67336,515.2211
2020-09-01,0.084499195,41.02456,158.8025,511.22818
2020-10-01,2.2393985,37.70632,122.92888,509.59247
2020-11-01,131.4356,23.85526,70.96477,525.57086
2020-12-01,117.20014,23.760792,62.955746,538.8247
2021-01-01,138.47467,27.18821,71.96107,543.9285
2021-02-01,161.45258,29.901144,69.4133,553.2395
2021-03-01,26.018728,44.213985,98.256096,535.527
2021-04-01,0.92268956,60.176388,148.19585,516.7097
2021-05-01,4.5863295,62.425194,194.55089,501.43842
2021-06-01,0.0,51.202957,199.81903,496.8938
2021-07-01,0.0,55.24411,215.87746,489.2054
2021-08-01,0.0,55.876858,207.1973,484.46002
2021-09-01,0.08566733,55.88604,160.14392,482.21445
2021-10-01,15.214263,43.551357,117.83043,481.5771
2021-11-01,64.771675,28.301105,92.6011,486.09937
2021-12-01,237.32498,17.948515,63.73196,517.5417
2022-01-01,222.00876,18.448143,52.43349,529.5936
2022-02-01,75.79542,25.701637,57.461906,532.2991
2022-03-01,86.39488,41.302082,82.15664,529.83636
2022-04-01,9.701815,69.50221,146.86594,530.8175
2022-05-01,0.005750659,60.51869,184.38687,509.57822
2022-06-01,0.0,53.534893,200.12282,497.9844
2022-07-01,0.0,52.484875,213.07211,490.77777
2022-08-01,0.0,44.623817,194.4517,488.1478
2022-09-01,0.084499195,40.09019,160.14676,484.80606
2022-10-01,2.4474564,34.77646,116.189125,485.11145
2022-11-01,95.531586,23.275352,78.27679,489.28433
2022-12-01,92.04547,19.477577,58.49568,515.5739
2023-01-01,111.267044,22.542133,64.42761,523.3732
2023-02-01,88.50339,23.540472,67.29194,533.6725
2023-03-01,79.02956,42.32142,104.98805,520.39825
2023-04-01,64.68974,57.666267,134.97554,517.5802
2023-05-01,4.5160956,60.14034,177.54555,501.33112
2023-06-01,2.9337053,51.882156,190.40143,494.3689
2023-07-01,0.0,59.023396,219.83038,485.22647
2023-08-01,0.0,40.54785,192.67914,480.7663
2023-09-01,0.1356405,32.017277,159.09883,478.4972
2023-10-01,14.788927,30.981236,123.41083,478.90936
2023-11-01,99.36976,25.163103,77.87227,487.5746
2023-12-01,152.8548,22.566385,63.30984,503.3561
2024-01-01,149.94429,19.62156,49.884956,510.75278
2024-02-01,176.80133,26.12531,56.52646,523.51025
2024-03-01,46.978485,52.567566,99.319824,519.4697
2024-04-01,23.175045,61.29994,136.31377,500.85098
2024-05-01,1.974904,53.44285,172.82147,492.14334
2024-06-01,0.0,54.294125,210.94717,481.5659
2024-07-01,0.0,42.905293,220.19478,475.68835
2024-08-01,0.0,43.433952,196.9482,472.5017
2024-09-01,0.4046888,37.502296,159.0373,471.78543
2024-10-01,1.8054183,33.354576,122.23074,470.75885
2024-11-01,34.25416,20.330961,74.17063,476.4026
2024-12-01,125.65342,18.434107,63.26183,483.94794
2025-01-01,77.24889,24.107468,64.59706,496.98083
2025-02-01,76.42293,22.561846,60.427235,494.49902
2025-03-01,28.867302,53.426346,118.33596,487.8698
2025-04-01,2.3733327,54.07408,146.59357,476.88806
2025-05-01,0.2578764,45.351284,192.1626,469.67484
2025-06-01,0.0,38.437885,204.90851,464.2868
2025-07-01,0.0,36.277718,223.73326,461.0742
2025-08-01,0.0,29.905443,199.85637,459.31717
2025-09-01,0.13631795,33.86175,156.70256,458.22635
2025-10-01,2.2782762,29.874731,118.747314,457.7385
2025-11-01,74.62932,27.812447,96.5096,461.46835
2025-12-01,249.9522,19.78367,61.815037,502.14307
