time,PCP,AETI,RET,TWS
2018-01-01,128.93515,11.936512,40.23811,466.15717
2018-02-01,108.085556,25.533882,57.60857,484.28516
2018-03-01,18.67082,40.625797,104.3574,465.8873
2018-04-01,14.820418,26.223152,130.86327,446.4157
2018-05-01,14.682135,22.927084,178.95538,443.71
2018-06-01,0.0,24.956581,197.68466,429.52783
2018-07-01,0.0,33.86584,212.81989,421.03653
2018-08-01,0.0,31.41957,189.79227,416.6714
2018-09-01,2.7467413,24.915504,149.64911,414.451
2018-10-01,19.984892,20.970713,109.81273,418.96
2018-11-01,56.306858,15.250666,62.53732,425.48917
2018-12-01,100.00249,13.168579,39.890488,485.2723
2019-01-01,63.2207,19.383766,49.25335,498.34988
2019-02-01,91.21906,25.629364,54.691105,540.395
2019-03-01,93.55761,41.007095,76.362434,526.60144
2019-04-01,23.194307,50.16303,115.884735,514.6177
2019-05-01,9.718862,44.11445,189.3089,485.63678
2019-06-01,0.20751563,34.224083,200.2467,466.75308
2019-07-01,0.0,39.4523,214.87584,456.5121
2019-08-01,0.0,36.793423,195.56339,450.6953
2019-09-01,0.0,29.644894,149.77951,447.60916
2019-10-01,14.3114395,21.161318,108.83893,453.47028
2019-11-01,16.861393,15.343307,80.569984,455.31265
2019-12-01,104.34919,10.579532,49.034924,486.21286
2020-01-01,98.9477,13.21862,36.35574,555.8222
2020-02-01,24.5878,24.460293,53.354576,559.92004
2020-03-01,39.07045,45.059124,86.01164,559.6218
2020-04-01,0.0,47.98156,119.590355,531.3528
2020-05-01,0.038786676,45.058064,184.21555,502.93582
2020-06-01,0.0,35.442616,202.30074,483.75565
2020-07-01,0.0,38.55073,211.18364,472.3572
2020-08-01,0.0,35.26294,197.46283,466.0579
2020-09-01,0.0,30.446112,162.70764,462.172
2020-10-01,0.7132856,24.368628,119.1079,460.31
2020-11-01,72.998726,16.730255,65.39595,476.86356
2020-12-01,45.93949,17.324902,57.031006,490.00296
2021-01-01,64.46015,19.519117,62.36393,496.69223
2021-02-01,46.83863,27.600965,65.05382,507.63385
2021-03-01,9.714559,40.85278,96.08854,488.06595
2021-04-01,0.3112053,35.34882,150.34056,465.7706
2021-05-01,5.19153,28.863733,201.0926,446.9044
2021-06-01,0.0,27.052301,204.87668,440.7156
2021-07-01,0.0,33.455624,222.74864,432.74713
2021-08-01,0.0,33.9015,209.46666,428.1708
2021-09-01,0.0,32.616737,155.39774,426.07022
2021-10-01,13.067565,23.849007,108.70093,425.31882
2021-11-01,34.16831,15.285747,79.34276,430.05014
2021-12-01,108.663826,11.040643,56.390545,462.9758
2022-01-01,77.938194,14.369805,47.32551,477.1386
2022-02-01,21.223492,24.916584,55.160492,480.35886
2022-03-01,47.36524,40.20494,78.91592,477.93073
2022-04-01,6.89821,48.65557,152.04471,485.48688
2022-05-01,0.1563412,26.651066,188.487,460.35123
2022-06-01,0.0,26.885906,207.02777,446.4648
2022-07-01,0.0,32.38118,218.71335,438.28674
2022-08-01,0.0,23.942537,201.05089,435.7039
2022-09-01,0.0,27.415552,160.24069,432.2867
2022-10-01,1.1462942,23.53953,111.47826,432.47836
2022-11-01,52.864346,15.745679,68.73217,436.85504
2022-12-01,40.790165,11.980816,51.725163,465.77725
2023-01-01,63.037357,16.831902,58.2396,477.45847
2023-02-01,21.996208,19.256681,62.431087,489.16867
2023-03-01,53.668846,37.213093,102.099655,475.0145
2023-04-01,55.40905,44.509186,135.93327,469.6396
2023-05-01,4.897645,35.60967,179.3265,449.1846
2023-06-01,2.2761846,31.992752,194.21391,439.85895
2023-07-01,0.0,39.527164,226.43506,429.8549
2023-08-01,0.0,28.878008,199.70479,425.28516
2023-09-01,0.03477032,20.789194,157.60504,422.92426
2023-10-01,15.932538,20.307726,113.1117,423.10577
2023-11-01,82.1359,16.398525,72.583176,432.55692
2023-12-01,65.53459,17.74847,57.52387,451.0435
2024-01-01,55.774723,20.315144,47.314247,459.6193
2024-02-01,61.339176,30.503946,55.896362,471.60507
2024-03-01,21.109524,54.03045,99.74927,466.56604
2024-04-01,9.837807,46.617893,140.3268,444.10873
2024-05-01,1.7102793,28.32528,177.57408,432.09787
2024-06-01,0.0,31.785025,222.67078,419.83777
2024-07-01,0.0,28.257792,226.42297,413.26505
2024-08-01,0.0,33.224728,202.75162,410.01108
2024-09-01,0.0,25.515633,157.82686,409.35605
2024-10-01,0.81446207,19.99207,111.06336,408.20325
2024-11-01,17.10123,13.043194,67.18798,413.51535
2024-12-01,36.55849,9.362817,57.543934,421.55026
2025-01-01,36.308468,17.160025,59.826073,435.08228
2025-02-01,23.572123,19.21167,56.863052,432.7813
2025-03-01,8.62691,39.539803,113.50565,425.736
2025-04-01,3.8881655,28.81164,147.46837,411.67365
2025-05-01,0.0039762706,23.035072,196.43665,401.29858
2025-06-01,0.0,25.444477,215.5569,394.29617
2025-07-01,0.0,24.83587,231.04956,390.367
2025-08-01,0.0,21.950933,204.95662,388.4485
2025-09-01,0.0008818342,24.89652,155.89056,387.32104
2025-10-01,0.73021084,21.048334,113.34344,386.754
2025-11-01,31.039759,14.749847,87.26973,390.51648
2025-12-01,114.579315,11.179762,54.28788,433.91766
