time,PCP,AETI,RET,TWS
2018-01-01,226.4449,16.566484,37.353527,526.67645
2018-02-01,167.21248,31.055243,51.71225,542.8406
2018-03-01,31.109388,57.033356,95.71849,523.211
2018-04-01,20.739737,54.965084,122.51739,505.59106
2018-05-01,18.392046,51.89833,168.16602,505.26328
2018-06-01,0.0,43.351757,186.32166,492.74762
2018-07-01,0.0,47.4344,199.69685,484.94305
2018-08-01,0.0,41.580254,180.88548,480.8579
2018-09-01,2.2067914,36.884224,144.1571,478.90924
2018-10-01,27.623615,29.3851,103.949036,483.55206
2018-11-01,77.39304,19.798649,58.39522,489.5209
2018-12-01,148.44449,15.478964,35.869804,546.0925
2019-01-01,118.746185,22.492815,44.737446,556.5473
2019-02-01,114.5483,27.111895,48.919594,593.5384
2019-03-01,109.90193,42.608654,73.83056,578.8732
2019-04-01,27.798893,60.96556,111.654434,566.62976
2019-05-01,5.974073,72.297226,178.20067,537.9229
2019-06-01,0.44113886,54.283928,189.69084,519.5411
2019-07-01,0.0,54.657417,201.6375,509.77472
2019-08-01,0.0,49.426342,185.51605,504.19028
2019-09-01,0.06402512,41.2258,144.15956,501.43924
2019-10-01,11.774913,32.066154,103.73721,507.14755
2019-11-01,24.913895,24.790373,76.76792,508.5021
2019-12-01,241.61737,13.378895,44.190105,538.3315
2020-01-01,170.2648,14.626783,36.02854,605.2944
2020-02-01,52.014175,24.695688,57.700657,607.91595
2020-03-01,52.578724,47.470287,88.891945,605.38855
2020-04-01,0.0,58.414783,121.67077,577.2747
2020-05-01,0.019166509,70.72536,191.18283,550.46094
2020-06-01,0.0,55.60353,203.80188,532.4364
2020-07-01,0.0,54.036545,209.90724,521.8179
2020-08-01,0.0,46.35424,199.81056,515.7596
2020-09-01,0.06402512,39.657852,164.13911,512.3144
2020-10-01,1.4722536,36.329063,124.314964,510.99597
2020-11-01,121.02464,22.645151,68.354645,526.9146
2020-12-01,102.45915,22.52957,58.67695,540.1377
2021-01-01,102.21881,26.671616,65.95281,546.1999
2021-02-01,133.33867,31.665192,68.33324,555.6575
2021-03-01,20.751266,46.776905,99.80357,536.77893
2021-04-01,0.023521857,61.118298,151.0938,517.4769
2021-05-01,3.2379477,60.687263,202.90903,502.4918
2021-06-01,0.0,47.381298,207.05968,498.56354
2021-07-01,0.0,49.496136,225.59697,491.36008
2021-08-01,0.0,50.690792,215.54921,487.0751
2021-09-01,0.06402512,50.229843,162.6163,485.18262
2021-10-01,19.113613,39.556965,117.52141,484.74728
2021-11-01,60.042946,25.476479,84.47177,489.42245
2021-12-01,194.83258,16.55332,58.072018,520.1265
2022-01-01,171.90276,18.039156,51.336357,531.65485
2022-02-01,70.03595,26.66712,58.004906,534.0955
2022-03-01,71.60526,43.862286,82.68995,531.1056
2022-04-01,8.207365,71.1691,151.14044,538.0263
2022-05-01,0.0,58.937252,191.92911,514.195
2022-06-01,0.0,49.98459,207.05365,501.3472
2022-07-01,0.0,47.561024,221.2376,493.86572
2022-08-01,0.0,40.150497,201.31235,491.70786
2022-09-01,0.06402512,39.198734,164.34088,488.36356
2022-10-01,1.991322,32.952763,117.005806,488.76654
2022-11-01,74.055534,22.86805,74.926506,493.08304
2022-12-01,72.727646,19.61209,53.24971,519.7678
2023-01-01,97.23021,22.931051,59.558197,528.1537
2023-02-01,67.849655,24.825123,67.01605,538.5587
2023-03-01,65.075294,44.06249,105.3163,523.7757
2023-04-01,61.253685,58.239403,136.98706,519.7149
2023-05-01,5.445598,56.40332,180.47636,503.06097
2023-06-01,2.9598594,46.31927,197.06815,496.1639
2023-07-01,0.0,54.180447,228.53223,487.35248
2023-08-01,0.0,38.993755,199.74582,483.24622
2023-09-01,0.20982376,29.954527,163.77884,481.25
2023-10-01,13.655045,27.745525,123.89685,481.7381
2023-11-01,100.79942,23.819721,75.656,490.7255
2023-12-01,116.16775,22.546303,58.185867,507.01575
2024-01-01,111.59699,20.763212,48.706005,514.5183
2024-02-01,153.77971,29.13062,55.13927,526.24274
2024-03-01,38.253872,56.70696,97.01539,521.13745
2024-04-01,17.6035,64.565384,137.17323,501.31122
2024-05-01,1.8138111,51.560886,177.08821,492.58817
2024-06-01,0.0,52.695667,220.20749,482.33905
2024-07-01,0.0,39.64166,227.92285,476.7944
2024-08-01,0.0,41.528595,202.9418,473.93213
2024-09-01,0.37241653,37.242447,162.16765,473.43338
2024-10-01,1.0836227,32.415955,120.84817,472.55743
2024-11-01,28.764341,19.978928,72.0379,478.08713
2024-12-01,114.48685,16.618801,57.933865,485.60324
2025-01-01,67.88291,22.691969,58.940105,498.37848
2025-02-01,57.02504,23.073286,58.84037,495.6596
2025-03-01,17.189114,56.070053,115.35064,488.71274
2025-04-01,2.9420693,53.302715,148.1739,477.50165
2025-05-01,0.18934321,41.86323,198.6255,470.31885
2025-06-01,0.0,38.80231,215.75883,465.18414
2025-07-01,0.0,35.496563,233.77087,462.19717
2025-08-01,0.0,31.689037,208.05254,460.64453
2025-09-01,0.06723589,34.51572,160.7842,459.7234
2025-10-01,1.569647,30.38762,119.01137,459.33878
2025-11-01,62.723766,27.47586,87.78895,463.15094
2025-12-01,176.13104,19.504301,57.250374,503.82977
