time,PCP,AETI,RET,TWS
2018-01-01,131.15334,7.88034,46.208138,598.8509
2018-02-01,150.35278,16.377996,66.31866,602.1304
2018-03-01,34.90932,26.248941,119.81993,590.0081
2018-04-01,19.705982,20.83571,150.3488,583.04425
2018-05-01,13.034351,23.95465,201.29938,579.81274
2018-06-01,0.0,26.8581,217.83511,572.53845
2018-07-01,0.0,33.565483,232.54163,569.05066
2018-08-01,0.0,30.108343,205.27246,567.53613
2018-09-01,2.0144699,22.61782,168.32938,566.74304
2018-10-01,18.812725,18.233727,121.47529,570.00433
2018-11-01,68.05264,11.349424,67.23252,573.1531
2018-12-01,110.0185,8.79851,44.88899,602.6483
2019-01-01,81.11377,11.500931,57.312878,599.43054
2019-02-01,140.13258,13.786588,60.90125,624.5551
2019-03-01,138.29018,21.93609,91.28282,616.3688
2019-04-01,24.583168,31.106167,131.2545,611.01654
2019-05-01,7.761471,32.087196,219.03262,597.4229
2019-06-01,0.0,27.271374,226.23756,592.4958
2019-07-01,0.0,35.213604,238.79305,589.6209
2019-08-01,0.0,32.630234,216.91318,588.00055
2019-09-01,0.0,23.760637,167.83176,587.06525
2019-10-01,20.50427,18.201977,125.12007,591.58154
2019-11-01,25.68464,12.107771,89.98162,590.1645
2019-12-01,106.33564,7.633933,56.96098,603.3648
2020-01-01,168.53424,8.5447445,44.173576,619.03937
2020-02-01,71.089645,14.881156,61.03619,616.8334
2020-03-01,64.4885,27.423534,100.39033,626.7183
2020-04-01,0.0,28.916567,135.65387,617.0352
2020-05-01,2.108168,33.709934,197.87625,607.53064
2020-06-01,0.0,30.522705,214.96094,602.4616
2020-07-01,0.0,33.04471,229.7375,599.4787
2020-08-01,0.0,30.94231,210.46407,598.33
2020-09-01,0.0,25.14001,179.01797,596.80725
2020-10-01,2.3847957,20.936218,128.38008,596.05145
2020-11-01,96.104294,12.4554205,67.8967,604.0774
2020-12-01,121.93272,12.475112,57.04987,603.4682
2021-01-01,100.00943,14.700102,65.37043,602.425
2021-02-01,89.25816,17.84106,71.858246,600.79065
2021-03-01,23.326246,25.745468,106.00641,592.741
2021-04-01,0.5955413,27.768883,166.37523,583.36664
2021-05-01,0.23742698,27.674566,222.10631,575.76794
2021-06-01,0.0,25.662773,217.07062,576.0914
2021-07-01,0.0,33.953068,237.32845,571.81915
2021-08-01,0.0,33.394825,222.33972,570.0293
2021-09-01,0.0,32.269485,162.08122,569.971
2021-10-01,12.355452,23.407078,119.47925,568.85565
2021-11-01,38.476974,14.018152,79.18293,572.2298
2021-12-01,160.8903,7.8030334,56.19649,587.55524
2022-01-01,114.91967,8.625465,51.401833,618.4463
2022-02-01,76.50962,14.523496,61.201363,616.9238
2022-03-01,73.34176,21.99552,90.36819,608.0934
2022-04-01,8.707152,34.57121,166.7548,628.8561
2022-05-01,0.011087729,24.36077,202.43004,615.52814
2022-06-01,0.0,26.393633,220.04573,610.0779
2022-07-01,0.0,31.871006,233.53424,606.752
2022-08-01,0.0,23.505285,212.81427,606.84607
2022-09-01,0.0,23.820076,169.55354,604.95
2022-10-01,3.9542174,19.899517,120.27736,607.0802
2022-11-01,77.33704,12.518353,69.84553,610.2524
2022-12-01,59.229458,9.6472435,54.514576,631.5659
2023-01-01,65.806465,11.451003,58.013435,643.5732
2023-02-01,88.16261,12.328716,65.39382,640.7245
2023-03-01,77.79124,25.545185,111.067406,629.9081
2023-04-01,67.93636,32.95499,147.28423,622.2164
2023-05-01,2.329987,33.232754,188.87265,609.3637
2023-06-01,1.2378565,30.935577,206.66406,605.3176
2023-07-01,0.0,36.433506,244.93266,600.35803
2023-08-01,0.0,24.325964,210.80502,598.2969
2023-09-01,0.0,18.221668,167.93826,597.1797
2023-10-01,23.380465,17.54372,113.68015,597.5588
2023-11-01,75.15459,13.729141,77.66136,602.99896
2023-12-01,119.09376,11.142076,57.59572,613.0572
2024-01-01,120.39004,11.315714,53.19114,617.13
2024-02-01,91.42246,15.869134,62.88497,615.10565
2024-03-01,54.122303,29.033167,111.74074,605.7751
2024-04-01,10.172665,28.699192,154.109,594.25146
2024-05-01,0.25874707,24.96581,188.08826,589.23096
2024-06-01,0.0,30.536161,243.97775,583.49207
2024-07-01,0.0,29.651478,240.5441,580.83044
2024-08-01,0.0,31.66176,213.04697,579.5792
2024-09-01,0.0,22.260609,164.94344,580.20386
2024-10-01,1.5198814,16.205557,121.506714,580.33386
2024-11-01,30.179247,9.598408,70.06796,580.06104
2024-12-01,79.25056,6.7933273,57.19303,584.96387
2025-01-01,42.496086,9.457024,57.255447,582.4549
2025-02-01,71.419304,10.198745,59.689106,581.0915
2025-03-01,38.3405,26.625355,118.28273,578.9117
2025-04-01,5.095269,25.211876,159.06308,568.96075
2025-05-01,0.0,23.49218,210.49709,564.19165
2025-06-01,0.0,25.415049,233.2309,560.07367
2025-07-01,0.0,30.803123,245.88109,558.07544
2025-08-01,0.0,22.761492,210.88004,557.5539
2025-09-01,0.0,23.111435,167.53175,556.96924
2025-10-01,1.646728,17.778467,121.83912,556.42004
2025-11-01,53.285152,12.318387,84.27507,558.8674
2025-12-01,192.74275,8.478622,53.22262,577.4451
