time,PCP,AETI,RET,TWS
2018-01-01,138.9451,13.921204,42.375,462.20612
2018-02-01,128.12164,29.19634,64.8125,473.53726
2018-03-01,31.361652,51.41101,115.625,457.50015
2018-04-01,19.637625,32.370693,138.625,444.8673
2018-05-01,11.21422,24.925167,197.375,437.207
2018-06-01,0.0,25.586576,207.375,432.2955
2018-07-01,0.0,30.102407,217.875,427.79712
2018-08-01,0.0,24.12455,192.1875,425.37503
2018-09-01,1.8058928,20.503658,158.875,424.37253
2018-10-01,18.655113,18.47825,122.375,428.0545
2018-11-01,65.16382,15.934471,69.3125,434.3643
2018-12-01,52.50551,15.484353,44.375,474.62103
2019-01-01,45.08499,22.88864,57.1875,473.3604
2019-02-01,98.97537,24.209032,62.6875,502.9531
2019-03-01,82.24259,32.49243,82.625,491.3428
2019-04-01,14.906909,43.654015,125.5,477.68573
2019-05-01,6.585178,39.991146,207.8125,463.13626
2019-06-01,0.00059643725,30.34641,212.8125,457.14526
2019-07-01,0.0,35.19248,223.87498,454.23596
2019-08-01,0.0,30.230005,205.125,452.45392
2019-09-01,0.0,24.264341,157.3125,451.66736
2019-10-01,12.956082,20.388075,121.81251,455.29303
2019-11-01,13.052235,12.721132,109.375,454.8092
2019-12-01,61.82482,8.856027,57.3125,473.67505
2020-01-01,131.45125,10.284805,39.125,518.15015
2020-02-01,74.63432,17.817656,50.3125,514.52124
2020-03-01,54.417194,39.373623,84.1875,511.03604
2020-04-01,0.0,46.575974,114.0,491.42523
2020-05-01,0.3174637,47.658314,188.1875,480.16516
2020-06-01,0.0,35.066376,199.375,474.49124
2020-07-01,0.0,37.78433,208.875,470.97168
2020-08-01,0.0,31.883755,195.5,468.95844
2020-09-01,0.0,27.67013,168.6875,467.74606
2020-10-01,2.846762,24.286463,125.375,467.24142
2020-11-01,32.546642,16.424345,65.5,480.9124
2020-12-01,46.373642,20.24,66.125,485.01358
2021-01-01,58.10519,23.177135,74.1875,481.13785
2021-02-01,64.129036,25.29356,70.375,477.6695
2021-03-01,24.728674,36.73886,95.3125,465.407
2021-04-01,1.3784461,36.213444,154.6875,450.96634
2021-05-01,0.12511928,32.05191,204.6875,440.9191
2021-06-01,0.0,28.369633,203.1875,439.85785
2021-07-01,0.0,32.6354,221.0,435.54086
2021-08-01,0.0,31.334356,215.3125,433.29587
2021-09-01,0.0,23.968508,157.125,432.50735
2021-10-01,9.619506,18.156584,120.31251,432.01422
2021-11-01,25.784634,11.835224,98.125,436.36035
2021-12-01,125.524536,8.48214,60.125,468.63806
2022-01-01,155.54204,9.446446,48.375,512.4504
2022-02-01,63.584408,16.70076,53.3125,508.5814
2022-03-01,58.447666,27.770199,81.3125,495.62268
2022-04-01,9.306834,46.89757,155.3125,507.98474
2022-05-01,0.0,28.477268,189.5,489.95383
2022-06-01,0.0,27.780512,203.6875,483.79642
2022-07-01,0.0,29.649136,218.625,480.0897
2022-08-01,0.0,20.502518,198.625,479.3654
2022-09-01,0.0,21.841904,163.0,477.39493
2022-10-01,4.743923,18.385067,112.875,479.0707
2022-11-01,62.43359,12.749867,74.125,479.8664
2022-12-01,62.600964,10.331692,61.5,493.18674
2023-01-01,48.560207,14.629924,62.875,500.95032
2023-02-01,75.545105,16.92208,60.125,495.59512
2023-03-01,74.54979,34.32193,100.0,484.77118
2023-04-01,65.89927,44.349167,135.0,476.97488
2023-05-01,1.7105887,37.67339,182.875,462.69644
2023-06-01,0.6539935,29.084402,196.375,458.2608
2023-07-01,0.0,33.89897,232.1875,452.46964
2023-08-01,0.0,19.496103,195.5,450.33057
2023-09-01,0.011570883,19.690489,165.6875,449.33
2023-10-01,21.127817,17.102951,114.375,450.63528
2023-11-01,36.96571,14.000742,81.875,454.14188
2023-12-01,76.822266,12.9462805,67.0,468.55933
2024-01-01,77.505226,14.860559,52.3125,475.51404
2024-02-01,54.013374,23.378937,61.3125,472.2491
2024-03-01,32.09694,39.43154,107.5,460.74695
2024-04-01,8.736256,31.933199,147.875,445.1361
2024-05-01,2.8465035,18.35203,176.875,438.49905
2024-06-01,0.0,24.090658,227.37498,431.8302
2024-07-01,0.0,22.341288,231.3125,428.92908
2024-08-01,0.0,23.879055,203.3125,427.38773
2024-09-01,0.0,16.97996,160.875,427.47507
2024-10-01,1.6960754,13.203538,125.875,427.3556
2024-11-01,21.076603,7.6763864,72.375,429.43616
2024-12-01,46.240833,7.169077,63.625,435.49466
2025-01-01,37.312912,11.323898,66.3125,434.31668
2025-02-01,62.02381,13.381315,56.0,429.91525
2025-03-01,43.972233,38.52656,117.81251,425.5444
2025-04-01,3.1713367,28.51055,152.875,412.3865
2025-05-01,0.31530327,17.149334,200.3125,406.45297
2025-06-01,0.0,20.403456,217.375,401.99747
2025-07-01,0.0,18.8562,232.62502,399.93747
2025-08-01,0.0,12.938945,199.125,399.00037
2025-09-01,0.0,16.12353,158.125,398.34274
2025-10-01,2.1286979,13.174684,122.0,397.94925
2025-11-01,77.48624,11.57152,103.1875,402.20987
2025-12-01,127.913055,10.925094,55.875,424.86035
