time,PCP,AETI,RET,TWS
2018-01-01,124.64698,12.624582,43.22896,579.79425
2018-02-01,118.51969,25.924284,65.7935,584.65393
2018-03-01,34.313923,45.28841,117.3205,571.64215
2018-04-01,27.117329,30.179455,139.99382,563.83655
2018-05-01,12.292725,27.099804,198.7128,560.0781
2018-06-01,0.0,26.930975,208.97931,554.09143
2018-07-01,0.0,30.250061,219.51584,550.844
2018-08-01,0.0,26.3609,193.71811,549.3173
2018-09-01,1.7894543,20.989656,159.9461,548.59766
2018-10-01,17.319075,18.945307,124.20176,552.1075
2018-11-01,60.364403,13.509576,70.40063,556.2194
2018-12-01,59.551292,12.137227,45.631798,588.09033
2019-01-01,40.936184,18.336477,58.561382,584.5815
2019-02-01,100.94707,19.818384,63.723835,610.3771
2019-03-01,77.003456,28.636095,84.32406,601.23065
2019-04-01,17.98615,38.846233,127.66255,592.6972
2019-05-01,6.568057,35.461205,210.09413,580.40216
2019-06-01,0.0,29.303051,214.75282,576.3272
2019-07-01,0.0,33.814476,225.5391,574.1456
2019-08-01,0.0,30.558558,206.96616,572.8338
2019-09-01,0.0,23.686237,158.6563,572.171
2019-10-01,11.843359,19.246008,122.54028,576.4463
2019-11-01,13.132431,12.674114,108.64941,575.1593
2019-12-01,61.345036,9.016878,58.13723,590.0537
2020-01-01,130.01439,9.412609,40.184807,613.16315
2020-02-01,72.10583,15.981113,52.36925,610.0281
2020-03-01,63.07945,34.440464,87.232124,615.3052
2020-04-01,0.09706471,41.779663,116.98287,602.8446
2020-05-01,0.0,41.95097,190.97688,594.2479
2020-06-01,0.0,31.435455,201.24959,590.1637
2020-07-01,0.0,36.350185,211.32753,587.80115
2020-08-01,0.0,31.36311,197.34471,586.79236
2020-09-01,0.0,25.389233,170.12825,585.55963
2020-10-01,2.3206372,23.010433,126.36198,585.0548
2020-11-01,32.398987,15.32696,66.40708,594.36536
2020-12-01,46.789196,16.716824,66.3056,594.4139
2021-01-01,53.589184,19.040005,75.09921,590.575
2021-02-01,66.92835,21.342443,71.59195,588.2006
2021-03-01,20.477865,29.915417,97.875694,580.33124
2021-04-01,1.9594274,29.749401,157.13203,568.6074
2021-05-01,0.6235038,29.751286,207.48242,561.1204
2021-06-01,0.0,26.441624,205.4158,561.69727
2021-07-01,0.0,32.423916,223.50986,557.7771
2021-08-01,0.0,32.143932,217.234,556.1254
2021-09-01,0.0,24.01022,158.58145,556.1097
2021-10-01,8.689094,17.059378,121.482086,555.34015
2021-11-01,21.429293,12.148241,98.08026,559.2497
2021-12-01,124.822784,8.357348,61.024097,577.865
2022-01-01,148.3414,8.638113,49.427723,611.5362
2022-02-01,63.128803,14.83793,55.24397,609.2533
2022-03-01,60.38955,23.16128,83.97043,598.96893
2022-04-01,11.080603,37.530323,158.4244,614.916
2022-05-01,0.0,24.282047,192.36975,601.31683
2022-06-01,0.0,27.43923,206.15065,597.1296
2022-07-01,0.0,30.128685,221.04564,594.64996
2022-08-01,0.0,20.384525,200.86679,594.9886
2022-09-01,0.0,21.652447,164.34158,593.34924
2022-10-01,3.4950433,19.036886,114.20153,595.54065
2022-11-01,70.08791,12.52618,74.83131,598.0254
2022-12-01,54.537094,9.396158,61.638557,615.6889
2023-01-01,51.767532,12.119075,63.36151,624.34625
2023-02-01,72.4037,13.982267,61.35923,621.72046
2023-03-01,71.09849,28.680536,102.25109,611.5261
2023-04-01,68.56591,38.65254,138.0497,604.21576
2023-05-01,1.1712391,34.931934,184.96916,591.75977
2023-06-01,0.60962725,28.925941,198.61989,588.46387
2023-07-01,0.0,35.8764,234.26904,583.9333
2023-08-01,0.0,20.697191,197.44565,582.1928
2023-09-01,0.007404395,19.70094,166.78493,581.329
2023-10-01,23.914478,17.394373,115.55543,582.16327
2023-11-01,37.9878,14.485637,82.57312,586.85974
2023-12-01,81.13603,13.447298,67.34396,597.9279
2024-01-01,71.32582,15.322201,53.410378,601.64905
2024-02-01,52.658577,21.33544,62.45022,598.9029
2024-03-01,34.65571,35.750927,109.28227,588.58984
2024-04-01,7.3996935,31.18673,150.08669,576.7727
2024-05-01,1.2234497,21.267595,179.24008,572.35754
2024-06-01,0.0,28.664814,229.50856,567.0785
2024-07-01,0.0,28.9122,233.33539,564.87146
2024-08-01,0.0,28.459635,205.29642,563.7875
2024-09-01,0.0131591065,19.956602,162.026,564.4216
2024-10-01,1.6214858,15.098985,126.60876,564.5935
2024-11-01,21.291533,9.1111965,73.09415,565.0712
2024-12-01,47.90452,7.5978894,64.06924,570.42926
2025-01-01,41.4147,9.813438,66.457466,568.035
2025-02-01,60.155586,10.784816,56.850193,566.12866
2025-03-01,44.710854,29.58857,119.08944,562.903
2025-04-01,4.0231667,26.463385,154.75798,552.0078
2025-05-01,0.6850485,19.443897,202.33891,547.4978
2025-06-01,0.0,22.464735,219.25026,543.708
2025-07-01,0.0,24.119576,234.5569,542.0053
2025-08-01,0.0,16.219006,201.13814,541.5081
2025-09-01,0.0,18.970781,159.47787,540.9724
2025-10-01,1.8708202,15.177283,122.96595,540.51086
2025-11-01,77.24892,11.754404,103.19301,543.4835
2025-12-01,108.51167,9.6743355,56.441418,561.74243
