time,PCP,AETI,RET,TWS
2018-01-01,106.465225,7.8623,43.161068,582.9401
2018-02-01,114.71304,16.256212,62.723637,590.4009
2018-03-01,24.917978,25.94722,112.09343,576.27704
2018-04-01,15.344145,21.15669,141.8271,565.9697
2018-05-01,12.956909,25.001944,194.16875,562.47076
2018-06-01,0.0,27.617455,210.61003,552.5332
2018-07-01,0.0,34.319874,225.48352,547.7381
2018-08-01,0.0,30.975512,199.75896,545.6489
2018-09-01,2.2968082,22.9034,160.65619,544.629
2018-10-01,18.176514,18.115929,117.4003,548.61865
2018-11-01,60.222992,11.922966,66.02835,552.97784
2018-12-01,95.28097,9.394163,42.454357,591.9015
2019-01-01,60.29181,12.911012,54.098907,593.2964
2019-02-01,107.229034,16.476643,57.89907,623.64355
2019-03-01,103.46428,25.44279,84.571106,613.4478
2019-04-01,24.802237,33.385296,124.51601,606.8362
2019-05-01,7.762377,32.349003,207.32425,589.79346
2019-06-01,0.059701223,29.08492,216.38841,581.8201
2019-07-01,0.0,36.768044,229.6911,577.6931
2019-08-01,0.0,33.670425,208.7026,575.51605
2019-09-01,0.0,24.83803,159.76904,574.3329
2019-10-01,19.2019,18.66287,117.70582,579.4274
2019-11-01,20.119263,11.532102,89.22999,578.62177
2019-12-01,76.85728,6.934892,52.866665,597.5208
2020-01-01,128.63261,8.392678,40.370934,630.9304
2020-02-01,40.192467,15.938272,56.46008,629.76587
2020-03-01,47.806667,29.491837,91.36572,636.01624
2020-04-01,0.0,32.09471,125.701904,622.07697
2020-05-01,0.92686886,35.113747,190.47238,608.94867
2020-06-01,0.0,30.898056,207.7525,600.769
2020-07-01,0.0,34.656826,219.37057,596.17236
2020-08-01,0.0,32.865257,202.63966,594.1628
2020-09-01,0.0,26.58573,171.43878,592.31854
2020-10-01,1.5297956,20.643635,124.09949,591.4445
2020-11-01,74.080986,12.298057,65.947815,601.8202
2020-12-01,86.072556,11.374135,56.92035,604.54443
2021-01-01,73.68123,12.787301,64.0497,604.59814
2021-02-01,54.010986,17.688934,68.515335,606.2655
2021-03-01,16.034033,26.459032,100.96573,593.71027
2021-04-01,1.3314735,27.402912,158.78969,580.4554
2021-05-01,1.3953013,27.894957,211.95741,568.9256
2021-06-01,0.0,26.737637,210.46365,566.6169
2021-07-01,0.0,35.27285,229.78574,561.05286
2021-08-01,0.0,34.89048,215.93744,558.6063
2021-09-01,0.0,35.474922,158.12494,558.03687
2021-10-01,12.529414,24.948616,114.075836,557.2256
2021-11-01,37.491375,13.062171,79.61131,561.19836
2021-12-01,119.53581,7.5286126,55.465065,580.16223
2022-01-01,85.392,9.998575,47.980427,603.16626
2022-02-01,37.53975,17.564337,56.266533,602.63617
2022-03-01,55.29601,26.901863,83.85742,595.5428
2022-04-01,6.240267,38.39683,158.45895,611.25793
2022-05-01,0.00073394127,26.622997,193.35628,595.3975
2022-06-01,0.0,27.54671,211.69353,587.9073
2022-07-01,0.0,34.011616,225.46341,583.5949
2022-08-01,0.0,25.212015,206.23218,583.2799
2022-09-01,0.0,24.701368,164.84947,581.1732
2022-10-01,1.5978311,21.135693,114.59899,582.75116
2022-11-01,63.26402,13.926438,69.47887,586.2909
2022-12-01,41.577267,10.44597,52.94771,609.5003
2023-01-01,49.886703,12.677718,57.637012,620.8748
2023-02-01,44.195705,13.779059,63.457764,621.36884
2023-03-01,66.1874,27.98672,105.248245,609.10095
2023-04-01,62.216125,35.63923,140.77728,601.88495
2023-05-01,3.3697233,34.455288,182.36057,586.39136
2023-06-01,1.5475502,33.274956,198.27258,580.698
2023-07-01,0.0,38.24313,236.66356,574.4147
2023-08-01,0.0,26.030294,204.79672,571.96796
2023-09-01,0.0,19.263756,161.81941,570.6975
2023-10-01,19.338701,18.043413,112.76738,571.1791
2023-11-01,68.29772,14.148356,74.464905,578.08466
2023-12-01,87.20323,11.793066,57.34698,589.8797
2024-01-01,86.58395,13.297856,49.745026,594.30206
2024-02-01,68.284874,19.439869,60.106014,596.4035
2024-03-01,42.03365,34.21252,106.9924,588.4465
2024-04-01,8.839087,32.185154,147.56218,573.3918
2024-05-01,0.800276,27.048592,181.43488,565.7538
2024-06-01,0.0,32.44598,234.04596,557.45886
2024-07-01,0.0,30.642025,232.99109,553.61115
2024-08-01,0.0,34.851093,207.23035,551.95294
2024-09-01,0.0072714183,24.847467,160.52063,552.34216
2024-10-01,1.0447334,17.272278,116.89399,552.04285
2024-11-01,22.674229,10.399824,68.66688,553.966
2024-12-01,47.730278,7.34051,56.636295,559.60364
2025-01-01,35.33495,11.887168,58.259163,562.0762
2025-02-01,38.775978,12.701763,57.780792,559.4365
2025-03-01,17.200687,29.630033,115.639984,554.7512
2025-04-01,5.7911468,27.228798,152.83073,542.6725
2025-05-01,0.0,24.28152,203.12634,534.79816
2025-06-01,0.0,26.567827,223.40059,529.0335
2025-07-01,0.0,31.783318,239.25162,526.1816
2025-08-01,0.0,24.712187,207.99927,525.21814
2025-09-01,0.0,25.347605,160.9828,524.4902
2025-10-01,1.1170787,18.756968,117.030235,523.9462
2025-11-01,35.754585,11.905671,85.96306,526.8845
2025-12-01,130.97229,8.283573,52.863308,554.28845
