time,PCP,AETI,RET,TWS
2018-01-01,220.92558,14.501085,43.929333,547.4374
2018-02-01,173.9724,27.20425,62.666103,559.9629
2018-03-01,42.99617,46.964848,111.06285,545.4056
2018-04-01,18.994352,45.224342,135.76888,532.46875
2018-05-01,13.384881,51.03688,190.26286,528.71106
2018-06-01,0.0,46.882034,202.31264,517.5435
2018-07-01,0.0,51.436264,216.57552,510.5987
2018-08-01,0.0,43.98991,192.11859,506.9464
2018-09-01,2.6695607,36.66462,157.73418,505.09238
2018-10-01,20.829208,31.087831,123.08214,509.0094
2018-11-01,100.87203,21.94981,69.62773,513.8954
2018-12-01,141.07327,15.97583,44.612816,561.0459
2019-01-01,98.92046,20.40794,55.868706,567.5326
2019-02-01,142.91624,20.732716,60.299,599.72437
2019-03-01,165.2346,30.694813,82.12787,590.2455
2019-04-01,29.022747,49.712326,122.57804,583.53986
2019-05-01,7.3977137,67.3702,197.25607,561.6168
2019-06-01,0.13972752,54.814568,205.01408,548.29364
2019-07-01,0.0,57.50042,220.2849,540.84326
2019-08-01,0.0,51.255978,201.27545,536.5387
2019-09-01,0.10442974,39.927883,156.24394,534.33826
2019-10-01,22.678936,32.038445,117.99901,539.14276
2019-11-01,32.597496,25.8396,104.02294,538.8927
2019-12-01,155.94841,14.3498745,57.10736,562.2757
2020-01-01,271.79074,12.30472,41.49189,612.07983
2020-02-01,76.2603,18.633612,55.65705,613.76447
2020-03-01,86.91824,38.618767,88.39819,617.34595
2020-04-01,0.0,49.629017,118.51901,599.6265
2020-05-01,1.2209332,65.904205,185.99081,580.9791
2020-06-01,0.0,54.69398,197.78418,567.70935
2020-07-01,0.0,58.010674,203.68494,559.5786
2020-08-01,0.0,49.51463,193.43365,555.1006
2020-09-01,0.10442974,40.032177,161.89401,552.1793
2020-10-01,2.8308518,35.94297,121.698555,550.79315
2020-11-01,127.77345,21.969803,70.46264,564.1057
2020-12-01,162.11237,23.898937,65.667915,572.17334
2021-01-01,129.44536,26.757217,71.75645,573.6121
2021-02-01,118.959465,27.737597,68.57557,579.11304
2021-03-01,38.89311,39.584038,96.13124,566.5029
2021-04-01,2.0663645,55.20611,151.21619,551.09973
2021-05-01,2.3912687,58.175552,199.27008,536.0866
2021-06-01,0.0,48.69149,200.94304,531.9196
2021-07-01,0.0,54.73998,217.26234,524.4478
2021-08-01,0.0,52.643475,207.52292,520.2461
2021-09-01,0.13194697,44.500847,158.14636,518.62
2021-10-01,16.02568,35.581314,117.17546,517.56836
2021-11-01,70.516716,26.189266,95.330124,521.2933
2021-12-01,207.50497,16.336498,62.428562,546.8506
2022-01-01,169.7603,16.55591,49.633854,568.5982
2022-02-01,80.83684,22.359268,54.456177,570.8144
2022-03-01,90.43425,33.419292,80.97615,566.4874
2022-04-01,9.524369,62.970493,148.3429,576.20306
2022-05-01,0.014472948,55.869488,185.07655,555.9272
2022-06-01,0.0,52.620037,202.73419,544.26404
2022-07-01,0.0,53.72702,213.98262,537.04004
2022-08-01,0.0,45.059544,195.15175,534.7073
2022-09-01,0.10442974,38.434418,160.77574,531.78986
2022-10-01,4.5175257,32.16275,115.0884,532.5914
2022-11-01,92.011734,23.252935,77.344696,536.4304
2022-12-01,95.735405,19.848087,61.115543,560.7173
2023-01-01,81.50006,21.649696,65.43035,568.8639
2023-02-01,105.89366,20.710825,64.62081,575.9033
2023-03-01,100.12652,38.78985,104.0137,564.7961
2023-04-01,75.88616,52.884777,135.36066,559.94507
2023-05-01,2.9707768,59.363495,178.97908,542.79376
2023-06-01,1.9458125,53.483356,190.38785,534.9663
2023-07-01,0.0,62.363113,225.576,526.06305
2023-08-01,0.0,41.654152,193.52794,521.78064
2023-09-01,0.12705703,33.321777,159.33475,519.5942
2023-10-01,16.292286,31.307903,118.625336,519.7712
2023-11-01,91.70158,24.441935,79.36256,526.59656
2023-12-01,134.99962,21.300648,65.4569,540.61554
2024-01-01,158.73679,18.102093,50.664806,547.9427
2024-02-01,142.99669,23.898735,58.767467,556.5027
2024-03-01,70.412285,46.915848,104.640686,550.9306
2024-04-01,15.989009,57.31545,141.4001,534.50446
2024-05-01,1.7154653,53.30834,174.62689,524.7087
2024-06-01,0.0,55.75564,217.47319,513.836
2024-07-01,0.0,49.664352,224.53549,507.8319
2024-08-01,0.0,47.1916,199.02368,504.7171
2024-09-01,0.1627652,36.268578,159.16107,504.25705
2024-10-01,2.5909128,30.94096,122.73316,503.3795
2024-11-01,38.43329,18.813467,73.65114,507.13
2024-12-01,108.0047,17.184687,64.64083,513.12585
2025-01-01,65.93938,21.72897,66.00714,519.98486
2025-02-01,86.01576,18.523554,59.596416,517.45575
2025-03-01,47.062386,48.38226,119.80441,513.0361
2025-04-01,2.4386413,52.889202,150.4738,501.4869
2025-05-01,0.1557284,49.276726,195.1668,493.22485
2025-06-01,0.0,41.747856,209.20114,486.58102
2025-07-01,0.0,41.474255,226.65236,482.66943
2025-08-01,0.0,31.882227,198.79158,480.7827
2025-09-01,0.13659233,33.509865,156.35594,479.57755
2025-10-01,3.0453029,29.241375,119.79359,478.7988
2025-11-01,76.84383,26.495604,99.01346,481.86423
2025-12-01,266.59137,17.398815,59.50252,514.9242
