time,PCP,AETI,RET,TWS
2018-01-01,291.91742,13.763444,44.201717,531.0231
2018-02-01,180.8689,26.752537,59.853916,546.5593
2018-03-01,45.306427,47.18858,106.990295,529.36145
2018-04-01,25.253763,43.709232,130.88554,514.1577
2018-05-01,15.027904,41.013737,183.17253,512.5172
2018-06-01,0.0,39.136524,195.74884,500.01117
2018-07-01,0.0,46.389645,209.6094,492.20374
2018-08-01,0.0,42.050095,187.85191,488.0625
2018-09-01,2.456564,35.937916,153.29669,486.01074
2018-10-01,23.06002,28.40737,118.79425,490.4536
2018-11-01,99.30305,18.802864,68.524536,496.04916
2018-12-01,199.7429,14.02662,44.2523,550.49506
2019-01-01,119.64238,19.173962,54.726166,559.82666
2019-02-01,133.83235,20.986803,58.2034,595.1889
2019-03-01,168.12059,32.866848,79.08252,583.35614
2019-04-01,36.536,50.20744,118.817245,573.79626
2019-05-01,7.703397,66.3673,189.23717,547.41266
2019-06-01,0.29834518,53.001442,199.07632,530.1536
2019-07-01,0.0,53.98898,212.60023,520.68976
2019-08-01,0.0,49.67506,195.01582,515.10046
2019-09-01,0.22262931,39.808228,152.55807,512.20795
2019-10-01,18.645916,30.670143,114.293945,517.46594
2019-11-01,31.844614,23.133642,97.84239,517.8219
2019-12-01,248.09764,12.70208,56.34842,546.50354
2020-01-01,275.43817,12.180841,40.49198,611.7289
2020-02-01,69.18972,19.8902,57.033928,614.92456
2020-03-01,83.18586,41.70148,90.04616,614.0506
2020-04-01,0.0,51.641598,118.54806,589.5681
2020-05-01,0.15812115,66.065155,186.51779,565.3654
2020-06-01,0.0,53.058407,195.148,547.8689
2020-07-01,0.0,54.889194,198.69185,537.2375
2020-08-01,0.0,45.892708,190.87912,530.9348
2020-09-01,0.22262931,37.071682,157.14136,527.2014
2020-10-01,3.0174544,33.614887,120.1564,525.5937
2020-11-01,127.85366,20.899622,71.00482,541.25586
2020-12-01,134.1928,21.810495,64.538445,553.548
2021-01-01,158.79834,25.52479,71.0651,557.19794
2021-02-01,150.84622,27.719934,68.36087,565.9072
2021-03-01,36.123318,40.600662,97.36667,549.1588
2021-04-01,5.0931625,55.517216,148.50664,530.9154
2021-05-01,4.7365484,56.766087,194.20714,515.1164
2021-06-01,0.0,46.280468,197.96828,510.0647
2021-07-01,0.0,51.240852,213.50992,502.09906
2021-08-01,0.0,51.555088,204.60605,497.38983
2021-09-01,0.2466965,49.794464,158.27086,495.23834
2021-10-01,15.176951,37.691772,116.63563,494.54068
2021-11-01,59.15611,23.523714,94.85851,498.84036
2021-12-01,222.12733,15.056436,63.98901,529.22894
2022-01-01,230.41684,16.33316,51.46394,542.07697
2022-02-01,74.24606,23.18825,56.08252,544.8196
2022-03-01,99.14134,36.01543,81.84559,542.4327
2022-04-01,11.591492,63.418156,147.18024,544.4244
2022-05-01,0.08486564,55.133904,182.94383,523.5296
2022-06-01,0.0,49.90931,200.03606,511.7536
2022-07-01,0.0,49.69667,210.4627,504.44727
2022-08-01,0.0,41.751823,192.43771,501.8446
2022-09-01,0.22262931,35.698223,159.13333,498.6429
2022-10-01,3.7999318,30.6329,115.12088,498.95267
2022-11-01,84.22978,21.138487,78.72762,502.9574
2022-12-01,98.76506,17.77201,60.17651,528.5972
2023-01-01,102.06376,20.136698,66.40901,535.4315
2023-02-01,98.436134,20.736946,66.0881,545.60077
2023-03-01,96.78557,37.903717,104.98892,532.95184
2023-04-01,77.831055,51.06938,134.12279,529.9476
2023-05-01,3.638013,54.549263,177.93391,513.23816
2023-06-01,2.7126958,48.51139,188.26413,505.80484
2023-07-01,0.0,56.10162,219.48463,496.55402
2023-08-01,0.0,37.660217,191.15495,492.14215
2023-09-01,0.3089934,29.628937,157.25305,489.9093
2023-10-01,14.71158,28.061026,121.17009,490.27887
2023-11-01,89.23897,22.218966,78.86591,498.57562
2023-12-01,147.13837,19.76276,64.982895,513.73267
2024-01-01,168.74797,17.329786,49.754208,520.6807
2024-02-01,154.54066,23.83072,57.369194,533.18616
2024-03-01,62.329044,47.958405,102.18559,529.2228
2024-04-01,23.97171,57.54208,138.01529,511.1267
2024-05-01,2.0635214,50.865055,172.04944,501.82364
2024-06-01,0.0,50.346752,210.40265,490.6743
2024-07-01,0.0,41.79949,219.81883,484.56567
2024-08-01,0.0,42.838398,195.89357,481.3556
2024-09-01,0.4793915,34.59736,157.94835,480.69714
2024-10-01,2.37367,29.082682,121.32649,479.6126
2024-11-01,33.73053,16.728086,73.777596,485.26102
2024-12-01,122.81387,16.006256,65.79234,492.29022
2025-01-01,78.1992,21.841331,66.423454,504.506
2025-02-01,86.610245,20.485926,59.869503,501.83276
2025-03-01,42.913757,50.45587,119.47954,495.36124
2025-04-01,3.489143,51.08474,147.0878,483.9629
2025-05-01,0.20862204,43.429806,191.32884,475.9665
2025-06-01,0.0,35.30947,203.78987,469.90472
2025-07-01,0.0,33.03229,222.40517,466.33148
2025-08-01,0.0,26.651657,197.20522,464.46497
2025-09-01,0.3834197,30.710028,154.63943,463.32333
2025-10-01,2.8305159,26.451208,118.31923,462.7549
2025-11-01,58.549297,24.358862,98.88823,466.3106
2025-12-01,270.37274,17.82299,61.168716,506.34042
