time,PCP,AETI,RET,TWS
2018-01-01,129.54002,6.264708,48.918827,579.86
2018-02-01,129.4927,13.7677555,68.514015,583.44934
2018-03-01,33.937984,21.145603,123.746155,571.7107
2018-04-01,26.978569,15.787785,152.41576,565.5105
2018-05-01,12.599741,18.72489,202.19688,562.7098
2018-06-01,0.012903569,20.440979,218.4999,555.3918
2018-07-01,0.0,27.161943,233.13719,552.21246
2018-08-01,0.0,23.648327,207.29843,550.84155
2018-09-01,1.9995204,16.60275,169.96478,550.11444
2018-10-01,20.374342,14.375011,126.31,553.4523
2018-11-01,60.09339,8.329432,70.10812,556.4686
2018-12-01,73.13203,6.34519,48.365673,585.96136
2019-01-01,54.664677,8.240325,60.026047,581.96826
2019-02-01,121.70745,10.109439,64.205925,608.7896
2019-03-01,97.0514,15.858657,95.74662,599.7879
2019-04-01,19.614183,19.549467,136.97852,594.1799
2019-05-01,8.235284,20.252314,221.52646,581.5159
2019-06-01,0.0042616543,20.120905,228.59793,577.47144
2019-07-01,0.0,27.184568,240.04384,575.0237
2019-08-01,0.0,25.714674,219.09552,573.489
2019-09-01,0.0,17.627739,170.56119,572.5421
2019-10-01,14.775149,13.734087,127.54549,576.9553
2019-11-01,19.298458,8.191758,91.38423,574.6158
2019-12-01,71.25898,5.0357766,59.56858,587.79877
2020-01-01,146.12589,6.4147553,46.47792,602.7977
2020-02-01,72.46164,11.663743,65.002426,601.03815
2020-03-01,70.720406,22.054075,106.71853,614.5117
2020-04-01,0.014984295,22.286095,141.69157,604.45886
2020-05-01,0.32215875,20.679193,202.33943,595.10565
2020-06-01,0.0,22.54631,217.94987,590.60706
2020-07-01,0.0,26.622774,232.87926,587.8899
2020-08-01,0.0,24.755638,214.13603,586.68866
2020-09-01,0.0,18.457174,179.51817,584.99695
2020-10-01,2.7425702,15.866817,129.80458,584.0634
2020-11-01,57.818832,8.645374,71.71036,591.37756
2020-12-01,61.096626,7.2197084,59.28305,588.88385
2021-01-01,74.48944,8.534989,69.50328,586.2505
2021-02-01,70.42776,11.477862,74.90656,584.5551
2021-03-01,21.148645,16.676348,111.22229,577.00604
2021-04-01,1.0277191,16.657915,169.59962,567.2201
2021-05-01,0.40504935,19.732796,223.85284,560.67035
2021-06-01,0.0,19.690805,220.04361,561.84247
2021-07-01,0.0,26.744804,239.8308,557.196
2021-08-01,0.0,25.96705,224.98976,555.4429
2021-09-01,0.0,23.061905,165.10197,555.50903
2021-10-01,9.304234,15.183182,122.48496,554.4324
2021-11-01,27.455172,8.78866,82.24089,557.9551
2021-12-01,129.50285,4.699519,58.95795,573.21985
2022-01-01,120.403564,4.6786737,54.9614,605.2896
2022-02-01,70.52511,8.586584,65.7043,603.79034
2022-03-01,61.121956,12.618664,96.37481,594.27295
2022-04-01,13.602354,20.348753,170.94228,612.5086
2022-05-01,0.00075253774,16.48998,206.79117,599.08026
2022-06-01,0.0,20.547987,223.86792,594.5786
2022-07-01,0.0,25.17672,237.21732,591.8057
2022-08-01,0.0,16.804537,215.92177,591.9616
2022-09-01,0.0,17.199144,172.82498,590.10236
2022-10-01,3.0084276,14.605294,123.64186,592.1981
2022-11-01,77.83274,7.954226,73.03233,594.53217
2022-12-01,52.699036,5.2839446,57.943817,615.59766
2023-01-01,55.319885,6.2249947,60.561703,627.53174
2023-02-01,79.830055,7.3945546,68.23398,625.31165
2023-03-01,69.59104,16.166864,115.51234,614.7694
2023-04-01,66.32153,21.16649,151.62576,607.4383
2023-05-01,1.5320605,21.67449,193.90196,594.4468
2023-06-01,0.791271,21.970087,210.33217,590.6007
2023-07-01,0.0,28.049463,246.30038,585.7942
2023-08-01,0.0,17.90514,213.3936,583.7763
2023-09-01,0.002659444,13.648835,170.83327,582.6517
2023-10-01,25.50015,12.952229,115.64997,583.00885
2023-11-01,61.17483,9.34467,81.37464,588.1511
2023-12-01,88.47604,6.3107214,60.596344,598.0596
2024-01-01,87.24389,6.8017993,57.182213,601.95166
2024-02-01,62.81989,9.960648,66.41324,599.73083
2024-03-01,44.199184,17.224186,116.09083,590.4519
2024-04-01,8.638889,17.436708,159.55748,579.17035
2024-05-01,0.3900983,17.497963,192.51,575.1403
2024-06-01,0.0,23.97497,245.07988,569.90283
2024-07-01,0.0,25.894436,244.38852,567.6022
2024-08-01,0.0,26.864782,216.58931,566.4563
2024-09-01,0.012687316,17.113174,167.89589,567.1407
2024-10-01,1.9842565,11.100974,125.10389,567.2904
2024-11-01,25.664562,6.1579185,73.0853,566.96
2024-12-01,56.344765,3.7772744,59.702686,571.8487
2025-01-01,44.983345,4.708553,59.781403,568.3648
2025-02-01,65.23185,5.468826,62.64588,566.7119
2025-03-01,39.001457,14.810937,121.28753,564.237
2025-04-01,6.000622,15.959837,162.20111,554.4772
2025-05-01,0.6474565,17.131132,212.74948,550.5151
2025-06-01,0.0,19.379221,235.74805,546.81146
2025-07-01,0.0,24.451643,247.33891,545.09393
2025-08-01,0.0,17.779356,212.36456,544.67413
2025-09-01,0.00028220165,17.604109,170.70944,544.1366
2025-10-01,2.3321238,12.345846,125.42162,543.61224
2025-11-01,64.61714,7.823898,86.14288,546.13116
2025-12-01,130.9602,5.2851295,55.484238,564.89453
