time,PCP,AETI,RET,TWS
2018-01-01,237.92816,15.743561,39.27541,537.43567
2018-02-01,168.95995,29.37192,56.23571,554.45215
2018-03-01,37.25078,53.671963,102.96464,536.31683
2018-04-01,24.629892,54.968327,129.77713,518.7165
2018-05-01,16.46677,63.34703,177.84381,517.90674
2018-06-01,0.0,57.897152,196.12704,504.59564
2018-07-01,0.0,60.66825,209.59782,496.0549
2018-08-01,0.0,52.4653,187.62549,491.44644
2018-09-01,2.733263,44.970997,149.8701,489.14243
2018-10-01,26.36647,36.98592,109.95524,493.723
2018-11-01,88.03193,23.117083,60.083908,499.7516
2018-12-01,177.20093,16.064669,37.10515,557.13824
2019-01-01,108.30144,20.663122,48.661198,568.5862
2019-02-01,132.85283,22.054003,51.651802,608.11847
2019-03-01,142.16348,33.96331,76.49355,595.14496
2019-04-01,33.01188,51.029716,116.02958,584.1136
2019-05-01,4.7666035,70.75856,190.97037,556.43854
2019-06-01,0.15064502,63.40694,201.27347,538.1437
2019-07-01,0.0,71.135284,212.49284,527.77527
2019-08-01,0.0,64.74769,194.0698,521.64526
2019-09-01,0.0,51.028824,149.63072,518.58075
2019-10-01,17.768639,39.2981,108.522964,524.23596
2019-11-01,30.775812,31.211388,81.604095,525.6782
2019-12-01,253.04039,15.096408,47.76357,555.1985
2020-01-01,172.85693,14.143294,37.005394,621.5345
2020-02-01,60.7726,22.41567,54.575565,624.8142
2020-03-01,56.265427,44.252613,86.95996,623.3271
2020-04-01,0.0,54.948578,119.00645,597.6881
2020-05-01,0.21093194,73.544914,185.77753,572.2962
2020-06-01,0.0,64.440216,201.43332,554.5086
2020-07-01,0.0,69.56129,207.94133,543.46106
2020-08-01,0.0,61.91298,195.99707,536.97034
2020-09-01,0.0,52.2,161.6022,533.1662
2020-10-01,2.5476868,44.999256,120.09942,531.6028
2020-11-01,141.5908,25.402847,63.620663,547.5024
2020-12-01,101.83542,23.344618,55.848198,560.3504
2021-01-01,122.288246,25.498075,62.61944,566.7266
2021-02-01,133.70323,29.237822,66.01446,576.4759
2021-03-01,28.373032,43.70972,97.56233,557.61975
2021-04-01,0.17239769,61.620106,150.55049,537.0574
2021-05-01,4.2025466,66.72944,202.61699,519.749
2021-06-01,0.0,59.317436,203.19917,514.9533
2021-07-01,0.0,67.99436,221.33078,506.4378
2021-08-01,0.0,67.83099,211.60342,501.3951
2021-09-01,0.0,61.07669,157.40652,499.1613
2021-10-01,14.664013,48.202324,112.042145,498.52875
2021-11-01,54.931717,32.67313,80.353424,503.05853
2021-12-01,200.22798,17.593372,54.552937,533.21747
2022-01-01,199.44995,17.35118,47.91331,544.7412
2022-02-01,63.390312,24.525011,55.175323,547.0985
2022-03-01,82.06338,39.53222,79.95857,544.8293
2022-04-01,9.523398,70.60089,150.80449,549.31036
2022-05-01,0.0,63.10974,188.55293,527.5087
2022-06-01,0.0,60.49911,205.20996,515.22974
2022-07-01,0.0,65.271805,217.7218,507.55658
2022-08-01,0.0,56.333706,198.11945,505.0371
2022-09-01,0.0,49.6137,160.73643,501.54102
2022-10-01,3.1384563,42.790913,112.54754,501.79547
2022-11-01,92.60802,27.27331,69.46503,506.13922
2022-12-01,83.149124,20.879982,50.50645,533.5393
2023-01-01,102.278656,23.362232,56.531696,543.346
2023-02-01,82.85303,24.027502,63.313557,553.45276
2023-03-01,84.375465,45.488613,102.67933,539.58685
2023-04-01,63.67174,62.933098,134.31895,535.4982
2023-05-01,4.4936833,64.601746,177.05293,517.76746
2023-06-01,2.7625556,59.53683,192.67255,509.7707
2023-07-01,0.0,68.79231,227.52385,500.1654
2023-08-01,0.0,49.594093,196.79631,495.5111
2023-09-01,0.13639902,37.43434,158.73766,493.2221
2023-10-01,17.651814,34.188046,115.927605,493.50586
2023-11-01,93.06072,26.865303,72.60882,502.4507
2023-12-01,122.813255,22.91478,55.44395,518.9366
2024-01-01,116.85515,19.435677,46.868217,526.6421
2024-02-01,141.25018,25.136421,54.88562,537.9628
2024-03-01,42.369663,49.644928,98.43628,533.6302
2024-04-01,15.912367,59.399467,137.57051,513.87634
2024-05-01,1.0837411,56.12676,173.9652,504.06476
2024-06-01,0.0,64.70837,221.50938,492.8153
2024-07-01,0.0,56.015347,225.2232,486.51068
2024-08-01,0.0,55.587635,200.8456,483.20294
2024-09-01,0.21701512,48.49413,157.73505,482.51636
2024-10-01,2.378403,41.23671,114.30138,481.48428
2024-11-01,36.45791,23.0758,67.260284,486.8674
2024-12-01,100.669975,17.959442,56.055717,494.48816
2025-01-01,63.313946,22.128248,56.67271,507.37628
2025-02-01,80.354836,20.956495,55.604816,505.0024
2025-03-01,31.76052,57.012188,112.67933,498.2452
2025-04-01,2.9821174,59.46975,146.41609,486.152
2025-05-01,0.5904137,52.239758,195.86281,477.58255
2025-06-01,0.0,49.03025,215.20474,471.54218
2025-07-01,0.0,48.54058,232.2951,467.94263
2025-08-01,0.0,43.39712,203.57678,466.06076
2025-09-01,0.045907475,42.831852,156.36005,464.98953
2025-10-01,2.5130115,35.63058,114.260284,464.51086
2025-11-01,58.36251,30.853203,84.24043,468.29367
2025-12-01,203.23756,18.997341,53.35743,508.98523
