time,PCP,AETI,RET,TWS
2018-01-01,193.80643,11.705396,45.908703,545.43695
2018-02-01,170.43675,22.392775,66.23043,552.6957
2018-03-01,43.631718,41.350212,120.28954,540.9216
2018-04-01,22.968763,40.909668,150.18777,530.8304
2018-05-01,13.025917,45.721024,200.66695,526.26355
2018-06-01,0.0,43.771713,217.19241,518.4361
2018-07-01,0.0,47.75969,231.97583,513.46063
2018-08-01,0.0,39.898834,204.44075,510.79803
2018-09-01,2.430232,32.72573,168.66537,509.4737
2018-10-01,20.01633,27.189537,121.97261,512.55554
2018-11-01,83.87018,17.866749,66.9456,515.8016
2018-12-01,115.393394,12.886502,44.686977,547.8755
2019-01-01,93.69731,15.525898,57.130653,549.0804
2019-02-01,168.04149,15.983177,60.40781,576.8416
2019-03-01,174.33112,24.803291,90.748474,570.5187
2019-04-01,21.051464,41.595135,131.11295,565.2956
2019-05-01,6.5930476,56.95472,219.52121,548.27515
2019-06-01,0.007127529,46.18445,225.59013,540.12103
2019-07-01,0.0,50.830006,238.5013,535.2371
2019-08-01,0.0,45.4314,216.69283,532.3075
2019-09-01,0.0,33.794197,168.09013,530.91895
2019-10-01,19.10418,27.279219,125.86593,535.3141
2019-11-01,28.898235,20.304926,91.48529,534.3047
2019-12-01,126.68405,11.5795145,57.201263,549.3255
2020-01-01,232.73685,9.5654125,43.99518,573.39233
2020-02-01,97.02284,14.140947,60.62783,574.649
2020-03-01,91.499275,29.713423,100.334045,585.99677
2020-04-01,0.0,40.968937,135.15578,573.9223
2020-05-01,3.1909742,56.10437,198.31331,559.5086
2020-06-01,0.0,47.163395,214.64917,551.2578
2020-07-01,0.0,50.16617,229.37277,546.1366
2020-08-01,0.0,44.259087,210.30234,543.5432
2020-09-01,0.0,37.13877,179.36006,541.48584
2020-10-01,3.5628002,31.758417,128.57025,540.6221
2020-11-01,116.12063,18.105661,67.9694,549.6523
2020-12-01,140.26837,18.97594,57.723354,550.9632
2021-01-01,119.465744,21.466291,65.77609,551.40326
2021-02-01,119.45849,21.987398,71.85157,552.2787
2021-03-01,33.527424,33.115147,105.30968,546.03876
2021-04-01,0.7548347,49.319332,166.18884,534.3675
2021-05-01,0.2552626,51.254005,222.20279,523.35675
2021-06-01,0.0,42.995502,216.53398,522.7424
2021-07-01,0.0,50.21465,236.829,517.3791
2021-08-01,0.0,48.53965,222.71037,514.4583
2021-09-01,0.0,39.815655,162.35101,513.94684
2021-10-01,13.641049,31.453466,120.58487,512.67584
2021-11-01,46.63951,20.776415,80.80481,515.7724
2021-12-01,199.83952,12.179791,56.155437,533.8214
2022-01-01,173.69772,11.527616,51.4233,569.6128
2022-02-01,105.88052,15.856057,60.998825,572.0205
2022-03-01,86.82133,23.940535,89.91576,565.3697
2022-04-01,11.743958,52.078785,166.25496,586.41943
2022-05-01,0.0,44.459393,202.76453,568.1327
2022-06-01,0.0,43.61455,220.03316,559.04395
2022-07-01,0.0,47.155064,233.33502,553.37445
2022-08-01,0.0,38.653572,212.26599,552.0343
2022-09-01,0.0,34.316166,169.67355,549.6658
2022-10-01,3.673149,28.192749,120.86335,551.6378
2022-11-01,94.8999,18.44911,70.21747,555.4311
2022-12-01,93.134155,15.191536,55.382633,578.22943
2023-01-01,80.12752,16.036608,58.166443,588.8574
2023-02-01,132.24266,15.670186,65.08109,591.5182
2023-03-01,97.27012,31.06618,111.11486,581.8134
2023-04-01,84.12738,45.311977,146.85292,574.17004
2023-05-01,1.8290607,53.389797,189.02168,558.8765
2023-06-01,1.1680973,47.832005,206.90852,552.45123
2023-07-01,0.0,55.736492,245.31483,545.46277
2023-08-01,0.0,37.429127,210.133,541.8495
2023-09-01,0.0,29.489271,168.80035,540.14484
2023-10-01,23.837612,27.12735,113.778564,540.3479
2023-11-01,77.53788,20.519619,78.47277,545.329
2023-12-01,127.63353,16.751781,58.11425,557.8159
2024-01-01,160.36963,14.4579115,53.358574,566.0775
2024-02-01,118.41179,18.864079,62.296387,567.6661
2024-03-01,64.05361,37.981644,111.29488,559.1613
2024-04-01,12.824942,49.09197,153.79404,544.75806
2024-05-01,0.6391273,45.53607,187.97078,536.7065
2024-06-01,0.0,50.744125,243.9889,528.96515
2024-07-01,0.0,47.455727,240.93771,524.58887
2024-08-01,0.0,44.7791,212.86755,522.1552
2024-09-01,0.0,32.898632,165.43558,522.26373
2024-10-01,2.4953187,26.17241,122.75148,522.2351
2024-11-01,34.867317,16.10893,70.44023,521.98065
2024-12-01,101.982285,13.270833,57.5997,526.7447
2025-01-01,64.6729,14.654659,57.37301,524.68964
2025-02-01,106.246376,12.744003,59.269543,523.5872
2025-03-01,53.85868,37.20401,118.496376,522.38116
2025-04-01,5.118441,45.12252,159.51431,511.93158
2025-05-01,0.25308478,41.80317,210.51996,506.1094
2025-06-01,0.0,37.89066,233.41942,501.08133
2025-07-01,0.0,40.919983,245.64148,498.11078
2025-08-01,0.0,30.689697,209.94814,496.84778
2025-09-01,0.024013897,30.111588,167.79604,495.9502
2025-10-01,3.0799994,24.35264,122.82184,495.25183
2025-11-01,77.43801,20.12804,84.55757,497.596
2025-12-01,238.56328,12.457809,53.470882,517.3095
