time,PCP,AETI,RET,TWS
2018-01-01,197.60327,14.122821,42.164436,523.66565
2018-02-01,161.384,27.58472,63.708447,531.7876
2018-03-01,38.518536,48.343967,113.699486,518.1815
2018-04-01,29.617973,40.293568,137.40596,506.08575
2018-05-01,12.262528,37.371662,195.31483,500.33026
2018-06-01,0.0,35.940647,204.90646,493.426
2018-07-01,0.0,42.160908,216.14285,489.12625
2018-08-01,0.0,37.49349,190.50827,486.92102
2018-09-01,2.2993877,30.154797,157.35258,486.07642
2018-10-01,22.326773,26.451714,122.923836,489.62704
2018-11-01,79.252426,20.93843,69.6397,493.86664
2018-12-01,70.65251,16.94557,44.379433,527.9709
2019-01-01,63.804527,21.598858,55.991745,529.2659
2019-02-01,133.842,21.429379,61.733337,557.8625
2019-03-01,123.69591,30.096704,81.22034,550.3513
2019-04-01,18.552523,47.578625,123.64125,541.43835
2019-05-01,8.4013405,60.009438,203.63094,524.35846
2019-06-01,0.017843364,47.768322,208.84677,516.8691
2019-07-01,0.0,51.09842,221.17955,512.70215
2019-08-01,0.0,46.181625,202.51903,510.37088
2019-09-01,0.0,34.743313,155.52246,509.54443
2019-10-01,15.632726,28.02241,120.34633,514.0036
2019-11-01,17.857573,20.684671,110.17043,513.50214
2019-12-01,86.80243,12.909589,57.10554,529.90936
2020-01-01,187.38472,11.481318,39.005306,560.054
2020-02-01,89.787865,16.912645,50.199726,561.1827
2020-03-01,80.020836,34.530437,83.66608,568.3491
2020-04-01,0.16902106,45.069683,113.27299,552.6787
2020-05-01,1.9910078,57.49387,186.20573,538.1863
2020-06-01,0.0,49.93455,197.58633,530.69476
2020-07-01,0.0,53.71692,206.0424,526.2083
2020-08-01,0.0,44.490997,193.77255,524.03064
2020-09-01,0.0,35.565804,165.9926,522.6062
2020-10-01,4.3427534,32.894394,124.21775,522.2418
2020-11-01,56.73795,20.312876,66.2932,533.2957
2020-12-01,79.03537,22.848085,67.09358,536.34937
2021-01-01,92.928635,24.929913,73.979996,536.47424
2021-02-01,83.72365,25.383799,69.35573,536.0848
2021-03-01,30.93817,37.492096,93.28585,528.1017
2021-04-01,1.8470936,50.411602,151.66096,514.14935
2021-05-01,0.27841088,52.070625,201.25038,502.80768
2021-06-01,0.0,44.05425,200.90514,502.17355
2021-07-01,0.0,51.067947,218.39403,497.0615
2021-08-01,0.0,47.81063,212.43225,494.66898
2021-09-01,0.0,37.04226,156.67117,494.48972
2021-10-01,14.574101,29.161888,118.994,493.79865
2021-11-01,36.60475,20.452318,99.301384,497.67978
2021-12-01,163.28429,12.785969,60.61206,519.5245
2022-01-01,199.76941,11.811254,47.72088,558.7696
2022-02-01,90.241356,17.592352,52.283245,560.2997
2022-03-01,80.20446,27.510845,79.27976,551.868
2022-04-01,17.668213,55.77319,150.85417,574.67694
2022-05-01,0.0,45.535255,186.31528,555.3016
2022-06-01,0.0,45.403767,202.03127,546.69855
2022-07-01,0.0,46.482647,215.97194,541.5788
2022-08-01,0.0,34.029804,196.40775,540.43896
2022-09-01,0.0,30.328861,161.65019,538.49457
2022-10-01,6.6647177,25.772076,112.836205,540.779
2022-11-01,81.60715,18.76749,75.01129,544.15
2022-12-01,88.20236,16.532454,62.418156,564.52795
2023-01-01,73.861336,18.317562,63.69425,576.12286
2023-02-01,103.86367,18.072386,60.320316,576.9711
2023-03-01,88.48546,35.073063,99.49353,566.6397
2023-04-01,77.67045,47.75218,133.17311,558.2511
2023-05-01,1.5265387,52.355007,180.76828,543.04
2023-06-01,0.8370133,46.859055,193.38727,537.51685
2023-07-01,0.0,54.116215,229.56769,531.2353
2023-08-01,0.0,31.623014,193.45535,528.3494
2023-09-01,0.037595958,29.692228,163.24834,527.2773
2023-10-01,20.013464,25.466167,114.41628,528.1523
2023-11-01,48.57237,19.855175,81.10508,532.8528
2023-12-01,91.54825,17.483181,67.29396,545.8771
2024-01-01,122.352554,16.34796,51.711575,554.44824
2024-02-01,80.39864,21.87375,60.479404,554.7675
2024-03-01,52.37399,40.412357,106.05185,544.85565
2024-04-01,11.9858465,47.18075,145.64001,529.0141
2024-05-01,2.4230523,37.820538,175.63351,520.9744
2024-06-01,0.0,44.24442,223.53394,513.76917
2024-07-01,0.0,40.712234,229.0753,510.07455
2024-08-01,0.0,39.24899,201.40997,508.16064
2024-09-01,0.011989553,28.49719,160.10341,508.63663
2024-10-01,3.46852,23.679676,125.401245,508.8494
2024-11-01,28.856113,14.032605,72.95625,509.45673
2024-12-01,66.99111,12.550864,64.1647,514.9679
2025-01-01,65.51354,15.068428,66.79485,513.5985
2025-02-01,82.38384,13.90166,56.22884,511.97156
2025-03-01,64.82982,36.884117,118.17709,509.25024
2025-04-01,4.4742527,37.26852,151.84158,496.94113
2025-05-01,0.2994569,30.83517,197.69989,490.78058
2025-06-01,0.0,29.10023,214.26729,486.0249
2025-07-01,0.0,30.43543,229.68878,483.51083
2025-08-01,0.0,20.38871,197.29008,482.5596
2025-09-01,0.0374723,24.417063,156.6231,482.00827
2025-10-01,4.264374,21.430548,121.46197,481.63397
2025-11-01,87.679886,19.503443,103.15899,484.7465
2025-12-01,181.46336,14.037599,56.957996,505.13705
