time,PCP,AETI,RET,TWS
2018-01-01,153.998,15.10166,38.343475,511.74078
2018-02-01,127.95896,29.957218,53.2465,529.45886
2018-03-01,24.069302,53.120564,98.06056,511.02078
2018-04-01,16.97117,44.533066,125.262985,492.36972
2018-05-01,16.408493,39.455837,171.10052,491.15668
2018-06-01,0.0,37.825745,189.66911,477.42706
2018-07-01,0.0,45.395336,203.70238,468.7266
2018-08-01,0.0,38.95277,184.02165,464.08536
2018-09-01,3.1336825,33.228065,145.50653,461.75522
2018-10-01,27.325827,28.732483,106.39155,466.29703
2018-11-01,63.28116,20.121859,59.988407,472.50763
2018-12-01,119.69,15.555036,37.139877,531.09784
2019-01-01,73.622025,21.380358,45.900475,543.4806
2019-02-01,94.010925,26.782963,50.739883,584.2822
2019-03-01,97.724525,44.401825,74.33398,571.0066
2019-04-01,24.296207,60.495304,112.80051,559.52
2019-05-01,7.9848685,65.79347,181.10518,531.0266
2019-06-01,0.34606892,50.99677,192.65929,512.0963
2019-07-01,0.0,53.26445,205.93561,501.51263
2019-08-01,0.0,47.610653,188.70038,495.3512
2019-09-01,0.0,38.593033,145.81929,492.24472
2019-10-01,12.247028,30.51498,105.33398,498.0034
2019-11-01,18.081581,23.641394,78.274994,499.75073
2019-12-01,160.77332,13.573202,45.243748,529.96893
2020-01-01,116.09054,15.434579,35.911022,598.0304
2020-02-01,30.530617,26.279423,56.021328,601.95575
2020-03-01,44.1796,48.659416,87.816,600.8153
2020-04-01,0.0,55.663403,120.22524,574.09467
2020-05-01,0.070002526,60.239426,188.03236,547.2639
2020-06-01,0.0,49.38698,202.55235,528.67896
2020-07-01,0.0,50.086742,209.67973,517.28033
2020-08-01,0.0,44.12826,199.00679,510.71793
2020-09-01,0.0,39.186775,162.07236,506.8319
2020-10-01,1.0419549,33.522247,121.605865,505.15936
2020-11-01,80.980385,20.018173,67.14294,521.4003
2020-12-01,69.27698,19.439058,57.69705,534.6635
2021-01-01,68.68065,23.637468,64.57265,541.54974
2021-02-01,74.68022,31.493948,67.04769,551.95605
2021-03-01,12.610733,48.022823,97.9584,532.6861
2021-04-01,0.043513376,52.350834,149.67393,511.25784
2021-05-01,5.933821,47.968628,200.89868,493.27298
2021-06-01,0.0,41.148308,206.14139,488.09683
2021-07-01,0.0,45.773537,224.79974,479.61877
2021-08-01,0.0,46.995193,213.14845,474.62634
2021-09-01,0.0,48.391518,160.675,472.3891
2021-10-01,16.30455,37.101982,114.30284,471.7146
2021-11-01,33.096222,23.171429,82.302086,476.30338
2021-12-01,131.33789,15.154637,57.267174,507.68854
2022-01-01,113.21045,16.906052,49.90993,519.82324
2022-02-01,32.141956,26.87281,57.08054,522.51013
2022-03-01,54.19687,44.711277,81.012886,520.3669
2022-04-01,7.2542653,64.41444,150.63162,526.1129
2022-05-01,0.0,45.43632,190.33403,502.83865
2022-06-01,0.0,41.23554,207.32002,489.76788
2022-07-01,0.0,43.193184,220.1261,481.76437
2022-08-01,0.0,35.883488,201.14032,479.19214
2022-09-01,0.0,36.928722,162.83891,475.62292
2022-10-01,1.6429203,32.621506,114.902374,475.8009
2022-11-01,59.27344,22.661787,73.00867,480.15164
2022-12-01,52.290756,17.774584,52.375607,508.24982
2023-01-01,70.71225,22.578577,59.24288,518.81635
2023-02-01,30.050543,24.786472,65.3805,529.695
2023-03-01,57.238876,45.921345,103.60087,515.5764
2023-04-01,58.477146,57.48006,135.85327,510.9846
2023-05-01,4.877126,52.151646,180.12535,492.25845
2023-06-01,2.5182989,45.680466,195.76936,483.7228
2023-07-01,0.0,52.240906,226.65773,473.86356
2023-08-01,0.0,38.12397,200.26677,469.13882
2023-09-01,0.1761358,27.917719,161.08412,466.7898
2023-10-01,14.59393,25.314985,120.71874,467.0159
2023-11-01,92.96363,21.299646,73.961655,476.18323
2023-12-01,89.41038,20.248201,57.7053,493.55215
2024-01-01,63.32517,20.889235,47.38991,501.69772
2024-02-01,81.22339,31.10867,55.43851,513.3443
2024-03-01,22.06026,59.148655,97.37361,508.86667
2024-04-01,11.770147,61.42302,137.52454,488.053
2024-05-01,1.5439488,46.38426,176.68321,477.5211
2024-06-01,0.0,45.52761,219.75497,465.89722
2024-07-01,0.0,33.452885,227.23148,459.41757
2024-08-01,0.0,38.830692,203.09474,456.0643
2024-09-01,0.0,33.24866,160.93367,455.3519
2024-10-01,0.8584553,28.29571,117.27898,454.26773
2024-11-01,21.283203,19.126905,70.53508,459.64865
2024-12-01,47.53066,15.770766,57.404453,467.50854
2025-01-01,39.191906,22.175045,59.246788,480.8631
2025-02-01,30.539803,24.116848,58.058094,478.64252
2025-03-01,8.659737,54.71666,114.33499,471.7515
2025-04-01,4.320804,48.907925,147.31476,459.03394
2025-05-01,0.0,37.58345,197.67537,450.00464
2025-06-01,0.0,33.14599,214.91966,443.72903
2025-07-01,0.0,29.197016,232.96048,440.03232
2025-08-01,0.0,28.296309,207.03256,438.12363
2025-09-01,0.097072184,31.571125,158.94156,437.03772
2025-10-01,1.0076476,28.3361,116.43894,436.54214
2025-11-01,39.146606,22.973751,87.39129,440.33093
2025-12-01,129.99786,15.820899,55.87317,482.09763
